amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba 
403-7308699-9106737	403-7308699-9106737	2025-12-27T18:12:12+00:00	2025-12-28T06:27:10+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat	FBA79439	B0DCK7ZH5P	Shipped	1	INR	3298.0		40.0					40.0	KAILASAHAR	TRIPURA	799277	IN		false				false
408-6848797-2355503	408-6848797-2355503	2025-12-27T18:11:46+00:00	2025-12-28T07:16:05+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Smart Electric Toothbrush for Adults | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Water	FBA79373	B0D2P5TGWK	Shipped	1	INR	286.0								KALYAN	MAHARASHTRA	421204	IN		false				false
408-6383190-0328323	408-6383190-0328323	2025-12-27T18:05:23+00:00	2025-12-28T04:42:04+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facia	FBA79570	B0DKJXRXKM	Shipped	1	INR	0.0								MUMBAI	MAHARASHTRA	400102	IN		false				false
407-7429309-5523503	407-7429309-5523503	2025-12-27T18:03:44+00:00	2025-12-28T06:48:07+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron fo	FBA79268	B0D383WQPB	Shipped	1	INR	1799.0		40.0					40.0	BENGALURU	KARNATAKA	560100	IN		false				false
402-4377400-2994738	402-4377400-2994738	2025-12-27T18:02:09+00:00	2025-12-27T18:28:13+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh |	FBA79589	B0DNJP9T35	Cancelled	0										KALNA	WEST BENGAL	712146	IN		false				false
403-2073029-0280329	403-2073029-0280329	2025-12-27T17:31:47+00:00	2025-12-27T19:58:03+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-	FBA79681	B0DVC968P1	Shipped	1	INR	2099.0		79.0					79.0	VADODARA	GUJARAT	390012	IN		false				false
402-5464456-7493112	402-5464456-7493112	2025-12-27T17:27:10+00:00	2025-12-28T05:58:00+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Shipped	1	INR	1999.0		40.0				39.98	40.0	MUMBAI	MAHARASHTRA	400059	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
408-1909128-4294712	408-1909128-4294712	2025-12-27T17:17:06+00:00	2025-12-28T15:45:07+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facia	FBA79570	B0DKJXRXKM	Shipped	1	INR	1549.0						30.98		PUNE	MAHARASHTRA	411004	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
402-1147551-2573136	402-1147551-2573136	2025-12-27T17:12:00+00:00	2025-12-27T19:53:08+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-	FBA79682	B0DVC8NYY2	Shipped	1	INR	2049.0						40.98		KOLKATA	WEST BENGAL	700026	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
406-4146120-0293914	406-4146120-0293914	2025-12-27T16:51:03+00:00	2025-12-28T04:20:03+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tan	FBA79271	B0D83Q7L8W	Shipped	1	INR	1248.0								Thane	MAHARASHTRA	400607	IN		false				false
