(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","17,531",407,7.76%,8.48%,"23,883",600,7.73%,9.06%,99.92%,100.00%,44,5,0.25%,1.23%,"₹6,37,736.00","₹72,470.00",44,5
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"24,544",516,10.86%,10.75%,"35,371",748,11.45%,11.30%,15.59%,13.17%,23,0,0.09%,0.00%,"₹1,79,285.00",₹0.00,23,0
B004D4S7AY,B004D4S7AY,Fossil Riley Analog Gold Dial Women's Watch - ES2811,"4,416",46,1.95%,0.96%,"5,998",51,1.94%,0.77%,97.73%,100.00%,17,0,0.38%,0.00%,"₹2,29,398.00",₹0.00,17,0
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"6,356",128,2.81%,2.67%,"8,846",179,2.86%,2.70%,94.84%,93.42%,16,0,0.25%,0.00%,"₹1,91,940.00",₹0.00,16,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,843",13,0.82%,0.27%,"2,591",20,0.84%,0.30%,95.17%,100.00%,13,1,0.71%,7.69%,"₹1,23,422.00","₹9,494.00",13,1
B0BFXL8ZP9,B0BFXL8ZP9,Fossil Neutra Analog Green Dial Men's Watch-FS5963,914,17,0.40%,0.35%,"1,236",22,0.40%,0.33%,98.21%,100.00%,8,1,0.88%,5.88%,"₹1,03,960.00","₹12,995.00",8,1
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"30,271",954,13.39%,19.87%,"41,894","1,247",13.56%,18.83%,4.43%,3.44%,7,0,0.02%,0.00%,"₹48,279.00",₹0.00,7,0
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"4,963",104,2.20%,2.17%,"6,616",137,2.14%,2.07%,98.65%,96.20%,7,0,0.14%,0.00%,"₹1,11,965.00",₹0.00,7,0
B007NM84PQ,B007NM84PQ,Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020,"2,079",14,0.92%,0.29%,"2,630",18,0.85%,0.27%,96.00%,100.00%,7,0,0.34%,0.00%,"₹83,958.00",₹0.00,6,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch - FS4812,"1,430",24,0.63%,0.50%,"1,991",35,0.64%,0.53%,84.08%,71.43%,6,0,0.42%,0.00%,"₹54,582.00",₹0.00,6,0
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","1,677",27,0.74%,0.56%,"2,260",37,0.73%,0.56%,85.33%,95.45%,6,0,0.36%,0.00%,"₹63,780.00",₹0.00,6,0
B0CRCWV9DV,B0CRCWV9DV,"Fossil Men Sport Tourer Silver Quartz Stainless Steel Chronograph Watch Fs6048, Green Dial, Silver Band","1,092",29,0.48%,0.60%,"1,453",44,0.47%,0.66%,88.07%,93.33%,6,1,0.55%,3.45%,"₹81,573.00","₹15,994.00",6,1
B01487C7CO,B01487C7CO,Fossil Analog Brown Dial Men's Leather Band Watch - ME3098,"5,465",93,2.42%,1.94%,"6,882",123,2.23%,1.86%,89.59%,90.00%,5,0,0.09%,0.00%,"₹99,970.00",₹0.00,5,0
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap","1,775",32,0.79%,0.67%,"2,360",49,0.76%,0.74%,96.13%,100.00%,5,0,0.28%,0.00%,"₹47,470.00",₹0.00,5,0
B07M7P7VLX,B07M7P7VLX,"Fossil Riley Analog Black Dial Women's Watch-ES4519 Stainless Steel, Black Strap","1,203",24,0.53%,0.50%,"1,632",34,0.53%,0.51%,96.07%,100.00%,5,0,0.42%,0.00%,"₹47,235.00",₹0.00,5,0
B0DSBQCZTK,B0DSBQCZTK,Armani Exchange Men Analogue Black Band Black Quartz Stainless Steel Watch AX2463,"1,772",32,0.78%,0.67%,"2,459",41,0.80%,0.62%,94.62%,100.00%,5,0,0.28%,0.00%,"₹1,19,955.00",₹0.00,5,0
B0DSBRWZ8N,B0DSBRWZ8N,Fossil Chronograph Men Neutra Brown Quartz Leather Gold Dial Watch FS6113,842,14,0.37%,0.29%,"1,178",16,0.38%,0.24%,85.52%,83.33%,5,0,0.59%,0.00%,"₹49,383.00",₹0.00,5,0
B0DSBSD26P,B0DSBSD26P,Fossil Chronograph Men Neutra Grey Quartz Stainless Steel Blue Dial Watch FS6111,"1,310",29,0.58%,0.60%,"1,829",43,0.59%,0.65%,90.50%,100.00%,5,1,0.38%,3.45%,"₹72,475.00","₹14,495.00",5,1
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","17,907",392,7.92%,8.16%,"25,893",536,8.38%,8.10%,1.85%,1.44%,4,0,0.02%,0.00%,"₹28,738.00",₹0.00,4,0
B07RZ1R1HJ,B07RZ1R1HJ,"Fossil Analog Gold Dial Women's Watch-ES4628 Stainless Steel, Rose Gold Strap",712,10,0.32%,0.21%,"1,010",19,0.33%,0.29%,96.98%,100.00%,4,0,0.56%,0.00%,"₹51,976.00",₹0.00,4,0
B0DKJG6R31,B0DKJG6R31,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2459,976,19,0.43%,0.40%,"1,526",26,0.49%,0.39%,44.90%,80.00%,4,0,0.41%,0.00%,"₹32,992.00",₹0.00,4,0
B0DKJJDZSF,B0DKJJDZSF,Armani Exchange Analog Gray Dial Men's Watch-AX2462,"1,211",32,0.54%,0.67%,"1,603",42,0.52%,0.63%,67.23%,86.67%,4,0,0.33%,0.00%,"₹39,992.00",₹0.00,4,0
B0FTMMNCK7,B0FTMMNCK7,Fossil Sloan Gold Quartz Stainless Steel Watch ES5444,356,2,0.16%,0.04%,514,2,0.17%,0.03%,80.45%,100.00%,4,0,1.12%,0.00%,"₹63,980.00",₹0.00,4,0
B0058XWUHA,B0058XWUHA,Michael Kors Parker Analog White Dial Gold Band Women's Stainless Steel Watch-MK5491,621,13,0.27%,0.27%,885,19,0.29%,0.29%,96.63%,100.00%,3,0,0.48%,0.00%,"₹68,985.00",₹0.00,3,0
B00AFTTQ8I,B00AFTTQ8I,Fossil Chronograph men Grant Brown Quartz Leather Watch FS4813IE,"1,577",24,0.70%,0.50%,"2,073",34,0.67%,0.51%,99.89%,100.00%,3,0,0.19%,0.00%,"₹38,982.00",₹0.00,3,0
B00AMWDOEK,B00AMWDOEK,Fossil Grant Chronograph Beige Dial Men's Watch - FS4735,"3,141",50,1.39%,1.04%,"3,976",69,1.29%,1.04%,97.49%,100.00%,3,0,0.10%,0.00%,"₹38,982.00",₹0.00,3,0
B0B4G7VWXD,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",188,7,0.08%,0.15%,306,8,0.10%,0.12%,20.29%,60.00%,3,0,1.60%,0.00%,"₹4,697.00",₹0.00,3,0
B0CF61X2BG,B0CF61X2BG,Fossil Analog Blue Dial Men's Watch-Fs6029 - Stainless Steel,627,18,0.28%,0.37%,881,33,0.29%,0.50%,88.58%,82.35%,3,0,0.48%,0.00%,"₹32,389.00",₹0.00,3,0
B0D9362N4Q,B0D9362N4Q,"Fossil Stainless Steel Analog Beige Dial Women's Watch-Es5363, Band Color:Silver",917,14,0.41%,0.29%,"1,104",17,0.36%,0.26%,87.33%,100.00%,3,0,0.33%,0.00%,"₹40,485.00",₹0.00,3,0
B0D9568SNM,B0D9568SNM,Michael Kors Alek Gold Watch MK9184,234,3,0.10%,0.06%,360,5,0.12%,0.08%,97.77%,100.00%,3,0,1.28%,0.00%,"₹48,291.00",₹0.00,3,0
B0FJ2RND61,B0FJ2RND61,Fossil Townsman Brown Automatic Leather Watch ME3270,841,19,0.37%,0.40%,"1,101",21,0.36%,0.32%,85.77%,77.78%,3,0,0.36%,0.00%,"₹59,985.00",₹0.00,3,0
B0FTMM455Z,B0FTMM455Z,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,946,17,0.42%,0.35%,"1,383",34,0.45%,0.51%,72.14%,40.00%,3,0,0.32%,0.00%,"₹40,485.00",₹0.00,3,0
B00DUCIUDY,B00DUCIUDY,"Fossil Chronograph Rose Gold Dial Women Watch ES3352 Stainless Steel, Rose Gold Strap","2,332",46,1.03%,0.96%,"3,752",76,1.21%,1.15%,11.60%,3.13%,2,0,0.09%,0.00%,"₹14,390.00",₹0.00,2,0
B00WM0CF4A,B00WM0CF4A,"Fossil Women Leather Jacqueline Analog White Dial Watch - Es3843, Band Color-Blue","1,452",20,0.64%,0.42%,"1,990",27,0.64%,0.41%,95.55%,100.00%,2,0,0.14%,0.00%,"₹19,988.00",₹0.00,2,0
B01GZZYSRO,B01GZZYSRO,Emporio Armani Analog Blue Dial Men's Watch-Ar1979 - Stainless Steel,304,9,0.13%,0.19%,437,17,0.14%,0.26%,90.67%,100.00%,2,0,0.66%,0.00%,"₹36,394.00",₹0.00,2,0
B07MM5MH6F,B07MM5MH6F,"Fossil Watch, Black, Free Size, (FS5512)",988,7,0.44%,0.15%,"1,302",9,0.42%,0.14%,97.89%,100.00%,2,0,0.20%,0.00%,"₹25,988.00",₹0.00,2,0
B08QVCPDVT,B08QVCPDVT,Fossil Neutra Silver Watch FS5792,"1,494",14,0.66%,0.29%,"2,003",17,0.65%,0.26%,93.14%,88.89%,2,0,0.13%,0.00%,"₹28,988.00",₹0.00,2,0
B0CH4PMR8K,B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",144,0,0.06%,0.00%,239,0,0.08%,0.00%,1.41%,0.00%,2,0,1.39%,0.00%,"₹1,549.00",₹0.00,2,0
