SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79819,LR-03,B0FT8R24QM,B0FT8R24QM,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets |Fabric Brush | Pill, Rue & Burr Remover | Battery Powered| Stainless Steel Blade |Safety Lock | LR-03","1,426",35,0.95%,1.59%,"2,174",48,1.13%,1.64%,84.63%,70.83%,114,1,7.99%,2.86%,"₹ 33,396.00",₹ 334.00,114,1
FBA79493,V-03,B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"4,564",13,3.04%,0.59%,"6,916",19,3.58%,0.65%,94.84%,92.86%,103,1,2.26%,7.69%,"₹ 1,91,909.00","₹ 1,889.00",102,1
FBA79263,MR-01,B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","68,502",910,45.62%,41.23%,"84,358","1,139",43.70%,38.82%,88.38%,89.13%,65,1,0.09%,0.11%,"₹ 1,54,564.00","₹ 2,754.00",65,1
FBA78981,SC-01,B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","11,732",275,7.81%,12.46%,"15,079",375,7.81%,12.78%,67.70%,76.14%,54,0,0.46%,0.00%,"₹ 1,68,369.00",₹ 0.00,54,0
FBA79452,VC-01,B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"5,666",51,3.77%,2.31%,"7,961",79,4.12%,2.69%,92.14%,85.11%,55,0,0.97%,0.00%,"₹ 1,05,147.00",₹ 0.00,54,0
FBA79567,SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"6,614",127,4.41%,5.75%,"8,744",185,4.53%,6.31%,84.90%,91.30%,47,1,0.71%,0.79%,"₹ 2,45,357.00","₹ 5,699.00",47,1
FBA79373,ET-01-BK_N,B0D2P5TGWK,B0D2P5TGWK,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black","1,031",21,0.69%,0.95%,"1,428",36,0.74%,1.23%,85.82%,75.00%,39,1,3.78%,4.76%,"₹ 10,975.00",₹ 299.00,39,1
FBA79652,SC-05,B0F43P6D23,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,"7,019",139,4.67%,6.30%,"8,872",181,4.60%,6.17%,74.86%,73.33%,39,0,0.56%,0.00%,"₹ 99,399.00",₹ 0.00,39,0
FBA79406,HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","2,275",23,1.52%,1.04%,"3,191",30,1.65%,1.02%,89.64%,27.27%,36,0,1.58%,0.00%,"₹ 70,169.00",₹ 0.00,36,0
FBA79349,SW-01,B0D9KDQCCM,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,"1,637",21,1.09%,0.95%,"2,438",38,1.26%,1.30%,80.84%,58.33%,35,1,2.14%,4.76%,"₹ 32,789.00",₹ 927.00,35,1
FBA79268,GS-05,B0D383WQPB,B0D383WQPB,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,"2,361",27,1.57%,1.22%,"3,216",36,1.67%,1.23%,66.78%,78.57%,32,0,1.36%,0.00%,"₹ 54,049.00",₹ 0.00,32,0
FBA79679,ST-01,B0DVC7VJP1,B0DVC7VJP1,"NexLev Stand Mixer |5.5L SS Bowl | 1500W |10 Speeds | Pulse Function |Planetary Rotation | Whisk, Beater & Dough Hook|100% Copper Motor | For Roti & Cookie Dough, Cake Making, Whip Cream & more |ST-01","3,548",42,2.36%,1.90%,"4,706",61,2.44%,2.08%,86.93%,65.63%,25,1,0.70%,2.38%,"₹ 1,34,808.00","₹ 5,589.00",25,1
FBA79280,LR-02,B0D845B2DG,B0D845B2DG,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lint Brush for Coat| SS Blade | Safety Lock | LR-02",649,26,0.43%,1.18%,985,34,0.51%,1.16%,80.26%,72.73%,24,0,3.70%,0.00%,"₹ 30,724.00",₹ 0.00,24,0
FBA79489,KE-02,B0DFD123P5,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02","1,930",35,1.29%,1.59%,"2,855",69,1.48%,2.35%,94.50%,95.00%,23,0,1.19%,0.00%,"₹ 32,278.00",₹ 0.00,23,0
