SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79697,TD310,B0CQX4K9P5,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC","1,009",27,0.35%,0.50%,"1,845",41,0.47%,0.54%,11.17%,16.67%,7,0,0.69%,0.00%,"₹ 11,643.00",₹ 0.00,7,0
FBA77110,TM20,B08NDB5NWP,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",188,19,0.06%,0.35%,262,26,0.07%,0.34%,92.41%,80.00%,6,1,3.19%,5.26%,"₹ 18,120.16","₹ 2,999.00",6,1
FBA77113,K1,B01ISNU3X4,B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity","1,482",42,0.51%,0.78%,"2,222",63,0.57%,0.83%,6.02%,0.00%,3,0,0.20%,0.00%,"₹ 5,397.00",₹ 0.00,3,0
FBA79585,T20LP,B0CFKHCQ8W,B0CFKHCQ8W,"Tonor Mic Arm Desk Mount, Low Profile Boom Arm, Microphone Arm, Adjustable Mic Stand with Desk Mount Clamp, Cable Management, 3/8’’ and 5/8’’ Screwadapter for Most Microphone, Black, T20LP",183,5,0.06%,0.09%,239,6,0.06%,0.08%,100.00%,100.00%,3,0,1.64%,0.00%,"₹ 6,597.00",₹ 0.00,3,0
FBA77117,S20,B078WNW4YW,B078WNW4YW,"TONOR Wireless Microphone Isolation Shield, Mic Sound Absorbing Foam Reflector for Any Condenser Recording Equipment Studio (Black)",212,3,0.07%,0.06%,301,3,0.08%,0.04%,3.16%,0.00%,2,0,0.94%,0.00%,"₹ 2,606.54",₹ 0.00,2,0
FBA79696,TD310+,B0CQX3VB1R,B0CQX3VB1R,"TONOR Dynamic USB/Type-C Microphone for PC, RGB Podcast Computer Gaming Microphone with Arm Stand for Recording, Live, Streaming, YouTube, Vocals, Studio, Karaoke Microphone, Quick Mute Button, Black",277,8,0.10%,0.15%,501,8,0.13%,0.11%,14.41%,0.00%,2,0,0.72%,0.00%,"₹ 3,798.00",₹ 0.00,2,0
FBA77114,TC-2030,B07TSN2H9D,B07TSN2H9D,"TONOR Cardioid Condenser Microphone, USB Computer Mic Kit with 24mm Diaphragm/Spider Shock Mount for Podcasting, Gaming, Streaming, YouTube, Voice Over, Studio/Home Recording, TC-2030",107,3,0.04%,0.06%,154,5,0.04%,0.07%,86.23%,0.00%,1,0,0.93%,0.00%,"₹ 3,999.00",₹ 0.00,1,0
FBA77106,T20,B082W4B7SX,B082W4B7SX,"TONOR Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop , 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",131,3,0.05%,0.06%,155,5,0.04%,0.07%,8.28%,0.00%,1,0,0.76%,0.00%,"₹ 2,411.50",₹ 0.00,1,0
FBA77111,TC30,B08CVP2HXP,B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30",460,8,0.16%,0.15%,619,9,0.16%,0.12%,6.04%,0.00%,1,0,0.22%,0.00%,"₹ 2,179.00",₹ 0.00,1,0
FBA79574,TC30S,B0B4WTHLX5,B0B4WTHLX5,"TONOR RGB USB Microphone, Cardioid Condenser Computer PC Mic with Tripod Stand, Pop Filter, Shock Mount for Gaming, Streaming, Podcasting, YouTube, Twitch, Compatible with Laptop Desktop,TC30 with RGB",72,5,0.02%,0.09%,100,8,0.03%,0.11%,63.53%,0.00%,1,0,1.39%,0.00%,"₹ 2,379.00",₹ 0.00,1,0
FBA79112,T90,B0BRKDLXCD,B0BRKDLXCD,"RGB Boom Arm, TONOR Adjustable Mic Stand with RGB Light for HyperX QuadCast/Blue Yeti/Shure SM7B/Rode NT1, Rotatable Suspension Boom Scissor Stand for Gaming Streaming Podcasting YouTube Recording T90",153,2,0.05%,0.04%,208,2,0.05%,0.03%,97.99%,100.00%,1,0,0.65%,0.00%,"₹ 3,699.00",₹ 0.00,1,0
FBA79111,TD510,B0BRKFP94K,B0BRKFP94K,"TONOR TD510 Dynamic Microphone, USB/XLR PC Microphone for Podcast, Recording, Live Streaming & Gaming, XLR Cardioid Studio Mic Music Voice-Over with Quick Mute, Headphone Output, Volume Control",267,4,0.09%,0.07%,395,4,0.10%,0.05%,15.27%,0.00%,1,0,0.37%,0.00%,"₹ 4,026.94",₹ 0.00,1,0
FBA79114,TC310+,B0CCV74CL7,B0CCV74CL7,"TONOR TC310+ RGB Condenser Mic with Boom Arm Quick Mute, RGB Lighting, Pop Filter, Shock Mount,Gaming USB Microphone Set for PC Gain Control for Streaming Podcasting Recording Discord Twitch YouTube",711,10,0.24%,0.19%,939,11,0.24%,0.15%,4.08%,0.00%,1,0,0.14%,0.00%,"₹ 3,030.54",₹ 0.00,1,0
FBA79260,G11,B07GVGMW59,B07GVGMW59,"TONOR G11 Conference USB Microphone, Omnidirectional Condenser PC Mic for Video Conference, Recording, Skype, Online Class, Court Reporter, Plug & Play Compatible with Mac OS X Windows PC Computer",245,23,0.08%,0.43%,350,31,0.09%,0.41%,35.42%,4.76%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA77101,TC-777,B07WLWN2ZT,B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",186,2,0.06%,0.04%,263,4,0.07%,0.05%,1.27%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
