SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79167,WM-GD07-CB,B0CPFS24ML,B0CPFS24ML,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (117 * 67 * 71 CM)","22,259",459,52.11%,43.47%,"33,079",684,53.62%,45.21%,99.78%,99.66%,133,2,0.60%,0.44%,"₹ 9,72,265.00","₹ 14,618.00",132,2
FBA76415,WM-LOD-CF,B0BFWD6SNF,B0BFWD6SNF,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|Carbon Fibre,"1,924",94,4.50%,8.90%,"2,725",127,4.42%,8.39%,80.56%,100.00%,16,1,0.83%,1.06%,"₹ 1,29,217.00","₹ 8,999.00",16,1
FBA76417,WM-LOD-WH,B0BFVMDJ2K,B0BFVMDJ2K,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|White,"1,072",43,2.51%,4.07%,"1,448",55,2.35%,3.64%,43.51%,100.00%,6,1,0.56%,2.33%,"₹ 48,914.00","₹ 8,999.00",6,1
FBA76418,WM-LOD-IN,B0BFVNS8HS,B0BFVNS8HS,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|Industrial,928,52,2.17%,4.92%,"1,281",65,2.08%,4.30%,51.09%,100.00%,4,0,0.43%,0.00%,"₹ 33,029.00",₹ 0.00,4,0
FBA76416,WM-LOD-BK,B0BFW59TRG,B0BFW59TRG,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm",410,16,0.96%,1.52%,534,19,0.87%,1.26%,86.91%,100.00%,4,0,0.98%,0.00%,"₹ 32,036.00",₹ 0.00,4,0
FBA79179,WM-SE08-CF,B0CPT3Q25C,B0CPT3Q25C,White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office Home & Study Table| 1200mmx600mm | Carbon Fibre,510,27,1.19%,2.56%,677,39,1.10%,2.58%,86.51%,100.00%,2,0,0.39%,0.00%,"₹ 30,018.00",₹ 0.00,2,0
FBA79178,WM-SE08-WH,B0CPT2NY5M,B0CPT2NY5M,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | White",142,16,0.33%,1.52%,200,21,0.32%,1.39%,95.09%,100.00%,1,0,0.70%,0.00%,"₹ 15,603.00",₹ 0.00,1,0
FBA79658,WM-MDL-WH,B0DQ1PKNSP,B0DQ1PKNSP,White Mulberry |120X60CM Table Top|Manual Sit Stand Desk|Multi-Purpose Manual Height Adjustable Ergonomic Desk - Office Work Study Table|3 Year Warranty| 80 Kg Weight Carrying Capacity - White,250,10,0.59%,0.95%,356,11,0.58%,0.73%,82.64%,100.00%,1,0,0.40%,0.00%,"₹ 15,001.00",₹ 0.00,1,0
FBA79662,WM-MODL-WH,B0DQ4YWSMC,B0DQ4YWSMC,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,190,12,0.44%,1.14%,248,15,0.40%,0.99%,70.81%,100.00%,1,0,0.53%,0.00%,"₹ 15,999.00",₹ 0.00,1,0
FBK76387,WM-MH05P-WH,B0BF4S7V8C,B0BF4S7V8C,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White",341,17,0.80%,1.61%,421,18,0.68%,1.19%,19.95%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
