(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand",910,50,0.31%,0.93%,"1,570",77,0.40%,1.02%,99.78%,100.00%,81,24,8.90%,48.00%,"₹57,071.00","₹16,868.00",60,5
B0FN4D3C89,B0FN4D3C89,"White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand","1,123",65,0.39%,1.21%,"1,712",92,0.44%,1.21%,99.93%,100.00%,57,10,5.08%,15.38%,"₹26,135.00","₹4,790.00",50,4
B0CDPMX152,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,"4,047",32,1.39%,0.59%,"5,474",51,1.40%,0.67%,68.60%,46.67%,37,0,0.91%,0.00%,"₹71,952.00",₹0.00,37,0
B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","11,732",275,4.03%,5.10%,"15,079",375,3.86%,4.95%,32.05%,23.86%,31,1,0.26%,0.36%,"₹93,623.00","₹3,429.00",31,1
B0DKJXRXKM,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,"1,283",31,0.44%,0.57%,"1,774",41,0.45%,0.54%,53.04%,36.36%,28,1,2.18%,3.23%,"₹39,469.00","₹1,514.00",28,1
B0979PJSCV,B0979PJSCV,Nektar SE61 61-Key Full-Size Velocity-Sensitive USB Midi Keyboard Controller with Nektar DAW Integration and Free Professional Recording Software,"2,020",19,0.69%,0.35%,"2,922",28,0.75%,0.37%,99.92%,100.00%,24,0,1.19%,0.00%,"₹2,40,960.00",₹0.00,24,0
B0FT8R24QM,B0FT8R24QM,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets |Fabric Brush | Pill, Rue & Burr Remover | Battery Powered| Stainless Steel Blade |Safety Lock | LR-03","1,426",35,0.49%,0.65%,"2,174",48,0.56%,0.63%,15.22%,29.17%,24,0,1.68%,0.00%,"₹7,143.00",₹0.00,24,0
B0FN4FPJ83,B0FN4FPJ83,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8""-4.3"" Devices, 6.5"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management",117,19,0.04%,0.35%,196,55,0.05%,0.73%,100.00%,100.00%,40,35,34.19%,184.21%,"₹72,464.00","₹63,444.00",21,17
B0DB5W4TCP,B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),544,25,0.19%,0.46%,738,30,0.19%,0.40%,100.00%,100.00%,20,1,3.68%,4.00%,"₹30,170.00","₹1,579.00",20,1
B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","6,533",90,2.25%,1.67%,"7,508",99,1.92%,1.31%,67.46%,64.15%,18,0,0.28%,0.00%,"₹61,382.00",₹0.00,18,0
B0D9KDQCCM,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,"1,637",21,0.56%,0.39%,"2,438",38,0.62%,0.50%,19.11%,41.67%,16,1,0.98%,4.76%,"₹15,446.00",₹955.00,16,1
