(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B086K654H9,B086K654H9,"Fossil Gwen Analogue Women's Watch (Gold Dial Womens Standard Colored)-Es4879 Gold Plated, Gold Strap - Gold-Plated","4,017",88,1.87%,2.25%,"6,225",121,2.22%,2.26%,99.73%,100.00%,69,3,1.72%,3.41%,"₹5,37,993.00","₹23,391.00",69,3
B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","9,340",166,4.36%,4.25%,"12,541",229,4.46%,4.28%,93.25%,96.36%,69,2,0.74%,1.20%,"₹2,46,801.00","₹7,198.00",69,2
B00DUCIUDY,B00DUCIUDY,"Fossil Chronograph Rose Gold Dial Women Watch ES3352 Stainless Steel, Rose Gold Strap","3,254",73,1.52%,1.87%,"5,441",134,1.94%,2.50%,99.61%,100.00%,68,0,2.09%,0.00%,"₹4,89,396.00",₹0.00,66,0
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","4,889",122,2.28%,3.13%,"6,821",181,2.43%,3.38%,99.87%,100.00%,52,1,1.06%,0.82%,"₹4,18,444.00","₹8,047.00",50,1
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"7,835",127,3.66%,3.25%,"11,026",205,3.92%,3.83%,99.83%,100.00%,48,2,0.61%,1.57%,"₹6,01,412.00","₹25,592.00",48,2
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"3,459",69,1.61%,1.77%,"5,171",107,1.84%,2.00%,99.62%,100.00%,39,4,1.13%,5.80%,"₹3,04,083.00","₹31,188.00",39,4
B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand",585,33,0.27%,0.85%,901,45,0.32%,0.84%,78.63%,100.00%,39,4,6.67%,12.12%,"₹28,721.00","₹2,891.00",38,4
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"3,152",59,1.47%,1.51%,"4,305",80,1.53%,1.50%,99.87%,100.00%,19,0,0.60%,0.00%,"₹1,52,893.00",₹0.00,16,0
B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",508,22,0.24%,0.56%,690,30,0.25%,0.56%,76.86%,93.33%,13,1,2.56%,4.55%,"₹17,388.00","₹1,449.00",13,1
B0DJ2XHK2N,B0DJ2XHK2N,Fossil Women's Scarlette Multicolor Analog Quartz Stainless Steel Watch ES5388,"2,595",34,1.21%,0.87%,"3,605",43,1.28%,0.80%,88.59%,100.00%,12,1,0.46%,2.94%,"₹1,43,940.00","₹11,995.00",12,1
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"2,689",49,1.25%,1.26%,"3,698",65,1.32%,1.21%,98.76%,94.44%,10,0,0.37%,0.00%,"₹1,59,950.00",₹0.00,10,0
B0DP2Z5DQ9,B0DP2Z5DQ9,"White Mulberry 10-Step Height Adjustable Single Screen Monitor Stand for 17-32 Inch Monitor, 8 kg Load, VESA 75x75/100x100, DIY Installation (Black)",326,18,0.15%,0.46%,474,22,0.17%,0.41%,86.50%,100.00%,10,1,3.07%,5.56%,"₹28,988.00","₹2,997.00",10,1
B004D4S7AY,B004D4S7AY,Fossil Riley Analog Rose Gold Dial Women's Watch - ES2811,"5,307",67,2.48%,1.72%,"6,914",93,2.46%,1.74%,98.16%,95.56%,9,1,0.17%,1.49%,"₹1,21,437.00","₹13,493.00",9,1
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,608",13,0.75%,0.33%,"2,248",23,0.80%,0.43%,92.68%,100.00%,9,0,0.56%,0.00%,"₹85,455.00",₹0.00,9,0
B0D2P5TGWK,B0D2P5TGWK,NexLev Smart Electric Toothbrush for Adults | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-01 Black,678,5,0.32%,0.13%,934,10,0.33%,0.19%,37.08%,100.00%,9,2,1.33%,40.00%,"₹2,691.00",₹598.00,9,2
B0DQ8W1RBV,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings|V-01RG",860,5,0.40%,0.13%,"1,242",11,0.44%,0.21%,52.66%,100.00%,9,0,1.05%,0.00%,"₹13,491.00",₹0.00,9,0
B07M7P7VLX,B07M7P7VLX,"Fossil Riley Analog Black Dial Women's Watch-ES4519 Stainless Steel, Black Strap","1,121",16,0.52%,0.41%,"1,505",30,0.54%,0.56%,96.02%,100.00%,8,0,0.71%,0.00%,"₹75,576.00",₹0.00,8,0
B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","46,754",814,21.82%,20.85%,"56,386","1,001",20.07%,18.71%,31.37%,57.76%,8,1,0.02%,0.12%,"₹23,592.00","₹2,949.00",8,1
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"1,413",20,0.66%,0.51%,"2,000",30,0.71%,0.56%,73.80%,100.00%,7,0,0.50%,0.00%,"₹63,679.00",₹0.00,7,0
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","1,468",22,0.69%,0.56%,"2,038",35,0.73%,0.65%,92.67%,100.00%,7,0,0.48%,0.00%,"₹81,172.00",₹0.00,7,0
B0D2P7WLJB,B0D2P7WLJB,NexLev Smart Electric Toothbrush for Adults | 2 Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery Powered | 2 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-02 Green,416,8,0.19%,0.20%,571,13,0.20%,0.24%,27.64%,80.00%,8,2,1.92%,25.00%,"₹2,392.00",₹598.00,7,1
B08QVCPDVT,B08QVCPDVT,Fossil Neutra Silver Watch FS5792,"1,372",14,0.64%,0.36%,"1,929",15,0.69%,0.28%,93.61%,100.00%,6,0,0.44%,0.00%,"₹86,970.00",₹0.00,6,0
B0DP2VVRND,B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),832,46,0.39%,1.18%,"1,295",75,0.46%,1.40%,20.96%,20.75%,6,0,0.72%,0.00%,"₹12,000.00",₹0.00,6,0
B00AMWDOEK,B00AMWDOEK,Fossil Grant Chronograph Beige Dial Men's Watch - FS4735,"2,574",32,1.20%,0.82%,"3,317",52,1.18%,0.97%,97.93%,95.45%,5,0,0.19%,0.00%,"₹64,965.00",₹0.00,5,0
