SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79493,V-03,B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"4,986",16,3.62%,0.69%,"6,988",23,3.94%,0.74%,70.89%,100.00%,51,0,1.02%,0.00%,"₹ 97,951.00",₹ 0.00,51,0
FBA79452,VC-01,B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"4,624",35,3.36%,1.51%,"6,591",45,3.72%,1.45%,60.01%,66.67%,37,0,0.80%,0.00%,"₹ 71,784.00",₹ 0.00,37,0
FBA79570,BR-01,B0DKJXRXKM,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,"1,791",38,1.30%,1.64%,"2,478",66,1.40%,2.13%,96.37%,97.44%,37,0,2.07%,0.00%,"₹ 54,215.00",₹ 0.00,37,0
FBA79263,MR-01,B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","46,754",814,33.96%,35.07%,"56,386","1,001",31.80%,32.26%,65.98%,40.95%,32,0,0.07%,0.00%,"₹ 88,470.00",₹ 0.00,32,0
FBA79280,LR-02,B0D845B2DG,B0D845B2DG,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lint Brush for Coat| SS Blade | Safety Lock | LR-02",453,15,0.33%,0.65%,658,22,0.37%,0.71%,90.89%,70.00%,33,0,7.28%,0.00%,"₹ 44,940.00",₹ 0.00,30,0
FBA79464,CM-01-BL,B0DFCDKMWR,B0DFCDKMWR,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Blue CM-01,"1,113",29,0.81%,1.25%,"1,500",50,0.85%,1.61%,99.48%,89.47%,29,0,2.61%,0.00%,"₹ 34,972.00",₹ 0.00,27,0
FBA79567,SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"7,843",102,5.70%,4.39%,"10,462",141,5.90%,4.54%,76.21%,78.95%,28,1,0.36%,0.98%,"₹ 1,67,972.00","₹ 5,999.00",27,1
FBA79440,LE-02,B0DCGHKRXX,B0DCGHKRXX,NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02,"4,518",10,3.28%,0.43%,"5,669",12,3.20%,0.39%,93.96%,0.00%,26,0,0.58%,0.00%,"₹ 51,974.00",₹ 0.00,26,0
FBA79406,HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","7,951",33,5.78%,1.42%,"10,183",39,5.74%,1.26%,83.54%,26.32%,26,0,0.33%,0.00%,"₹ 52,228.00",₹ 0.00,26,0
FBA79652,SC-05,B0F43P6D23,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,"4,741",114,3.44%,4.91%,"6,204",139,3.50%,4.48%,80.91%,90.00%,26,1,0.55%,0.88%,"₹ 74,629.26","₹ 2,999.00",26,1
