date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-03-05,0,140.4,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,260,0.0,443114952516334,B0F9FV5DRF,B0F9FV5DRF,4,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,0,,,(unmapped),,,
2026-03-06,1,567.1,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,2262,1566.95,443114952516334,B0F9FV5DRF,B0F9FV5DRF,24,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,1,,,(unmapped),,,
2026-03-07,0,501.4,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,2133,0.0,443114952516334,B0F9FV5DRF,B0F9FV5DRF,22,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,0,,,(unmapped),,,
2026-03-08,4,578.3,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,1541,9168.65,443114952516334,B0F9FV5DRF,B0F9FV5DRF,23,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,4,,,(unmapped),,,
2026-03-09,3,935.7,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,1902,4700.85,443114952516334,B0F9FV5DRF,B0F9FV5DRF,37,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,3,,,(unmapped),,,
2026-03-10,0,716.53,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,1937,0.0,443114952516334,B0F9FV5DRF,B0F9FV5DRF,28,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,0,,,(unmapped),,,
2026-03-11,0,515.43,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,1567,0.0,443114952516334,B0F9FV5DRF,B0F9FV5DRF,16,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,0,,,(unmapped),,,
2026-03-12,5,923.92,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,2087,8861.01,443114952516334,B0F9FV5DRF,B0F9FV5DRF,31,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,5,,,(unmapped),,,
2026-03-13,1,591.61,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,1597,1270.34,443114952516334,B0F9FV5DRF,B0F9FV5DRF,22,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,1,,,(unmapped),,,
2026-03-14,2,696.23,SP PT_Monitor Arm Height Adj-HA2ML - B0DB5YTQZV,307155910002298,1293,3133.9,443114952516334,B0F9FV5DRF,B0F9FV5DRF,22,WM- Height Adjustable stand- Dual-B0DB5YTQZV- PT,2,,,(unmapped),,,
