date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2,ad_account
2026-08-01,2,248.36,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5978,15252.54,19578175222729,FBK80105,B0GZH9SCNC,46,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-02,1,228.09,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5125,5931.36,19578175222729,FBK80105,B0GZH9SCNC,44,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-03,0,168.18,Ad Group - 16/5/2026 20:03:00.184,108058378659029,42751,0.0,19578175222729,FBK80105,B0GZH9SCNC,35,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-04,1,293.1,Ad Group - 16/5/2026 20:03:00.184,108058378659029,9386,6355.08,19578175222729,FBK80105,B0GZH9SCNC,50,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-05,0,229.7,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5129,0.0,19578175222729,FBK80105,B0GZH9SCNC,44,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-06,2,187.03,Ad Group - 16/5/2026 20:03:00.184,108058378659029,3892,8727.11,19578175222729,FBK80105,B0GZH9SCNC,33,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-07,2,221.09,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5383,13937.3,19578175222729,FBK80105,B0GZH9SCNC,43,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-08,4,333.29,Ad Group - 16/5/2026 20:03:00.184,108058378659029,4863,12993.22,19578175222729,FBK80105,B0GZH9SCNC,55,AudioArray-Catch All_SP_PT_Defensive,4,,,(unmapped),,,,AudioArray
2026-08-09,1,326.91,Ad Group - 16/5/2026 20:03:00.184,108058378659029,4654,414.41,19578175222729,FBK80105,B0GZH9SCNC,56,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-10,0,314.77,Ad Group - 16/5/2026 20:03:00.184,108058378659029,4761,0.0,19578175222729,FBK80105,B0GZH9SCNC,51,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-11,0,271.85,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6156,0.0,19578175222729,FBK80105,B0GZH9SCNC,46,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-12,1,275.0,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6174,2965.25,19578175222729,FBK80105,B0GZH9SCNC,44,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-13,1,262.45,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5486,8897.46,19578175222729,FBK80105,B0GZH9SCNC,43,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-14,2,445.85,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5510,22032.2,19578175222729,FBK80105,B0GZH9SCNC,69,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-15,2,339.01,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6366,13133.9,19578175222729,FBK80105,B0GZH9SCNC,58,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-16,0,412.68,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6124,0.0,19578175222729,FBK80105,B0GZH9SCNC,67,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-17,3,333.67,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6250,12315.34,19578175222729,FBK80105,B0GZH9SCNC,60,AudioArray-Catch All_SP_PT_Defensive,3,,,(unmapped),,,,AudioArray
2026-08-18,1,265.69,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5626,3219.49,19578175222729,FBK80105,B0GZH9SCNC,42,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-19,0,269.57,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6005,0.0,19578175222729,FBK80105,B0GZH9SCNC,50,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-20,0,342.43,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5572,0.0,19578175222729,FBK80105,B0GZH9SCNC,54,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-21,0,294.22,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5463,0.0,19578175222729,FBK80105,B0GZH9SCNC,49,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-22,1,355.6,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6354,3058.52,19578175222729,FBK80105,B0GZH9SCNC,63,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-23,0,434.54,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5860,0.0,19578175222729,FBK80105,B0GZH9SCNC,73,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-24,1,462.13,Ad Group - 16/5/2026 20:03:00.184,108058378659029,6519,7626.27,19578175222729,FBK80105,B0GZH9SCNC,73,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
2026-08-25,0,370.73,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5252,0.0,19578175222729,FBK80105,B0GZH9SCNC,57,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-26,0,286.01,Ad Group - 16/5/2026 20:03:00.184,108058378659029,4843,0.0,19578175222729,FBK80105,B0GZH9SCNC,44,AudioArray-Catch All_SP_PT_Defensive,0,,,(unmapped),,,,AudioArray
2026-08-27,2,267.71,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5837,7286.45,19578175222729,FBK80105,B0GZH9SCNC,47,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-28,2,292.45,Ad Group - 16/5/2026 20:03:00.184,108058378659029,5537,9095.85,19578175222729,FBK80105,B0GZH9SCNC,50,AudioArray-Catch All_SP_PT_Defensive,2,,,(unmapped),,,,AudioArray
2026-08-29,1,131.57,Ad Group - 16/5/2026 20:03:00.184,108058378659029,2956,3219.49,19578175222729,FBK80105,B0GZH9SCNC,24,AudioArray-Catch All_SP_PT_Defensive,1,,,(unmapped),,,,AudioArray
