date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-04-01,0,41.79,Audio Array AM-C4/AM-C6 KT,38916472203806,1026,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-02,0,31.09,Audio Array AM-C4/AM-C6 KT,38916472203806,864,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-03,0,8.36,Audio Array AM-C4/AM-C6 KT,38916472203806,724,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,1,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-04,2,39.03,Audio Array AM-C4/AM-C6 KT,38916472203806,682,3250.85,217988530787217,B0B4DS678Q,B0B4DS678Q,6,AA_Condenser_AM-C4/AM-C6_SP_KT,2,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-05,0,41.31,Audio Array AM-C4/AM-C6 KT,38916472203806,1066,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-06,0,70.71,Audio Array AM-C4/AM-C6 KT,38916472203806,802,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,7,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-07,0,46.41,Audio Array AM-C4/AM-C6 KT,38916472203806,992,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-08,0,31.52,Audio Array AM-C4/AM-C6 KT,38916472203806,735,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-09,0,34.25,Audio Array AM-C4/AM-C6 KT,38916472203806,585,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-10,0,43.45,Audio Array AM-C4/AM-C6 KT,38916472203806,682,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-11,0,65.37,Audio Array AM-C4/AM-C6 KT,38916472203806,634,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,6,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-04-12,0,20.37,Audio Array AM-C4/AM-C6 KT,38916472203806,1168,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,2,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
