campaignId,campaignName,brand,asin,sku,model,category_l0,category_l1,category_l2,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method,ad_account
34904507653695,Audio Array_B0B4DPX2J2_Condenser AMC1_SBV_PT,Audio Array,,,,,,,1161.04,20643,187,0.0,0,0,L5_campaign_kw,AudioArray
54319636929214,AudioArray_UHF Wireless Microphone_SB_Collection,Audio Array,,,,,,,1479.1599999999999,13089,70,1609.32,1,1,L5_campaign_kw,AudioArray
55271127552358,AudioArray - Conference Mic - SB - AD,Audio Array,,,,,,,6695.31,154141,668,135127.87,36,36,L5_campaign_kw,AudioArray
74919874519423,AudioArray_B0GN97RFPR_Studio Monitor_SB_KT,Audio Array,,,,,,,6331.12,139772,1308,11862.72,2,2,L5_campaign_kw,AudioArray
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0B4JRQP22,FBA75679,AA-02,Microphone Accessories,Accessories,,901.2871,15218,81,4239.85,1,1,L0_ads_api,AudioArray
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0BLKHVCDX,FBA76734,AA-07,Microphone Accessories,Accessories,,901.2871,15218,81,4239.85,1,1,L0_ads_api,AudioArray
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0BLKGPL4X,FBA76735,AA-08,Microphone Accessories,Accessories,,901.2871,15218,81,4239.85,1,1,L0_ads_api,AudioArray
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0BLJVJ2GN,FBA76414,AA-05,Microphone Accessories,Accessories,,901.2871,15218,81,4239.85,1,1,L0_ads_api,AudioArray
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0CF5TCQKL,FBA78975,AA-21,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,901.2871,15218,81,4239.85,1,1,L0_ads_api,AudioArray
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0DT6T6N6B,FBA79694,AA-26,Microphone Accessories,Accessories,,901.2871,15218,81,4239.85,1,1,L0_ads_api,AudioArray
