SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Units Ordered B2B,Ordered Product Sales,Ordered Product Sales B2B,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA75673,B0B4DPX2J2,B0B4DPX2J2,Audio Array,AM-C1,13,0,24392.37,0.0,64226,87033,1.98,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75673,B0B4DPX2J2,B0H75LGV59,Audio Array,AM-C1,4,0,6861.86,0.0,2007,2669,0.5,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75676,B0B4DS678Q,B0B4DS678Q,Audio Array,AM-C4,0,0,0.0,0.0,722,957,18.0,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75676,B0B4DS678Q,B0G12WL1Q1,Audio Array,AM-C4,2,0,3218.64,0.0,16,20,6.25,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75674,B0B4G19R58,B0B4G19R58,Audio Array,AM-C2,7,2,21416.45,6134.84,1738,2600,8.07,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75674,B0B4G19R58,B0H75NGQQS,Audio Array,AM-C2,6,0,18930.61,0.0,40,55,32.69,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75692,B0B4G1HPL5,B0B4G1HPL5,Audio Array,AM-C11,2,0,7794.92,0.0,9613,11652,34.13,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75692,B0B4G1HPL5,B0H7CN7MKJ,Audio Array,AM-C11,1,0,0.0,0.0,33,42,8.33,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75689,B0B4G59Y8W,B0B4G59Y8W,Audio Array,AM-W13,25,4,37522.88,6437.29,4207,6019,54.39,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75689,B0B4G59Y8W,B0H9VBY8XH,Audio Array,AM-W13,24,1,37269.49,1694.07,96,141,47.2,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75691,B0B4G5JG4P,B0B4G5JG4P,Audio Array,AM-W14,11,0,52686.44,0.0,8849,12797,14.82,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75691,B0B4G5JG4P,B0H8DQZSK8,Audio Array,AM-W14,0,0,0.0,0.0,263,401,0.59,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75688,B0B4G763WS,B0B4G763WS,Audio Array,AM-W12,0,0,0.0,0.0,2938,4066,4.71,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75688,B0B4G763WS,B0H9VBY8XH,Audio Array,AM-W12,0,0,0.0,0.0,80,139,14.78,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75684,B0B4G7VWXD,B0B4G7VWXD,Audio Array,AA-04,3,0,4252.54,0.0,1045,1532,13.37,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75678,B0B4G8PH2P,B0B4G8PH2P,Audio Array,AA-01,0,0,0.0,0.0,468,569,1.64,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75678,B0B4G8PH2P,B0HB3VYQFH,Audio Array,AA-01,0,0,0.0,0.0,22,32,0.0,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75675,B0B4G8ZB64,B0B4G8ZB64,Audio Array,AM-C3,5,0,3926.77,0.0,1355,1939,8.79,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75675,B0B4G8ZB64,B0F8NTF8S6,Audio Array,AM-C3,2,0,846.61,0.0,0,0,0.0,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
FBA75683,B0B4G94VP3,B0B4G94VP3,Audio Array,AA-03,8,0,3383.05,0.0,1061,1296,3.93,AUDIOARRAY,Aug26,2026-08-01,2026-08-31
