ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,Microphone Condenser,USB Microphone Kit - Boomarm,,850,1892197.14,851,0.0,122,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4DS678Q,FBA75676,Audio Array,AM-C4,Microphone Condenser,USB Microphone Kit - Tripod,,7,11193.2,7,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4FZS38V,FBA75681,Audio Array,AM-C7,Microphone Condenser,USB Microphone Kit - Boomarm,,0,0.0,0,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G19R58,FBA75674,Audio Array,AM-C2,Microphone Condenser,XLR Microphone Kit - Boomarm,,40,125510.24,40,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G1HPL5,FBA75692,Audio Array,AM-C11,Microphone Dynamic,USB/XLR Dynamic Mic,,5,15131.35,4,0.0,4,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G59Y8W,FBA75689,Audio Array,AM-W13,Microphone Wireless Handheld,Wireless Microphone,,26,43750.0,26,0.0,7,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G5JG4P,FBA75691,Audio Array,AM-W14,Microphone Wireless Handheld,Wireless Microphone,,59,295756.08,61,0.0,7,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G5ZLTB,FBA75687,Audio Array,AM-W11,Microphone Wireless Lapel,Wireless Microphone,,0,0.0,1,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G763WS,FBA75688,Audio Array,AM-W12,Microphone Wireless Handheld,Wireless Microphone,,39,125543.21,37,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G7VWXD,FBA75684,Audio Array,AA-04,Microphone Accessories,Accessories,,50,70307.74,50,0.0,5,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G8PH2P,FBA75678,Audio Array,AA-01,Microphone Accessories,Accessories,,18,31866.1,18,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G8ZB64,FBA75675,Audio Array,AM-C3,Microphone Dynamic,Vocal Microphone,,47,38374.6,47,0.0,5,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4G94VP3,FBA75683,Audio Array,AA-03,Microphone Accessories,Accessories,,59,23949.99,60,0.0,16,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4JRQP22,FBA75679,Audio Array,AA-02,Microphone Accessories,Accessories,,35,72826.33,35,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4K87PR4,FBA75690,Audio Array,AM-C10,Microphone Conference,Conference Microphone,,55,176955.03,55,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4KC7VBM,FBA75677,Audio Array,AM-C5,Microphone Conference,Conference Microphone,,30,60570.43,29,0.0,10,1p Sales,Aug26,2026-08-01,2026-08-31
B0BLJVJ2GN,FBA76414,Audio Array,AA-05,Microphone Accessories,Accessories,,134,68681.26,134,0.0,17,1p Sales,Aug26,2026-08-01,2026-08-31
B0BLKB55BM,FBA76721,Audio Array,AM-C18,Microphone dynamic,Mobile Microphone,,1,2404.24,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0BLKB6FRR,FBA76730,Audio Array,AM-C27,Microphone Dynamic,Vocal Microphone,,2,2159.32,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0BLKCSJ7Z,FBA76725,Audio Array,AM-C22,Microphone Condenser,USB Microphone Kit - Tripod,,1,1016.1,1,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0BLNCP74M,FBA76728,Audio Array,AM-C25,Microphone Condenser,USB Microphone Kit - Boomarm,,0,0.0,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0BPLWW72Y,FBA76862,Audio Array,AM-C28,Microphone Conference,Conference Microphone,,119,157139.28,109,0.0,13,1p Sales,Aug26,2026-08-01,2026-08-31
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,Audio Interface,Audio Interface,,582,2296063.56,582,0.0,119,1p Sales,Aug26,2026-08-01,2026-08-31
B0BPM2T7BQ,FBA76863,Audio Array,AI-03,Audio Interface,Audio Interface,,22,72455.9,21,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0BQ7H7418,FBA76597,Audio Array,AA-06,Microphone Accessories,Accessories,,44,46938.9,40,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0C4YSV3XL,FBA78206,Audio Array,AM-W15,Microphone Wireless Lapel,Wireless Mic with Charging Case,,0,0.0,0,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0C4YTNJG7,FBA78203,Audio Array,AM-C30,Microphone Condenser,RGB USB Microphone Kit - Tripod,,0,0.0,0,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0CBC7QMNV,FBA78925,Audio Array,AM-C11X,Microphone Dynamic,XLR Dynamic Mic,,7,21256.77,8,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
