SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA75673,B0B4DPX2J2,B0B4DPX2J2,Audio Array,AM-C1,29,65857.63,50821,70641,3.81,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75676,B0B4DS678Q,B0B4DS678Q,Audio Array,AM-C4,2,3218.64,581,794,10.03,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75674,B0B4G19R58,B0B4G19R58,Audio Array,AM-C2,3,9584.2,2282,3319,4.01,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75692,B0B4G1HPL5,B0B4G1HPL5,Audio Array,AM-C11,1,3982.2,875,1161,8.62,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75680,B0B4G1PXWV,B0B4G1PXWV,Audio Array,AM-C6,0,0.0,0,0,0.0,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75689,B0B4G59Y8W,B0B4G59Y8W,Audio Array,AM-W13,1,1656.78,1085,1598,14.27,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75691,B0B4G5JG4P,B0B4G5JG4P,Audio Array,AM-W14,16,85289.83,4194,6392,34.66,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75688,B0B4G763WS,B0B4G763WS,Audio Array,AM-W12,1,3516.1,1261,1763,6.34,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75684,B0B4G7VWXD,B0B4G7VWXD,Audio Array,AA-04,1,1439.83,859,1215,5.0,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75678,B0B4G8PH2P,B0B4G8PH2P,Audio Array,AA-01,0,0.0,812,996,7.84,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75675,B0B4G8ZB64,B0B4G8ZB64,Audio Array,AM-C3,1,888.14,1140,1669,7.59,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75683,B0B4G94VP3,B0B4G94VP3,Audio Array,AA-03,2,822.03,884,1080,3.27,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75679,B0B4JRQP22,B0B4JRQP22,Audio Array,AA-02,3,6410.17,1582,2175,2.56,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
FBA75690,B0B4K87PR4,B0B4K87PR4,Audio Array,AM-C10,8,27111.86,2969,3681,17.19,AUDIOARRAY,2026-07,2026-07-01,2026-07-31
