date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-06-05,B0B4DPX2J2,115.1,Condenser Microphones,0,88800319740398,0,23622,B0B4DPX2J2,1530305156531,0.0,71,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-06,B0B4DPX2J2,236.94,Condenser Microphones,1,88800319740398,1,25673,B0B4DPX2J2,1530305156531,2244.92,64,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-07,B0B4DPX2J2,176.98,Condenser Microphones,0,88800319740398,0,21445,B0B4DPX2J2,1530305156531,0.0,43,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-08,B0B4DPX2J2,199.3,Condenser Microphones,1,88800319740398,1,20817,B0B4DPX2J2,1530305156531,2244.92,46,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-09,B0B4DPX2J2,215.61,Condenser Microphones,0,88800319740398,0,12548,B0B4DPX2J2,1530305156531,0.0,44,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-10,B0B4DPX2J2,220.77,Condenser Microphones,1,88800319740398,1,15242,B0B4DPX2J2,1530305156531,2244.92,41,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-11,B0B4DPX2J2,151.7,Condenser Microphones,1,88800319740398,1,19005,B0B4DPX2J2,1530305156531,0.0,29,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-12,B0B4DPX2J2,113.13,Condenser Microphones,3,88800319740398,3,8916,B0B4DPX2J2,1530305156531,8726.27,28,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-13,B0B4DPX2J2,92.74,Condenser Microphones,1,88800319740398,1,6937,B0B4DPX2J2,1530305156531,2244.92,20,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-14,B0B4DPX2J2,148.39,Condenser Microphones,0,88800319740398,0,14743,B0B4DPX2J2,1530305156531,0.0,65,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-15,B0B4DPX2J2,484.49,Condenser Microphones,1,88800319740398,1,27214,B0B4DPX2J2,1530305156531,2244.92,115,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-06-16,B0B4DPX2J2,545.44,Condenser Microphones,0,88800319740398,0,62219,B0B4DPX2J2,1530305156531,0.0,172,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
