ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,Microphone Condenser,USB Microphone Kit - Boomarm,,1002,2257894.89,1004,0.0,197,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4DS678Q,FBA75676,Audio Array,AM-C4,Microphone Condenser,USB Microphone Kit - Tripod,,5,8046.6,5,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G19R58,FBA75674,Audio Array,AM-C2,Microphone Condenser,XLR Microphone Kit - Boomarm,,49,157755.17,47,0.0,9,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G1HPL5,FBA75692,Audio Array,AM-C11,Microphone Dynamic,USB/XLR Dynamic Mic,,8,31857.6,8,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G1PXWV,FBA75680,Audio Array,AM-C6,Microphone Condenser,USB Microphone Kit - Tripod,,5,8470.34,5,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G59Y8W,FBA75689,Audio Array,AM-W13,Microphone Wireless Handheld,Wireless Microphone,,2,3727.12,2,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G5JG4P,FBA75691,Audio Array,AM-W14,Microphone Wireless Handheld,Wireless Microphone,,17,89646.58,16,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G5ZLTB,FBA75687,Audio Array,AM-W11,Microphone Wireless Lapel,Wireless Microphone,,1,1863.56,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G763WS,FBA75688,Audio Array,AM-W12,Microphone Wireless Handheld,Wireless Microphone,,11,37278.78,10,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G7VWXD,FBA75684,Audio Array,AA-04,Microphone Accessories,Accessories,,41,59033.23,43,0.0,13,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G89VQJ,FBA75686,Audio Array,AM-W10,Microphone Wireless Lapel,Wireless Microphone,,2,6608.48,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G8PH2P,FBA75678,Audio Array,AA-01,Microphone Accessories,Accessories,,12,21854.24,12,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G8ZB64,FBA75675,Audio Array,AM-C3,Microphone Dynamic,Vocal Microphone,,18,14911.04,18,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4G94VP3,FBA75683,Audio Array,AA-03,Microphone Accessories,Accessories,,32,13532.16,33,0.0,6,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4JRQP22,FBA75679,Audio Array,AA-02,Microphone Accessories,Accessories,,33,69887.4,37,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
