date,Spend,adId,ams_orders,adGroupName,campaignId,14 Day Total Units (#),Clicks,Impressions,campaignName,adGroupId,14 Day Total Sales (₹)
2026-05-01,669.15,69708533748958,1,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,1,51,4189,Audio Array-Multiple Ad Group-SB-PT,35610233087898,3177.12
2026-05-02,557.9,69708533748958,2,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,2,37,2250,Audio Array-Multiple Ad Group-SB-PT,35610233087898,2899.15
2026-05-03,522.75,69708533748958,1,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,2,41,2039,Audio Array-Multiple Ad Group-SB-PT,35610233087898,1015.26
2026-05-04,196.99,69708533748958,2,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,2,17,851,Audio Array-Multiple Ad Group-SB-PT,35610233087898,930.51
2026-05-05,610.16,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,43,3151,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-06,183.62,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,6,427,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-07,237.73,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,13,1033,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-08,94.74,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,8,565,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-09,383.53,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,16,992,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-10,485.19,69708533748958,3,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,3,22,1117,Audio Array-Multiple Ad Group-SB-PT,35610233087898,3964.41
2026-05-11,268.41,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,10,459,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-12,114.15,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,10,199,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-13,10.84,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,1,64,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-14,13.8,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,2,81,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-15,0.0,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,0,167,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-16,53.98,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,1,78,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-17,646.73,69708533748958,1,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,1,22,1571,Audio Array-Multiple Ad Group-SB-PT,35610233087898,3017.8
2026-05-18,393.5,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,18,2340,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-19,332.81,69708533748958,0,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,0,20,1873,Audio Array-Multiple Ad Group-SB-PT,35610233087898,0.0
2026-05-20,477.72,69708533748958,2,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,2,25,2428,Audio Array-Multiple Ad Group-SB-PT,35610233087898,1100.0
2026-05-21,761.69,69708533748958,2,Audio Array- Multiple Ad Group -All Products-SB-PT,77695356589822,2,26,1897,Audio Array-Multiple Ad Group-SB-PT,35610233087898,981.36
2026-05-01,76.36,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,16,9064,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-02,35.92,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,13,5833,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-03,28.23,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,12,4638,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-04,8.16,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,4,2053,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-05,1534.05,247243485214903,2,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,2,73,16021,Audio Array-Multiple Ad Group-SB-PT,241748317902525,4574.58
2026-05-06,767.29,247243485214903,1,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,1,23,4735,Audio Array-Multiple Ad Group-SB-PT,241748317902525,2287.29
2026-05-07,180.46,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,8,3531,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-08,414.72,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,11,1413,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-09,1122.93,247243485214903,1,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,2,34,3865,Audio Array-Multiple Ad Group-SB-PT,241748317902525,4354.24
2026-05-10,1011.94,247243485214903,1,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,1,30,4289,Audio Array-Multiple Ad Group-SB-PT,241748317902525,2177.12
2026-05-11,584.83,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,16,2345,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-12,430.7,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,13,1525,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-13,370.0,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,7,515,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-14,209.32,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,4,328,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-15,260.29,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,6,835,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-16,236.97,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,4,418,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-17,271.71,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,7,1032,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-18,0.0,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-19,0.0,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-20,0.0,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-21,0.0,247243485214903,0,Audio Array-Multiple Ad Group-All Products -SB-PT,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,241748317902525,0.0
2026-05-01,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-02,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-03,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-04,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-05,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-06,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-07,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-08,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-09,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-10,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-11,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-12,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-13,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-14,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-15,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-16,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-17,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-18,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-19,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-20,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-21,0.0,51447273594228,0,USB Mics,77695356589822,0,0,0,Audio Array-Multiple Ad Group-SB-PT,176803030912285,0.0
2026-05-01,38.09,207462005826790,0,Audio Array- Multiple Ad Group-All Products-SB-PT,77695356589822,0,5,1760,Audio Array-Multiple Ad Group-SB-PT,124076166127533,0.0
2026-05-02,21.35,207462005826790,0,Audio Array- Multiple Ad Group-All Products-SB-PT,77695356589822,0,3,920,Audio Array-Multiple Ad Group-SB-PT,124076166127533,0.0
2026-05-03,5.76,207462005826790,0,Audio Array- Multiple Ad Group-All Products-SB-PT,77695356589822,0,2,764,Audio Array-Multiple Ad Group-SB-PT,124076166127533,0.0
