campaignId,campaignName,brand,asin,sku,model,category_l0,category_l1,category_l2,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0B4JRQP22,FBA75679,AA-02,Microphone Accessories,Accessories,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0BLJVJ2GN,FBA76414,AA-05,Microphone Accessories,Accessories,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0CF5TCQKL,FBA78975,AA-21,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0DT6T6N6B,FBA79694,AA-26,Microphone Accessories,Accessories,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0CF5R3V95,FBA78973,AA-19,Microphone Accessories,Accessories,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0CF5RRTDJ,FBA78974,AA-20,Microphone Accessories,Accessories,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0G2C2RCXN,FBA79967,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0G3Q517Y2,FBA79957,AM-W23,Microphone Wireless Lapel,Wireless Lapel Microphone,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0G3Q59X8C,FBA79958,AM-W24,Microphone Wireless Lapel,Wireless Lapel Microphone,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0C539RBGL,FBA78205,AM-C32,Microphone Condenser,RGB USB Microphone Kit - Tripod,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0C4YTNJG7,FBA78203,AM-C30,Microphone Condenser,RGB USB Microphone Kit - Tripod,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0B4DPX2J2,FBA75673,AM-C1,Microphone Condenser,USB Microphone Kit - Boomarm,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0B4DS678Q,FBA75676,AM-C4,Microphone Condenser,USB Microphone Kit - Tripod,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0B4G1PXWV,FBA75680,AM-C6,Microphone Condenser,USB Microphone Kit - Tripod,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0CKHVHVQ1,FBA79005,AM-W45,Microphone Conference,Wireless Conference Microphone,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
77695356589822,Audio Array-Multiple Ad Group-SB-PT,Audio Array,B0B4K87PR4,FBA75690,AM-C10,Microphone Conference,Conference Microphone,,2079.4672,27951,139,6662.1,3,3,L0_ads_api
