date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-05-01,B0B4DPX2J2,542.31,Condenser Microphones,2,88800319740398,2,17965,B0B4DPX2J2,1530305156531,2433.9,58,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-02,B0B4DPX2J2,219.64,Condenser Microphones,0,88800319740398,0,10216,B0B4DPX2J2,1530305156531,0.0,28,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-03,B0B4DPX2J2,732.88,Condenser Microphones,2,88800319740398,2,43490,B0B4DPX2J2,1530305156531,2879.66,131,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-04,B0B4DPX2J2,690.44,Condenser Microphones,1,88800319740398,1,49801,B0B4DPX2J2,1530305156531,0.0,149,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-05,B0B4DPX2J2,403.03,Condenser Microphones,0,88800319740398,0,13811,B0B4DPX2J2,1530305156531,0.0,43,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-06,B0B4DPX2J2,760.4,Condenser Microphones,1,88800319740398,1,26720,B0B4DPX2J2,1530305156531,2177.12,78,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-07,B0B4DPX2J2,151.29,Condenser Microphones,0,88800319740398,0,8542,B0B4DPX2J2,1530305156531,0.0,22,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-08,B0B4DPX2J2,89.71,Condenser Microphones,0,88800319740398,0,14265,B0B4DPX2J2,1530305156531,0.0,19,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-09,B0B4DPX2J2,84.22,Condenser Microphones,3,88800319740398,3,4666,B0B4DPX2J2,1530305156531,4354.24,9,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-05-10,B0B4DPX2J2,97.48,Condenser Microphones,0,88800319740398,0,5917,B0B4DPX2J2,1530305156531,0.0,18,Audio Array-Catch All-SD-CT,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
