,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/10/25 - 31/10/25],Report Updated=[04/08/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA75673,AM-C1,B0B4DPX2J2,"Audio Array USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable | AM-C1",Audio Array,IN,3612040.21,1669,0,0,1683,386
FBA76864,AI-04 Red,B0BPLZ5CGV,Audio Array AI-04 HD 2 in 3 Out Gen 3 Audio Interface | 3 Yr Warranty | Premium Mic Pre-Amps | +48V | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | Metal Body | Red,Audio Array,IN,2378411.56,670,0,0,686,205
FBA79482,AM-S1,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 Professional 4"" Studio Monitors| 60W Class D,Woven Composite Woofer,1"" Silk-Dome Tweeter| TI 3116D2 Amp, MVsilicon BP1048B2 Chipset| Music/Monitor Mode,Aux,HDMI,USB-C,TRS,RCA",Audio Array,IN,2041698.18,295,0,0,318,61
FBA79380,AM-C46,B0D3M1B4Z8,"Audio Array Professional RGB USB Condenser Mic Kit | AI Noise-Cancellation, Mute, Monitoring & Volume Controls | 192kHz/24bit Studio Quality | Gaming, Streaming, Podcast | Mac/PC/Mobile | AM-C46",Audio Array,IN,805601.17,277,0,0,320,50
FBA79103,AI-10,B0CM6NTWBP,"Audio Array Sound Card Audio Interface | AI-10 Audio Mixer with Bluetooth, 3 Condenser Mic Inputs, +48V Phantom Power, Voice Modes, Denoise & Built-In FX for Gaming, Karaoke & Live Streaming",Audio Array,IN,665732.71,291,0,0,251,66
FBA79005,AM-W45,B0CKHVHVQ1,"Audio Array Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting | AM-W45",Audio Array,IN,477073,118,0,0,119,15
FBA78975,AA-21,B0CF5TCQKL,"Audio Array AA-21 Speaker Stand Pair | 15KG Capacity | Height, Tilt & Rotation Adjustable | Steel Build | Smart Cable Management | Sound Editing, Music Production Speaker Stand for Desk | Black",Audio Array,IN,279659.37,92,0,0,91,5
FBA79816,AM-W22,B0FPR962YS,"Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",Audio Array,IN,255154.17,84,0,0,79,6
FBA79011,AM-C43,B0CH4RNWJX,"Audio Array XLR to 3.5mm Professional Condenser Microphone Kit | Boom Arm, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black) | AM-C43",Audio Array,IN,229905.26,112,0,0,111,28
FBA78973,AA-19,B0CF5R3V95,"Audio Array Mic Stand For Table | Steel & Aluminum High & Low Profile Boom Mic Arm Stand with Built-In Cable Management | 360° Rotation | 2Kg Load Capacity | Streaming, Podcasting & Studio Recording",Audio Array,IN,210706.88,66,0,0,67,8
FBA79104,AI-11,B0CM6NVLT9,"Audio Array AI-11 USB Bluetooth Soundcard, 1Ch Mixer, Audio Interface | 2 Condenser In, 2 Out |2 Live Out+1 Accompany In | OTG for mobile and PC/MAC | Effects | Streaming, Podcasting, Gaming, Singing",Audio Array,IN,205730.55,166,0,0,174,52
