"Image","Title","Item Highlights","Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Monthly Sales Trends: Monthly Sold (Last Known)","Reviews: Rating","Reviews: Rating Count","ASIN","Brand"
"https://m.media-amazon.com/images/I/51Oyw7ZrF3L.jpg;https://m.media-amazon.com/images/I/61oHjF4lJEL.jpg;https://m.media-amazon.com/images/I/71UjlvDnJmL.jpg;https://m.media-amazon.com/images/I/61YN29xEe6L.jpg;https://m.media-amazon.com/images/I/71009VuEY5L.jpg;https://m.media-amazon.com/images/I/71e5+ziKz3L.jpg;https://m.media-amazon.com/images/I/713aOKRcS5L.jpg;https://m.media-amazon.com/images/I/71fz7g1p18L.jpg;https://m.media-amazon.com/images/I/51fxOloJfwL.jpg","Audio Array USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable | AM-C1","","51","55","46","36","18","500","4.1","1871","B0B4DPX2J2","Audio Array"
"https://m.media-amazon.com/images/I/61nEGNSUemL.jpg;https://m.media-amazon.com/images/I/41VvcFvH3OL.jpg;https://m.media-amazon.com/images/I/41gVex36mtL.jpg;https://m.media-amazon.com/images/I/41M+eJGdsHL.jpg;https://m.media-amazon.com/images/I/51WTLliO7NL.jpg;https://m.media-amazon.com/images/I/51kKq0C8VDL.jpg;https://m.media-amazon.com/images/I/51QY-OInhJL.jpg;https://m.media-amazon.com/images/I/41UszpUQvRL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows","","3947","4350","2956","1930","16","50","3.9","58","B0B4DS678Q","Audio Array"
"https://m.media-amazon.com/images/I/61+ZkLbeh6L.jpg;https://m.media-amazon.com/images/I/61g+YoPVNuL.jpg;https://m.media-amazon.com/images/I/71K2fqOokBL.jpg;https://m.media-amazon.com/images/I/71AE+YXNNhL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-C7 USB 2 in 1 Plug & Play Condenser Microphone Kit with Boom Arm | 3.5 mm No Latency Monitoring, Volume Control & Mute Button| for Conference, Gaming, Podcasting & Live Streaming","","3947","4224","2919","1464","17","10","4","34","B0B4FZS38V","Audio Array"
"https://m.media-amazon.com/images/I/71+pK4QkBJL.jpg;https://m.media-amazon.com/images/I/61-NvWawmwL.jpg;https://m.media-amazon.com/images/I/71-CdUGMqyL.jpg;https://m.media-amazon.com/images/I/71OXyqiB30L.jpg;https://m.media-amazon.com/images/I/71Kw8RJSXzL.jpg;https://m.media-amazon.com/images/I/71-sJkjZyqL.jpg;https://m.media-amazon.com/images/I/81TBWAhoMhL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array Mic | Podcast Mic XLR Condenser Microphone Kit with Boom Arm | Pop Filter | Shock Mount & 2M Cable | Cardioid Recording Microphone for Streaming | Podcasting & Home Studio | AM-C2","","483","364","388","708","26","50","3.9","373","B0B4G19R58","Audio Array"
"https://m.media-amazon.com/images/I/51b-y67HxXL.jpg;https://m.media-amazon.com/images/I/81+T8XTl1jL.jpg;https://m.media-amazon.com/images/I/71PQcv7mwFL.jpg;https://m.media-amazon.com/images/I/713cseed+3L.jpg;https://m.media-amazon.com/images/I/51wfKxlWOPL.jpg;https://m.media-amazon.com/images/I/71vYORYxEwL.jpg;https://m.media-amazon.com/images/I/51t8raQakKL.jpg;https://m.media-amazon.com/images/I/31VbpHk1lFL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing","","1822","2348","2273","1400","21","10","4.3","300","B0B4G1HPL5","Audio Array"
"https://m.media-amazon.com/images/I/41WC0-pojcL.jpg;https://m.media-amazon.com/images/I/517cm2n-1PL.jpg;https://m.media-amazon.com/images/I/515T4+VTr-L.jpg;https://m.media-amazon.com/images/I/51Jexc1AWOL.jpg;https://m.media-amazon.com/images/I/51LDaUvapFL.jpg;https://m.media-amazon.com/images/I/416ZJLBLkxL.jpg;https://m.media-amazon.com/images/I/41lXuWBLidL.jpg;https://m.media-amazon.com/images/I/41Jx8Qxow6L.jpg","Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming","","1592","4011","2890","1457","17","10","4","56","B0B4G1PXWV","Audio Array"
"https://m.media-amazon.com/images/I/4126zg6Jz4L.jpg;https://m.media-amazon.com/images/I/31TZSmWIoBL.jpg;https://m.media-amazon.com/images/I/71kcCkeVNBL.jpg;https://m.media-amazon.com/images/I/51wGuzTe4PL.jpg;https://m.media-amazon.com/images/I/51vCNydlG1L.jpg;https://m.media-amazon.com/images/I/51z7sGh3oZL.jpg;https://m.media-amazon.com/images/I/51b07n9+YyL.jpg;https://m.media-amazon.com/images/I/41IOAuztwFL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box","","757","2423","2377","1529","23","10","3.8","302","B0B4G59Y8W","Audio Array"
"https://m.media-amazon.com/images/I/41jm-Cth6wL.jpg;https://m.media-amazon.com/images/I/41YcRG3uaXL.jpg;https://m.media-amazon.com/images/I/51ESZmrdD+L.jpg;https://m.media-amazon.com/images/I/41Sc6pnTFJL.jpg;https://m.media-amazon.com/images/I/511WbnfwRRL.jpg;https://m.media-amazon.com/images/I/41z341uST1L.jpg;https://m.media-amazon.com/images/I/41u9KVPsagL.jpg;https://m.media-amazon.com/images/I/5112ZAX27DL.jpg","Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box","","549","1209","1914","1377","27","10","4.1","159","B0B4G5JG4P","Audio Array"
"https://m.media-amazon.com/images/I/619HkZqEzKL.jpg;https://m.media-amazon.com/images/I/81eh68Z2glL.jpg;https://m.media-amazon.com/images/I/61blXWEmOHL.jpg;https://m.media-amazon.com/images/I/815yHf8toXL.jpg;https://m.media-amazon.com/images/I/71p345N7hxL.jpg;https://m.media-amazon.com/images/I/71KSJ+W07WL.jpg;https://m.media-amazon.com/images/I/61PV-bc6DfL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-W11 Wireless Mic | Upto 4hr Battery & 60m Range | Volume & Mute Buttons with Indicators | Streaming, Vlogging, YouTube | 1x Lapel mic, Type C Adapter for Plug & Play | 2 Year Warranty","","9545","8781","9335","4535","10","","3.7","40","B0B4G5ZLTB","Audio Array"
"https://m.media-amazon.com/images/I/41CKJztDAHL.jpg;https://m.media-amazon.com/images/I/41zSWNjbTfL.jpg;https://m.media-amazon.com/images/I/51vCNydlG1L.jpg;https://m.media-amazon.com/images/I/718Xpq3HSWL.jpg;https://m.media-amazon.com/images/I/51z7sGh3oZL.jpg;https://m.media-amazon.com/images/I/51c0lRO0GwL.jpg;https://m.media-amazon.com/images/I/51wGuzTe4PL.jpg;https://m.media-amazon.com/images/I/41IOAuztwFL.jpg","Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60m| Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box","","397","1006","1284","1108","33","10","3.8","302","B0B4G763WS","Audio Array"
"https://m.media-amazon.com/images/I/41kfdz+oGSL.jpg;https://m.media-amazon.com/images/I/51cnkhEHiEL.jpg;https://m.media-amazon.com/images/I/51B9ZE0Zr0L.jpg;https://m.media-amazon.com/images/I/51LV9fqSCWL.jpg;https://m.media-amazon.com/images/I/51F2yjVw6LL.jpg;https://m.media-amazon.com/images/I/51YZHIa-N8L.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc","","1443","1432","1186","1273","28","30","4.1","101","B0B4G7VWXD","Audio Array"
"https://m.media-amazon.com/images/I/51-YXGkhovL.jpg;https://m.media-amazon.com/images/I/718Zeed1OHL.jpg;https://m.media-amazon.com/images/I/51IByHIWx3L.jpg;https://m.media-amazon.com/images/I/61FyXQQrsXL.jpg;https://m.media-amazon.com/images/I/81khNAmGpvL.jpg;https://m.media-amazon.com/images/I/71XfC+LitmL.jpg;https://m.media-amazon.com/images/I/51lIBE+NAHL.jpg;https://m.media-amazon.com/images/I/71viiNRNWFL.jpg","Audio Array AM-W10 Professional Dual Wireless Lapel Mics | Upto 10hr Battery & 100m Range | 2X Lapel mics, Type C Adapter for Easy Plug&Play | Volume & Mute Function | Vlogging, Streaming, YouTube","","10130","8909","7428","3940","14","","3.7","73","B0B4G89VQJ","Audio Array"
"https://m.media-amazon.com/images/I/61rlg1QNJvL.jpg;https://m.media-amazon.com/images/I/61yjXf1ricL.jpg;https://m.media-amazon.com/images/I/719TMgFJUbL.jpg;https://m.media-amazon.com/images/I/61BRpCKZNtL.jpg;https://m.media-amazon.com/images/I/718lzzz1sFL.jpg;https://m.media-amazon.com/images/I/71GmKDz1RsL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties | AA-01","","305","267","238","293","21","10","4","594","B0B4G8PH2P","Audio Array"
"https://m.media-amazon.com/images/I/61TT0bmiZqL.jpg;https://m.media-amazon.com/images/I/71BHIwm+nyL.jpg;https://m.media-amazon.com/images/I/513txrZHDSL.jpg;https://m.media-amazon.com/images/I/41TKu23OP8L.jpg;https://m.media-amazon.com/images/I/716wr69LTiL.jpg;https://m.media-amazon.com/images/I/71MC+Z47xdL.jpg;https://m.media-amazon.com/images/I/71Bfc9cEAkL.jpg;https://m.media-amazon.com/images/I/610DG2WBXqL.jpg","Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding","","642","1031","1387","817","33","50","4","240","B0B4G8ZB64","Audio Array"
"https://m.media-amazon.com/images/I/61twRXGJcRL.jpg;https://m.media-amazon.com/images/I/61XRtWh3xnL.jpg;https://m.media-amazon.com/images/I/61Gv8nNv1kL.jpg;https://m.media-amazon.com/images/I/719wfH4kt-L.jpg;https://m.media-amazon.com/images/I/61e13t8Km9L.jpg;https://m.media-amazon.com/images/I/51pgpGb2sYL.jpg;https://m.media-amazon.com/images/I/51C4pt0ofRL.jpg;https://m.media-amazon.com/images/I/41mbMPjUIWL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.","","1928","1177","1177","1177","24","50","4.2","102","B0B4G94VP3","Audio Array"
"https://m.media-amazon.com/images/I/81hu7TyPG3L.jpg;https://m.media-amazon.com/images/I/71p0GgGrXaL.jpg;https://m.media-amazon.com/images/I/71A3Fkt+FKL.jpg;https://m.media-amazon.com/images/I/71+d9O3mqjL.jpg;https://m.media-amazon.com/images/I/71zNjfX3MdL.jpg;https://m.media-amazon.com/images/I/31vQwGms0WL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg;https://m.media-amazon.com/images/I/31j5Tl4cYcL.jpg","Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting","","1428","1337","1533","2416","23","20","4.2","124","B0B4JRQP22","Audio Array"
"https://m.media-amazon.com/images/I/71upvIFITGL.jpg;https://m.media-amazon.com/images/I/51spBjWzTCL.jpg;https://m.media-amazon.com/images/I/51peYW2loHL.jpg;https://m.media-amazon.com/images/I/517WdjCNGwL.jpg;https://m.media-amazon.com/images/I/51KYllI+WYL.jpg;https://m.media-amazon.com/images/I/51CszK9BIhL.jpg","Audio Array USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call | AM-C10","","1175","1504","3073","9727","29","10","4","619","B0B4K87PR4","Audio Array"
"https://m.media-amazon.com/images/I/71lxybPORwL.jpg;https://m.media-amazon.com/images/I/7160rpuCifL.jpg;https://m.media-amazon.com/images/I/71V9-s4ONBL.jpg;https://m.media-amazon.com/images/I/71puZf4W-7L.jpg;https://m.media-amazon.com/images/I/710S-HhEmPL.jpg;https://m.media-amazon.com/images/I/71bs3IRYK2L.jpg;https://m.media-amazon.com/images/I/71XsctxcWsL.jpg;https://m.media-amazon.com/images/I/61x0HIU4PZL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker) | AM-C5","","1343","1501","1665","3440","37","50","4","618","B0B4KC7VBM","Audio Array"
"https://m.media-amazon.com/images/I/71EjDPe5msL.jpg;https://m.media-amazon.com/images/I/71-7M5xtKwL.jpg;https://m.media-amazon.com/images/I/7172FKzhVhL.jpg;https://m.media-amazon.com/images/I/71MLxdaiOLL.jpg;https://m.media-amazon.com/images/I/71K0qlvxvpL.jpg;https://m.media-amazon.com/images/I/8142FLrHV2L.jpg;https://m.media-amazon.com/images/I/81bDBzPxKEL.jpg;https://m.media-amazon.com/images/I/71ozwrDieFL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array Boom Arm | Suspension Scissor Mic Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations | AA-05","","305","261","234","290","21","50","4","594","B0BLJVJ2GN","Audio Array"
"https://m.media-amazon.com/images/I/41EPNt-xqXL.jpg;https://m.media-amazon.com/images/I/51fYfvMj0fL.jpg;https://m.media-amazon.com/images/I/61x4eDJMWjL.jpg;https://m.media-amazon.com/images/I/61H6PRRFxtL.jpg;https://m.media-amazon.com/images/I/51QlOqjsGRL.jpg;https://m.media-amazon.com/images/I/51zMQa8+jDL.jpg;https://m.media-amazon.com/images/I/51lKt9zW9EL.jpg;https://m.media-amazon.com/images/I/51aKsR1Dy3L.jpg","Audio Array AM-C18 Vlogging Kit 6 in 1 Combo | 3.5mm Shotgun Mic with shockmount & LED Light Tripod Stand for Smartphones & Camera | Upto 3Hrs Battery Life | for Vlogging, Live Streaming, YouTube","","14048","13717","12894","10221","0","","3.3","9","B0BLKB55BM","Audio Array"
"https://m.media-amazon.com/images/I/418w1MVMhNL.jpg;https://m.media-amazon.com/images/I/31U2yZdrjxL.jpg;https://m.media-amazon.com/images/I/4198rtE5-8L.jpg;https://m.media-amazon.com/images/I/51iXoZBqKHL.jpg;https://m.media-amazon.com/images/I/41r3U2y4HxL.jpg;https://m.media-amazon.com/images/I/61em5LZbiGL.jpg;https://m.media-amazon.com/images/I/41UItpWCEqL.jpg;https://m.media-amazon.com/images/I/61ygJDJTlBL.jpg","Audio Array AM-C27 XLR to TRS Cardioid Dynamic Handheld Microphone Sound for Live Events | Premium Built with 4.5M Cable | Singing, Public Meetings, Studio Recording, Live Sound, Party","","12153","11808","10107","7697","0","","3.7","34","B0BLKB6FRR","Audio Array"
"https://m.media-amazon.com/images/I/614eAQdPCiL.jpg;https://m.media-amazon.com/images/I/51T1PX8mqbL.jpg;https://m.media-amazon.com/images/I/711Qjh3fMXL.jpg;https://m.media-amazon.com/images/I/61YlZnZ3aDL.jpg;https://m.media-amazon.com/images/I/71zkpmVaBrL.jpg;https://m.media-amazon.com/images/I/81+jRSvyOoL.jpg","Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories","","9785","6226","7113","7815","6","","4.2","3","B0BLKBJ5HN","Audio Array"
"https://m.media-amazon.com/images/I/61bhYwj4-xL.jpg;https://m.media-amazon.com/images/I/61Z8j05VhfL.jpg;https://m.media-amazon.com/images/I/41tiZl58f4L.jpg;https://m.media-amazon.com/images/I/61BZH2v+6LL.jpg;https://m.media-amazon.com/images/I/71BRW1QCvuL.jpg;https://m.media-amazon.com/images/I/615lcYqofvL.jpg;https://m.media-amazon.com/images/I/61+PFglTJJL.jpg;https://m.media-amazon.com/images/I/51Vm4ALCfeL.jpg","Audio Array AM-C20 USB Microphone | Unique Tilt Stand & one Touch Mute | Plug n Play, No Latency Cardioid Pickup | for PC, Smartphones, iOS | Gaming, Streaming, Podcasts, Twitch, YouTube, Discord","","8580","7138","6323","4157","16","10","3.8","32","B0BLKF46QG","Audio Array"
"https://m.media-amazon.com/images/I/418GICDKc3L.jpg;https://m.media-amazon.com/images/I/41o9sO2VDvL.jpg;https://m.media-amazon.com/images/I/517N0by8ufL.jpg;https://m.media-amazon.com/images/I/41a5kZpo8FL.jpg;https://m.media-amazon.com/images/I/41BxPzTEdBL.jpg;https://m.media-amazon.com/images/I/51tK4jczytL.jpg;https://m.media-amazon.com/images/I/414QTEQ2SrL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-C25 Premium USB Condenser Microphone Kit with Boom Arm & Pop-Filter | No Latency Headphone Monitoring, Volume Control & Mute Button | Discord, Valorant, Gaming, Podcasting & Streaming","","1926","2559","2639","2408","23","","4.2","15","B0BLNCP74M","Audio Array"
