date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-08-01,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-02,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-03,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-04,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-05,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-06,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-07,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-08,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-09,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-10,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-11,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-12,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-13,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-14,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-15,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-16,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-17,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-18,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-19,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-20,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-21,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-01,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-02,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-03,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-04,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-05,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-06,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-07,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-08,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-09,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-10,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-08-11,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
