SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79406,HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","19,275",130,12.37%,3.34%,"25,136",177,11.43%,3.21%,0.27%,75.32%,4,3,0.02%,2.31%,"₹ 6,465.25","₹ 7,629.00",4,3
FBA79591,KM-01,B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",506,20,0.06%,0.13%,705,24,0.06%,0.11%,60.67%,68.42%,8,1,1.58%,5.00%,"₹ 9,823.73","₹ 1,449.00",8,1
FBA79488,KE-01,B0DFCG2VGS,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01",485,11,0.06%,0.07%,810,24,0.07%,0.11%,29.87%,60.00%,5,1,1.03%,9.09%,"₹ 7,411.02","₹ 1,749.00",5,1
FBA78981,SC-01,B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 5 Mtr Cord | 1000W |SC-01","4,148",102,0.51%,0.65%,"5,710",150,0.52%,0.68%,6.32%,27.27%,4,1,0.10%,0.98%,"₹ 12,200.00","₹ 3,599.00",4,1
FBA79681,HU-01,B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",153,7,0.02%,0.04%,214,7,0.02%,0.03%,23.96%,66.67%,4,0,2.61%,0.00%,"₹ 6,894.92",₹ 0.00,4,0
FBA79263,MR-01,B0CYSLCRQS,B0CYSLCRQS,"NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01",845,6,0.10%,0.04%,"1,061",6,0.10%,0.03%,82.34%,80.00%,2,0,0.24%,0.00%,"₹ 4,913.56",₹ 0.00,2,0
FBA79265,CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",133,1,0.02%,0.01%,193,1,0.02%,0.00%,10.65%,100.00%,2,0,1.50%,0.00%,"₹ 1,396.61",₹ 0.00,2,0
FBA79590,CFM-01,B0DM6BB3VT,B0DM6BB3VT,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,47,3,0.01%,0.02%,69,3,0.01%,0.01%,100.00%,0.00%,2,0,4.26%,0.00%,"₹ 5,083.05",₹ 0.00,2,0
FBA79373,ET-01-BK,B0D2P5TGWK,B0D2P5TGWK,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",340,9,0.04%,0.06%,467,13,0.04%,0.06%,2.87%,100.00%,1,1,0.29%,11.11%,₹ 253.39,₹ 299.00,1,1
FBA79374,ET-02-GN,B0D2P7WLJB,B0D2P7WLJB,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",154,3,0.02%,0.02%,233,5,0.02%,0.02%,2.43%,100.00%,1,0,0.65%,0.00%,₹ 253.39,₹ 0.00,1,0
FBA79333,HM-02,B0D63DTKQB,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,26,0,0.00%,0.00%,44,0,0.00%,0.00%,21.62%,0.00%,1,0,3.85%,0.00%,"₹ 1,238.98",₹ 0.00,1,0
