SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA79352,B0D637B562,B0D637B562,Nexlev,WF-02-BL,1,1164.41,6,8,71.43,CAMBIUMRETAIL,2026-07,2026-07-01,2026-07-31
FBA79349,B0D9KDQCCM,B0D9KDQCCM,Nexlev,SW-01,1,846.61,630,930,5.61,CAMBIUMRETAIL,2026-07,2026-07-01,2026-07-31
FBA78980,B0CDPMX152,B0CDPMX152,Nexlev,GS-02,50,87152.92,4780,6764,76.11,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA78981,B0CDPP45BM,B0CDPP45BM,Nexlev,SC-01,368,1204590.02,32685,46209,92.86,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA78995,B0CDQ55W2M,B0CDQ55W2M,Nexlev,NP-02,0,0.0,6,8,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA78998,B0CDQ5NBH8,B0CDQ5NBH8,Nexlev,NP-05,0,0.0,1,1,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79229,B0CQX9ZZMH,B0CQX9ZZMH,Nexlev,GS-04,3,3838.98,122,176,59.09,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79263,B0CYSLCRQS,B0CYSLCRQS,Nexlev,MR-01,266,619948.31,140585,171997,85.37,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79346,B0D25LNDSY,B0D25LNDSY,Nexlev,ETC-04-WH,3,1984.75,298,348,97.61,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79267,B0D2LD6BYJ,B0D2LD6BYJ,Nexlev,T-02,14,10963.56,336,493,79.13,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79272,B0D2LFMY48,B0D2LFMY48,Nexlev,HS-01,4,1852.54,105,159,95.52,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79265,B0D2LHNS9B,B0D2LHNS9B,Nexlev,CR-01,25,13977.97,248,331,92.88,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79276,B0D2LJSQXZ,B0D2LJSQXZ,Nexlev,SM-01,25,70447.46,4900,6620,96.93,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79273,B0D2LKB4BJ,B0D2LKB4BJ,Nexlev,HS-02,1,672.88,79,103,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79373,B0D2P5TGWK,B0D2P5TGWK,Nexlev,ET-01-BK,43,10703.39,789,1007,99.68,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79374,B0D2P7WLJB,B0D2P7WLJB,Nexlev,ET-02-GN,19,4905.93,6169,7163,83.23,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79268,B0D383WQPB,B0D383WQPB,Nexlev,GS-05,8,11870.39,787,992,56.46,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79332,B0D63FKYZ5,B0D63FKYZ5,Nexlev,HM-01,2,1744.07,81,99,59.14,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79277,B0D672NXC8,B0D672NXC8,Nexlev,SC-03,13,78141.53,742,1169,85.76,NEXLEV,2026-07,2026-07-01,2026-07-31
FBP79350,B0D67727VG,B0D67727VG,Nexlev,EA-01,71,63766.1,2648,3619,91.91,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79348,B0D81DLSFT,B0D81DLSFT,Nexlev,HD-02,5,4182.25,461,558,98.34,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79271,B0D83Q7L8W,B0D83Q7L8W,Nexlev,V-01,7,8136.44,778,927,92.83,NEXLEV,2026-07,2026-07-01,2026-07-31
FBK79347,B0D842173P,B0D842173P,Nexlev,ETC-05-PI,0,0.0,25,33,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79279,B0D8445KJN,B0D8445KJN,Nexlev,LR-01,4,3047.46,334,453,26.13,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79280,B0D845B2DG,B0D845B2DG,Nexlev,LR-02,16,20540.68,471,688,64.24,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79461,B0D86Y2V7V,B0D86Y2V7V,Nexlev,HD-02,0,0.0,15,24,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79278,B0D86ZC9YT,B0D86ZC9YT,Nexlev,HD-01,3,3744.92,158,195,73.37,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79381,B0D9KCNVNM,B0D9KCNVNM,Nexlev,ETR-06,3,3096.61,95,136,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79349,B0D9KDQCCM,B0D9KDQCCM,Nexlev,SW-01,27,23112.71,1117,1659,89.58,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79405,B0D9KFP4MG,B0D9KFP4MG,Nexlev,HSB-03,19,30750.85,10449,13128,91.7,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79443,B0D9KFQG8Q,B0D9KFQG8Q,Nexlev,LE-03,4,4405.93,375,615,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79404,B0D9KFZYG8,B0D9KFZYG8,Nexlev,FS-01,11,15617.8,796,1040,63.42,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79440,B0DCGHKRXX,B0DCGHKRXX,Nexlev,LE-02,20,32640.68,1264,1623,82.78,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79452,B0DCGHVN81,B0DCGHVN81,Nexlev,VC-01,128,216994.07,9381,13510,92.62,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79406,B0DCK3N2JJ,B0DCK3N2JJ,Nexlev,HSB-04,51,107603.39,4098,5760,76.3,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79469,B0DCK4DR1B,B0DCK4DR1B,Nexlev,LE-04,7,7773.73,356,494,99.05,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79463,B0DCK56Q85,B0DCK56Q85,Nexlev,VC-02,13,27404.24,1028,1306,67.79,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79439,B0DCK7ZH5P,B0DCK7ZH5P,Nexlev,MR-02,231,652071.19,43711,53356,97.85,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79480,B0DDC3GVZW,B0DDC3GVZW,Nexlev,VC-03,1,1346.61,748,1118,97.03,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79464,B0DFCDKMWR,B0DFCDKMWR,Nexlev,CM-01-BL,3,3963.56,135,161,99.37,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79472,B0DFCDZWND,B0DFCDZWND,Nexlev,CM-02-PR,16,18562.71,751,979,93.83,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79488,B0DFCG2VGS,B0DFCG2VGS,Nexlev,KE-01,8,11869.49,1284,1860,97.75,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79489,B0DFD123P5,B0DFD123P5,Nexlev,KE-02,1,1575.42,149,202,59.32,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79466,B0DFM4JZV9,B0DFM4JZV9,Nexlev,TI-01,1,1609.32,56,82,98.7,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79481,B0DFMRG2K4,B0DFMRG2K4,Nexlev,TM-02,0,0.0,41,57,83.33,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79436,B0DGTGKPJR,B0DGTGKPJR,Nexlev,MR-01 HEPA Filter,1,172.88,4,10,70.0,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79474,B0DJFH4K8B,B0DJFH4K8B,Nexlev,TIC-03,1,1651.69,45,58,98.31,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79473,B0DJFH6RTL,B0DJFH6RTL,Nexlev,TI-02,6,8850.0,997,1253,99.83,NEXLEV,2026-07,2026-07-01,2026-07-31
FBA79467,B0DK9LYT4P,B0DK9LYT4P,Nexlev,TM-01,2,1913.56,487,654,100.0,NEXLEV,2026-07,2026-07-01,2026-07-31
