campaignId,campaignName,brand,asin,sku,model,category_l0,category_l1,category_l2,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0D67727VG,FBP79350,EA-01,HPC,Hair Care,Hair Oil Applicator,2339.27,17071,274,16820.98,12,12,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0DKK15YNJ,FBA79573,EA-02,HPC,Hair Care,Hair Oil Applicator,2339.27,17071,274,16820.98,12,12,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0DCGHKRXX,FBA79440,LE-02,HPC,Hair Care,Hair Therapy Comb,2339.27,17071,274,16820.98,12,12,L0_ads_api
7909844391885,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Phrase(Video),Nexlev,B0CYSLCRQS,FBA79263,MR-01,Home & Kitchen,Cleaning & Vacumming,Mite Remover,10154.57,39306,1074,35425.45,15,15,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0DCK7ZH5P,FBA79439,MR-02,Home & Kitchen,Cleaning & Vacumming,Mite Remover,249.4833,787,19,2780.51,1,1,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0CYSLCRQS,FBA79263,MR-01,Home & Kitchen,Cleaning & Vacumming,Mite Remover,249.4833,787,19,2780.51,1,1,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0DKJSCLBD,FBA79566,VC-05,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner,249.4833,787,19,2780.51,1,1,L0_ads_api
11291113363220,Nexlev - B0DCK7ZH5P - Carpet & Car Seat Vacuum Cleaner - SBV-PT,Nexlev,B0DCK7ZH5P,FBA79439,MR-02,Home & Kitchen,Cleaning & Vacumming,Mite Remover,1226.69,7737,106,0.0,0,0,L1_asin
19854243047720,Nexlev-B0CYSLCRQS-Vacuum Cleaner - SBV-Phrase01-Branded,Nexlev,B0CYSLCRQS,FBA79263,MR-01,Home & Kitchen,Cleaning & Vacumming,Mite Remover,2963.08,21600,259,2880.5,1,1,L1_asin
25608586162083,Nexlev - B0DVC7VJP1 - Stand Mixer - SB - BM,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,333.55,1006,17,0.0,0,0,L1_asin
38260374488492,Nexlev-B0CYSLCRQS-Vacuum Cleaner - SBV-PT,Nexlev,B0CYSLCRQS,FBA79263,MR-01,Home & Kitchen,Cleaning & Vacumming,Mite Remover,3499.25,18558,321,5083.05,2,2,L1_asin
40896637686308,Nexllev-Vacuum Cleaner-B0DCK7ZH5P-SBV- phrase-01,Nexlev,B0DCK7ZH5P,FBA79439,MR-02,Home & Kitchen,Cleaning & Vacumming,Mite Remover,6885.05,56847,559,34125.44,14,14,L1_asin
41312525646790,Nexlev-B0CDPP45BM-Steam Cleaner-SBV- BM,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,25.4,61,3,0.0,0,0,L1_asin
41661825110759,Nexlev-B0DVC7VJP1-Stand Mixer- SBV-phrase,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,4981.72,83182,364,0.0,0,0,L1_asin
42221258309576,Nexlev-B0DVC7VJP1-Stand Mixer- SBV- PT04,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,5615.85,54750,500,0.0,0,0,L1_asin
47234596948145,Nexlev-B0DVC7VJP1-Stand Mixer- SBV- PT03,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,9688.82,77611,758,15505.93,4,4,L1_asin
54525144494251,Nexliv-B0DNJS23HS-BM-SBV,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,279.54,2667,31,0.0,0,0,L1_asin
102824164917887,Nexlev - B0DVC7VJP1 - Stand Mixer - SB - Exact,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,183.74,2238,10,0.0,0,0,L1_asin
106830006815020,Nexlev-Steamer-PT(SEAHELTON)-SB,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,23659.18,40961,2089,170385.9,50,50,L0_ads_api
106830006815020,Nexlev-Steamer-PT(SEAHELTON)-SB,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,23659.18,40961,2089,170385.9,50,50,L0_ads_api
106830006815020,Nexlev-Steamer-PT(SEAHELTON)-SB,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,23659.18,40961,2089,170385.9,50,50,L0_ads_api
