SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA79263,B0CYSLCRQS,B0CYSLCRQS,Nexlev,MR-01,0,0.0,0,0,0.0,CAMBIUMRETAIL,2026-06,2026-06-01,2026-06-30
FBA79349,B0D9KDQCCM,B0D9KDQCCM,Nexlev,SW-01,28,22858.47,1992,2817,37.71,CAMBIUMRETAIL,2026-06,2026-06-01,2026-06-30
FBA79473,B0DJFH6RTL,B0DJFH6RTL,Nexlev,TI-02,1,1397.46,370,450,61.16,CAMBIUMRETAIL,2026-06,2026-06-01,2026-06-30
FBA78980,B0CDPMX152,B0CDPMX152,Nexlev,GS-02,5,10165.25,2982,3704,38.64,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA78981,B0CDPP45BM,B0CDPP45BM,Nexlev,SC-01,103,380815.09,20164,26828,84.78,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA78995,B0CDQ55W2M,B0CDQ55W2M,Nexlev,NP-02,0,0.0,15,17,100.0,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA78998,B0CDQ5NBH8,B0CDQ5NBH8,Nexlev,NP-05,0,0.0,6,7,100.0,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79229,B0CQX9ZZMH,B0CQX9ZZMH,Nexlev,GS-04,1,1863.56,98,128,75.89,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79174,B0CW1JJP9S,B0CW1JJP9S,Nexlev,DF-01-BK,1,1386.44,28,36,96.88,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79263,B0CYSLCRQS,B0CYSLCRQS,Nexlev,MR-01,235,523452.58,187399,229947,92.44,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79346,B0D25LNDSY,B0D25LNDSY,Nexlev,ETC-04-WH,12,8125.42,150,200,90.81,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79267,B0D2LD6BYJ,B0D2LD6BYJ,Nexlev,T-02,3,3302.54,314,412,41.55,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79272,B0D2LFMY48,B0D2LFMY48,Nexlev,HS-01,4,2708.47,72,103,93.33,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79265,B0D2LHNS9B,B0D2LHNS9B,Nexlev,CR-01,8,6772.88,231,327,68.1,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79276,B0D2LJSQXZ,B0D2LJSQXZ,Nexlev,SM-01,38,109462.71,3755,5045,96.77,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79273,B0D2LKB4BJ,B0D2LKB4BJ,Nexlev,HS-02,1,677.12,55,69,100.0,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79373,B0D2P5TGWK,B0D2P5TGWK,Nexlev,ET-01-BK,18,4054.24,409,544,99.41,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79374,B0D2P7WLJB,B0D2P7WLJB,Nexlev,ET-02-GN,15,3798.31,1601,1885,91.55,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79268,B0D383WQPB,B0D383WQPB,Nexlev,GS-05,19,30459.34,1052,1314,99.58,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79333,B0D63DTKQB,B0D63DTKQB,Nexlev,HM-02,1,2287.29,21,33,100.0,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79332,B0D63FKYZ5,B0D63FKYZ5,Nexlev,HM-01,3,1693.22,217,264,63.67,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79277,B0D672NXC8,B0D672NXC8,Nexlev,SC-03,54,330802.54,4064,6056,99.18,NEXLEV,2026-06,2026-06-01,2026-06-30
FBP79350,B0D67727VG,B0D67727VG,Nexlev,EA-01,51,42833.06,2223,3063,63.72,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79348,B0D81DLSFT,B0D81DLSFT,Nexlev,HD-02,0,0.0,520,637,98.36,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79271,B0D83Q7L8W,B0D83Q7L8W,Nexlev,V-01,16,18969.49,486,640,85.62,NEXLEV,2026-06,2026-06-01,2026-06-30
FBK79347,B0D842173P,B0D842173P,Nexlev,ETC-05-PI,0,0.0,17,20,100.0,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79279,B0D8445KJN,B0D8445KJN,Nexlev,LR-01,13,9904.24,206,273,93.19,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79280,B0D845B2DG,B0D845B2DG,Nexlev,LR-02,18,22929.67,582,818,97.64,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79461,B0D86Y2V7V,B0D86Y2V7V,Nexlev,HD-02,1,761.86,30,40,100.0,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79278,B0D86ZC9YT,B0D86ZC9YT,Nexlev,HD-01,1,1270.34,122,153,68.06,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79381,B0D9KCNVNM,B0D9KCNVNM,Nexlev,ETR-06,3,3175.42,106,139,99.18,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79349,B0D9KDQCCM,B0D9KDQCCM,Nexlev,SW-01,21,17949.15,2178,3032,47.02,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79405,B0D9KFP4MG,B0D9KFP4MG,Nexlev,HSB-03,23,36337.29,7390,9298,97.3,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79443,B0D9KFQG8Q,B0D9KFQG8Q,Nexlev,LE-03,5,7199.15,374,579,98.4,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79404,B0D9KFZYG8,B0D9KFZYG8,Nexlev,FS-01,33,45887.4,484,626,98.77,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79440,B0DCGHKRXX,B0DCGHKRXX,Nexlev,LE-02,15,23716.95,919,1173,98.11,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79452,B0DCGHVN81,B0DCGHVN81,Nexlev,VC-01,214,356717.0,17038,23574,79.02,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79406,B0DCK3N2JJ,B0DCK3N2JJ,Nexlev,HSB-04,39,77767.8,2829,3906,87.5,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79469,B0DCK4DR1B,B0DCK4DR1B,Nexlev,LE-04,7,11858.47,419,562,69.5,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79463,B0DCK56Q85,B0DCK56Q85,Nexlev,VC-02,11,23295.76,744,1046,95.92,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79439,B0DCK7ZH5P,B0DCK7ZH5P,Nexlev,MR-02,126,359770.54,25992,31073,99.1,NEXLEV,2026-06,2026-06-01,2026-06-30
FBA79480,B0DDC3GVZW,B0DDC3GVZW,Nexlev,VC-03,0,0.0,167,195,96.26,NEXLEV,2026-06,2026-06-01,2026-06-30
