date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-03-02,0,5.75,Garment Steamer,410675701737474,498,0.0,467895918394465,FBA79268,B0D383WQPB,1,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-03,0,23.92,Garment Steamer,410675701737474,581,0.0,467895918394465,FBA79268,B0D383WQPB,4,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-04,0,0.0,Garment Steamer,410675701737474,491,0.0,467895918394465,FBA79268,B0D383WQPB,0,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-05,0,29.79,Garment Steamer,410675701737474,412,0.0,467895918394465,FBA79268,B0D383WQPB,4,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-06,0,52.94,Garment Steamer,410675701737474,1710,0.0,467895918394465,FBA79268,B0D383WQPB,7,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-07,0,11.03,Garment Steamer,410675701737474,2824,0.0,467895918394465,FBA79268,B0D383WQPB,2,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-08,0,28.67,Garment Steamer,410675701737474,3500,0.0,467895918394465,FBA79268,B0D383WQPB,4,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-09,0,74.11,Garment Steamer,410675701737474,3897,0.0,467895918394465,FBA79268,B0D383WQPB,9,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-10,0,27.14,Garment Steamer,410675701737474,2816,0.0,467895918394465,FBA79268,B0D383WQPB,4,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-11,0,174.44,Garment Steamer,410675701737474,10176,0.0,467895918394465,FBA79268,B0D383WQPB,18,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-12,0,243.69,Garment Steamer,410675701737474,24864,0.0,467895918394465,FBA79268,B0D383WQPB,24,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-13,0,167.49,Garment Steamer,410675701737474,9657,0.0,467895918394465,FBA79268,B0D383WQPB,16,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-14,0,76.39,Garment Steamer,410675701737474,5645,0.0,467895918394465,FBA79268,B0D383WQPB,7,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-15,0,79.25,Garment Steamer,410675701737474,3351,0.0,467895918394465,FBA79268,B0D383WQPB,7,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-16,0,53.27,Garment Steamer,410675701737474,1562,0.0,467895918394465,FBA79268,B0D383WQPB,5,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
2026-03-17,0,0.0,Garment Steamer,410675701737474,0,0.0,467895918394465,FBA79268,B0D383WQPB,0,Nex_HnK_SP_Auto_GS-02_B0CDPMX152,0,FBA79268,GS-05,Nexlev,Home & Kitchen,Fabric Care,Garment steamer
