SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79406,HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","9,606",36,14.79%,1.90%,"12,869",47,14.36%,1.80%,11.66%,25.00%,9,0,0.09%,0.00%,"₹ 17,240.68",₹ 0.00,9,0
FBA79591,KM-01,B0F29SZCVF,B0F29SZCVF,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",293,7,0.04%,0.05%,397,8,0.04%,0.04%,34.38%,0.00%,3,0,1.02%,0.00%,"₹ 3,929.66",₹ 0.00,3,0
FBA79265,CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",42,0,0.01%,0.00%,67,0,0.01%,0.00%,89.66%,0.00%,1,0,2.38%,0.00%,₹ 583.90,₹ 0.00,1,0
FBA79276,SM-01,B0D2LJSQXZ,B0D2LJSQXZ,nexlev plastic Steam Mop SWIPE| Handheld Floor & Carpet Steam Cleaner| 4 Washable Microfibre Mop Pads| 400ML Large WaterTank| 1300W Powerful Steam|Floor Disinfectant|Wet & Dry Cleaning| SM-01,770,19,0.11%,0.14%,"1,000",30,0.10%,0.16%,1.05%,57.14%,1,1,0.13%,5.26%,"₹ 3,133.05","₹ 3,697.00",1,1
FBA79349,SW-01,B0D9KDQCCM,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,"1,015",22,0.14%,0.16%,"1,417",26,0.15%,0.13%,4.17%,0.00%,1,0,0.10%,0.00%,₹ 846.61,₹ 0.00,1,0
FBA79452,VC-01,B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,914,14,0.13%,0.10%,"1,278",23,0.13%,0.12%,7.01%,8.33%,1,0,0.11%,0.00%,"₹ 1,778.81",₹ 0.00,1,0
FBA79677,NP-06,B0DVCBR11D,B0DVCBR11D,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-06",27,1,0.00%,0.01%,37,1,0.00%,0.01%,47.22%,100.00%,1,0,3.70%,0.00%,₹ 827.97,₹ 0.00,1,0
FBA78980,GS-02,B0CDPMX152,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,"12,925",133,2.20%,1.21%,"17,098",182,2.20%,1.22%,60.56%,0.98%,97,0,0.75%,0.00%,"₹ 1,69,434.75",₹ 0.00,97,0
FBA79263,MR-01,B0CYSLCRQS,B0CYSLCRQS,"NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","1,49,698","1,930",25.48%,17.55%,"1,86,747","2,449",24.06%,16.44%,14.13%,6.27%,52,0,0.03%,0.00%,"₹ 1,18,471.19",₹ 0.00,52,0
FBA79488,KE-01,B0DFCG2VGS,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01","10,134",209,1.72%,1.90%,"14,555",272,1.88%,1.83%,19.03%,11.18%,42,1,0.41%,0.48%,"₹ 67,983.05","₹ 1,999.00",41,1
FBA79439,MR-02,B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","35,601",638,6.06%,5.80%,"42,669",772,5.50%,5.18%,12.78%,10.87%,35,1,0.10%,0.16%,"₹ 99,455.08","₹ 3,365.00",35,1
FBA79652,SC-05,B0F43P6D23,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,"26,661",600,4.54%,5.46%,"35,414",810,4.56%,5.44%,5.45%,0.26%,32,0,0.12%,0.00%,"₹ 67,660.17",₹ 0.00,32,0
FBA79350,EA-01,B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,"2,317",71,0.39%,0.65%,"3,178",99,0.41%,0.66%,19.00%,2.27%,13,0,0.56%,0.00%,"₹ 11,400.00",₹ 0.00,13,0
FBA79404,FS-01,B0D9KFZYG8,B0D9KFZYG8,"NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01","1,199",27,0.20%,0.25%,"1,581",34,0.20%,0.23%,34.74%,0.00%,12,0,1.00%,0.00%,"₹ 17,277.97",₹ 0.00,12,0
FBA79573,EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,"2,627",73,0.45%,0.66%,"3,461",88,0.45%,0.59%,19.90%,33.33%,12,0,0.46%,0.00%,"₹ 20,881.36",₹ 0.00,12,0
FBA79493,V-03,B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"9,302",69,1.58%,0.63%,"13,607",107,1.75%,0.72%,6.00%,0.00%,12,0,0.13%,0.00%,"₹ 21,254.24",₹ 0.00,12,0
FBA79590,CFM-01,B0DM6BB3VT,B0DM6BB3VT,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,"10,912",185,1.86%,1.68%,"13,715",237,1.77%,1.59%,12.52%,0.00%,11,0,0.10%,0.00%,"₹ 24,194.92",₹ 0.00,11,0
FBA79692,AP-03,B0DVC58QPZ,B0DVC58QPZ,NexLev Smart Air Purifier | Home Room & Office Use upto 220 sq ft |True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life |3 Year Warranty |AP220,"19,616",116,3.34%,1.05%,"25,683",176,3.31%,1.18%,41.26%,3.06%,11,0,0.06%,0.00%,"₹ 33,931.36",₹ 0.00,11,0
FBA79406,HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","9,606",36,1.64%,0.33%,"12,869",47,1.66%,0.32%,18.67%,7.14%,10,0,0.10%,0.00%,"₹ 17,445.76",₹ 0.00,10,0
FBA78981,SC-01,B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 5 Mtr Cord | 1000W |SC-01","36,665",728,6.24%,6.62%,"47,828",969,6.16%,6.51%,1.23%,0.65%,9,1,0.02%,0.14%,"₹ 27,204.24","₹ 3,569.00",9,1
FBA79469,LE-04,B0DCK4DR1B,B0DCK4DR1B,Nexlev Skin Lift Device | 7 Color LED | Face & Neck Skin Lifting| 3 Massage Modes| Face Sculpting Tool |Micro-currents to reduce Wrinkles| Hot Compress | Rechargeable| Type-C| 180 Min Use| Glow+ LE-04,446,8,0.08%,0.07%,606,12,0.08%,0.08%,35.85%,0.00%,9,0,2.02%,0.00%,"₹ 11,661.86",₹ 0.00,9,0
FBA79819,LR-03,B0FT8R24QM,B0FT8R24QM,"NexLev Portable Cordless Lint Remover | for Woollen, Sweaters, Jackets, Carpets | Fabric Brush | Rue & Burr Remover | Battery Powered Shaver | SS Blade | Safety Lock | LR-03","1,410",31,0.24%,0.28%,"1,899",44,0.24%,0.30%,14.58%,12.50%,9,0,0.64%,0.00%,"₹ 1,755.93",₹ 0.00,9,0
FBA79567,SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"25,792",333,4.39%,3.03%,"33,950",458,4.37%,3.07%,5.13%,0.00%,8,0,0.03%,0.00%,"₹ 41,077.97",₹ 0.00,8,0
FBA79374,ET-02-GN,B0D2P7WLJB,B0D2P7WLJB,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green","1,503",19,0.26%,0.17%,"1,940",26,0.25%,0.17%,10.92%,0.00%,8,0,0.53%,0.00%,"₹ 2,016.95",₹ 0.00,7,0
