date,Spend,adId,ams_orders,adGroupName,campaignId,14 Day Total Units (#),Clicks,Impressions,campaignName,adGroupId,14 Day Total Sales (₹)
2026-05-27,0.0,473587622725771,0,Ad group - 25/5/2026 17:33:34.503,219456576601824,0,0,5,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Exact,337273388517836,0.0
2026-05-28,11.72,473587622725771,0,Ad group - 25/5/2026 17:33:34.503,219456576601824,0,4,234,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Exact,337273388517836,0.0
2026-05-29,200.39,473587622725771,0,Ad group - 25/5/2026 17:33:34.503,219456576601824,0,21,734,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Exact,337273388517836,0.0
2026-05-30,146.99,473587622725771,0,Ad group - 25/5/2026 17:33:34.503,219456576601824,0,17,961,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Exact,337273388517836,0.0
2026-05-31,195.9,473587622725771,0,Ad group - 25/5/2026 17:33:34.503,219456576601824,0,22,583,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Exact,337273388517836,0.0
2026-05-26,0.0,555990671783407,0,Ad group - 25/5/2026 18:26:40.786,275586284851328,0,0,5,Nexlev-B0DNJS23HS-Steam Mop-SB-KT-BM,481301134984607,0.0
2026-05-27,15.02,555990671783407,0,Ad group - 25/5/2026 18:26:40.786,275586284851328,0,1,19,Nexlev-B0DNJS23HS-Steam Mop-SB-KT-BM,481301134984607,0.0
2026-05-28,30.05,555990671783407,0,Ad group - 25/5/2026 18:26:40.786,275586284851328,0,3,346,Nexlev-B0DNJS23HS-Steam Mop-SB-KT-BM,481301134984607,0.0
2026-05-29,54.4,555990671783407,0,Ad group - 25/5/2026 18:26:40.786,275586284851328,0,4,295,Nexlev-B0DNJS23HS-Steam Mop-SB-KT-BM,481301134984607,0.0
2026-05-30,99.1,555990671783407,0,Ad group - 25/5/2026 18:26:40.786,275586284851328,0,8,398,Nexlev-B0DNJS23HS-Steam Mop-SB-KT-BM,481301134984607,0.0
