campaignId,campaignName,brand,asin,sku,model,category_l0,category_l1,category_l2,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
2018103931581,Nexlev-B0F43P6D23-Steam Cleaner-SB-KT-Phrase,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,303.07,5989,30,1185.59,1,1,L0_ads_api
2018103931581,Nexlev-B0F43P6D23-Steam Cleaner-SB-KT-Phrase,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,303.07,5989,30,1185.59,1,1,L0_ads_api
2018103931581,Nexlev-B0F43P6D23-Steam Cleaner-SB-KT-Phrase,Nexlev,B0D672NXC8,FBA79277,SC-03,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,303.07,5989,30,1185.59,1,1,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0D67727VG,FBP79350,EA-01,HPC,Hair Care,Hair Oil Applicator,4442.3733,46158,303,13685.73,11,11,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0DKK15YNJ,FBA79573,EA-02,HPC,Hair Care,Hair Oil Applicator,4442.3733,46158,303,13685.73,11,11,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0DCGHKRXX,FBA79440,LE-02,HPC,Hair Care,Hair Therapy Comb,4442.3733,46158,303,13685.73,11,11,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0DCK7ZH5P,FBA79439,MR-02,Home & Kitchen,Cleaning & Vacumming,Mite Remover,79.18,1964,6,0.0,0,0,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0CYSLCRQS,FBA79263,MR-01,Home & Kitchen,Cleaning & Vacumming,Mite Remover,79.18,1964,6,0.0,0,0,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0DKJSCLBD,FBA79566,VC-05,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner,79.18,1964,6,0.0,0,0,L0_ads_api
10586586169014,Nexlev-B0CDPP45BM-Cleaning Machine-SB-PT,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,224.4233,5612,20,0.0,0,0,L0_ads_api
10586586169014,Nexlev-B0CDPP45BM-Cleaning Machine-SB-PT,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,224.4233,5612,20,0.0,0,0,L0_ads_api
10586586169014,Nexlev-B0CDPP45BM-Cleaning Machine-SB-PT,Nexlev,B0D672NXC8,FBA79277,SC-03,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,224.4233,5612,20,0.0,0,0,L0_ads_api
26720646641055,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Phrase(Video),Nexlev,B0CYSLCRQS,FBA79263,MR-01,Home & Kitchen,Cleaning & Vacumming,Mite Remover,757.4,2896,63,2541.52,1,1,L0_ads_api
31984641326753,Nex_HPC_SB_KT_Banner_Volumizer,Nexlev,B0DQ8W1RBV,FBK79271,V-01 RG,HPC,Hair Care,Volumizer,582.9067,12662,26,0.0,0,0,L0_ads_api
31984641326753,Nex_HPC_SB_KT_Banner_Volumizer,Nexlev,B0D83Q7L8W,FBA79271,V-01,HPC,Hair Care,Volumizer,582.9067,12662,26,0.0,0,0,L0_ads_api
31984641326753,Nex_HPC_SB_KT_Banner_Volumizer,Nexlev,B0DT6Y7KJM,FBA79492,V-02,HPC,Hair Care,Volumizer,582.9067,12662,26,0.0,0,0,L0_ads_api
42048735734003,Nex_HnK_SBV_KT_GS-02/05_B0CDPMX152_B0D383WQPB,Nexlev,B0CDPMX152,FBA78980,GS-02,Home & Kitchen,Fabric Care,Garment steamer,501.765,2002,34,0.0,0,0,L0_ads_api
42048735734003,Nex_HnK_SBV_KT_GS-02/05_B0CDPMX152_B0D383WQPB,Nexlev,B0D383WQPB,FBA79268,GS-05,Home & Kitchen,Fabric Care,Garment steamer,501.765,2002,34,0.0,0,0,L0_ads_api
43136784087869,Nex_HnK_SBV_KT_GS-05_BCG_Phrase & Exact_Reel,Nexlev,B0D383WQPB,FBA79268,GS-05,Home & Kitchen,Fabric Care,Garment steamer,151.82,726,7,0.0,0,0,L0_ads_api
54163637845982,HnK_SB_KT_PB-01 - SBV - Reel,Nexlev,B0FS6TB7CP,FBA79812,PB-01,Home & Kitchen,Kitchen Appliances,Portable Blender,2034.97,11724,69,0.0,0,0,L0_ads_api
62048851860885,Nexlev-B0CDPP45BM-Steam Cleaner-SBV-KT-Exact/Phrase,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3035.36,19806,690,80657.44,25,22,L0_ads_api
106830006815020,Nexlev-Steamer-PT(SEAHELTON)-SB,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,1568.2467,2031,98,13392.37,4,4,L0_ads_api
106830006815020,Nexlev-Steamer-PT(SEAHELTON)-SB,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,1568.2467,2031,98,13392.37,4,4,L0_ads_api
106830006815020,Nexlev-Steamer-PT(SEAHELTON)-SB,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,1568.2467,2031,98,13392.37,4,4,L0_ads_api
134652091915035,Nexlev-Steamers-Branded,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,31.9,29,2,0.0,0,0,L0_ads_api
134652091915035,Nexlev-Steamers-Branded,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,31.9,29,2,0.0,0,0,L0_ads_api
134652091915035,Nexlev-Steamers-Branded,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,31.9,29,2,0.0,0,0,L0_ads_api
148995698214573,Nexlev -Catch All-  Calf Massager -SB-KT-Exact/Phrase,Nexlev,B0DM6BB3VT,FBA79590,CFM-01,HPC,Electric Massagers,Calf Massager,4818.86,70031,305,11364.61,5,5,L0_ads_api
