date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-05-22,0,0.0,Nexlev-B0DVC8NYY2-AT-Humidifier,150458393226368,7,0.0,288789033429271,FBA79682,B0DVC8NYY2,0,Nexlev-B0DVC8NYY2-AT-Humidifier,0,FBA79682,HU-02,Nexlev,Home & Kitchen,Air Purifier,Humidifier White
2026-05-23,0,3.93,Nexlev-B0DVC8NYY2-AT-Humidifier,150458393226368,28,0.0,288789033429271,FBA79682,B0DVC8NYY2,1,Nexlev-B0DVC8NYY2-AT-Humidifier,0,FBA79682,HU-02,Nexlev,Home & Kitchen,Air Purifier,Humidifier White
2026-05-23,0,0.0,Nexlev - B0DCK7ZH5P - Sofa Cleaning Machine - Auto,255455558990335,10,0.0,306118036370509,FBA79439,B0DCK7ZH5P,0,Nexlev - B0DCK7ZH5P - Sofa Cleaning Machine - Auto,0,FBA79439,MR-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Mite Remover
2026-05-23,0,0.0,Nexliv-2 in 1 Stick Vacuum Cleaner-B0DCGHVN81-AT,234771520089925,15,0.0,354530382230263,FBA79452,B0DCGHVN81,0,Nexliv-2 in 1 Stick Vacuum Cleaner-B0DCGHVN81-AT,0,FBA79452,VC-01,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-01,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-03,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-04,0,253.64,SP_KT_VC-02,293006001619663,5240,0.0,533257674166008,FBA79463,B0DCK56Q85,13,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-05,0,665.03,SP_KT_VC-02,293006001619663,4948,0.0,533257674166008,FBA79463,B0DCK56Q85,32,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-06,0,548.04,SP_KT_VC-02,293006001619663,5585,0.0,533257674166008,FBA79463,B0DCK56Q85,24,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-07,1,719.37,SP_KT_VC-02,293006001619663,16666,2117.8,533257674166008,FBA79463,B0DCK56Q85,42,HnK_SP_KT_VC-02,1,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-08,1,1300.99,SP_KT_VC-02,293006001619663,33950,2017.8,533257674166008,FBA79463,B0DCK56Q85,65,HnK_SP_KT_VC-02,1,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-09,2,1753.07,SP_KT_VC-02,293006001619663,20708,4735.6,533257674166008,FBA79463,B0DCK56Q85,78,HnK_SP_KT_VC-02,2,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-10,0,859.25,SP_KT_VC-02,293006001619663,9857,0.0,533257674166008,FBA79463,B0DCK56Q85,37,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-11,0,625.38,SP_KT_VC-02,293006001619663,11453,0.0,533257674166008,FBA79463,B0DCK56Q85,33,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-12,0,407.42,SP_KT_VC-02,293006001619663,7631,0.0,533257674166008,FBA79463,B0DCK56Q85,23,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-13,0,171.47,SP_KT_VC-02,293006001619663,3663,0.0,533257674166008,FBA79463,B0DCK56Q85,8,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-14,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-15,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-16,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-17,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-18,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
2026-05-21,0,0.0,SP_KT_VC-02,293006001619663,0,0.0,533257674166008,FBA79463,B0DCK56Q85,0,HnK_SP_KT_VC-02,0,FBA79463,VC-02,Nexlev,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
