date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-04-06,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-07,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-08,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-09,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-10,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-11,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-12,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-13,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-14,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-15,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-16,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-17,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-18,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-19,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-20,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-21,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-22,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-23,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-24,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-04-06,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-07,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-08,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-09,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-10,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-11,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-12,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-13,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-14,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-15,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-16,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-17,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-18,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-19,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-20,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-21,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-22,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-23,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-24,B078WNW4YW,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B078WNW4YW,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,
2026-04-06,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-07,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-08,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-09,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-10,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-11,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-12,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-13,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-14,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-15,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-16,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-17,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-18,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-19,B07TSN2H9D,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,FBM77114,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77114,TC-2030,Tonor,Condenser Microphone,Boom Arm Kit - USB,
