date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-04-01,0,61.62,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,3561,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,6,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-02,0,35.8,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,4394,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,4,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-03,0,81.91,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,4463,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,7,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-04,1,130.07,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,4237,2795.76,176040475852165,B08V1JS3NY,B08V1JS3NY,12,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,1,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-05,0,84.71,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,3944,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,7,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-06,0,167.2,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,4475,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,12,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-07,1,291.5,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,9424,3473.73,176040475852165,B08V1JS3NY,B08V1JS3NY,23,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,1,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-08,0,286.94,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,12784,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,19,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-09,0,225.18,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,6533,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,13,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-10,0,290.35,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,7083,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,15,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-11,0,386.94,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,9974,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,23,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-12,0,107.58,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,3344,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,6,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-13,0,20.95,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,1016,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-14,0,21.12,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,452,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,3,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-15,0,20.67,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,799,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-16,0,99.48,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,585,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-17,0,71.36,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,673,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,3,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-18,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,229,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-19,0,54.36,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,837,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,3,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-20,0,70.02,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,1234,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,4,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-21,0,31.07,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,1133,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-04-01,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,3,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-02,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,7,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-03,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,2,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-06,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,1,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-09,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,1,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-10,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,2,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-12,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,10,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-14,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,6,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-04-15,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,14,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
