date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2,ad_account
2026-08-01,0,0.0,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,354,0.0,363410393795425,B078WNW4YW,B078WNW4YW,0,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-02,0,32.54,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,458,0.0,363410393795425,B078WNW4YW,B078WNW4YW,4,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-03,0,18.61,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,364,0.0,363410393795425,B078WNW4YW,B078WNW4YW,3,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-04,0,9.63,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,467,0.0,363410393795425,B078WNW4YW,B078WNW4YW,2,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-05,0,18.6,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,384,0.0,363410393795425,B078WNW4YW,B078WNW4YW,3,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-06,0,18.18,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,276,0.0,363410393795425,B078WNW4YW,B078WNW4YW,3,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-07,0,13.05,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,300,0.0,363410393795425,B078WNW4YW,B078WNW4YW,2,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-08,0,54.01,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,290,0.0,363410393795425,B078WNW4YW,B078WNW4YW,8,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-09,0,12.37,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,353,0.0,363410393795425,B078WNW4YW,B078WNW4YW,2,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-10,0,64.41,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,426,0.0,363410393795425,B078WNW4YW,B078WNW4YW,10,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-11,0,37.1,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,289,0.0,363410393795425,B078WNW4YW,B078WNW4YW,6,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-12,0,33.25,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,339,0.0,363410393795425,B078WNW4YW,B078WNW4YW,5,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-13,0,41.0,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,427,0.0,363410393795425,B078WNW4YW,B078WNW4YW,6,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-14,1,22.09,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,322,2075.42,363410393795425,B078WNW4YW,B078WNW4YW,3,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,1,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-15,0,57.73,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,316,0.0,363410393795425,B078WNW4YW,B078WNW4YW,6,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-16,1,23.92,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,499,2202.54,363410393795425,B078WNW4YW,B078WNW4YW,4,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,1,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-17,0,74.03,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,438,0.0,363410393795425,B078WNW4YW,B078WNW4YW,11,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-18,0,46.73,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,420,0.0,363410393795425,B078WNW4YW,B078WNW4YW,5,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-19,0,17.31,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,368,0.0,363410393795425,B078WNW4YW,B078WNW4YW,3,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-20,0,7.41,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,426,0.0,363410393795425,B078WNW4YW,B078WNW4YW,1,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,0,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-21,1,26.09,Audio Array-B078WNW4YW-TONOR Wireless-SP-KT-Exact/Phrase,514442633026005,340,2202.54,363410393795425,B078WNW4YW,B078WNW4YW,4,Audio Array-B078WNW4YW-TONOR Wireless -SP-KT-Exact/Phrase,1,FBA77117,S20,Tonor,Accessories,Microphone Isolation Shield,,AudioArray
2026-08-01,2,440.77,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,8136,3789.83,488011059467522,FBA79116,B0BYHHSLPC,53,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,2,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-02,2,524.92,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,12609,3509.32,488011059467522,FBA79116,B0BYHHSLPC,72,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,2,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
2026-08-03,3,492.41,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,507204657793156,11910,5336.43,488011059467522,FBA79116,B0BYHHSLPC,63,Audio Array-TONOR TC777 Pro -Multi Ad group-SP-KT-Exact/Phrase,3,FBA79116,TC-777 PRO,Tonor,Condenser Microphone,Tripod - RGB,,AudioArray
