SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79585,T20LP,B0CFKHCQ8W,B0CFKHCQ8W,"Tonor Mic Arm Desk Mount, Low Profile Boom Arm, Microphone Arm, Adjustable Mic Stand with Desk Mount Clamp, Cable Management, 3/8’’ and 5/8’’ Screwadapter for Most Microphone, Black, T20LP",685,20,0.06%,0.10%,909,28,0.06%,0.10%,98.32%,100.00%,19,2,2.77%,10.00%,"₹ 32,358.47","₹ 4,398.00",19,2
FBA77110,TM20,B08NDB5NWP,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",729,67,0.07%,0.34%,982,83,0.07%,0.31%,67.83%,43.33%,17,2,2.33%,2.99%,"₹ 43,366.31","₹ 5,998.00",17,2
FBA77113,K1,B01ISNU3X4,B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity","6,797",162,0.64%,0.83%,"10,031",246,0.71%,0.91%,4.20%,0.00%,10,0,0.15%,0.00%,"₹ 15,069.49",₹ 0.00,10,0
FBA79113,TC310,B0BTCXQQ6M,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310","5,298",105,0.50%,0.54%,"8,195",160,0.58%,0.59%,5.69%,0.00%,10,0,0.19%,0.00%,"₹ 19,166.05",₹ 0.00,10,0
FBA79115,T10,B0C8JDHLX9,B0C8JDHLX9,"TONOR T10 Microphone Boom Arm, Adjustable Microfono Stand Mic Arm with Extra-Large Pop Filter for HyperX Quadcast Blue Yeti Shure SM7B Rode Razer Seiren Mini SoloCast Elgato Wave, Recording Equipment",148,4,0.01%,0.02%,200,7,0.01%,0.03%,96.15%,87.50%,9,0,6.08%,0.00%,"₹ 13,000.85",₹ 0.00,9,0
FBA79697,TD310,B0CQX4K9P5,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC","1,586",42,0.15%,0.22%,"2,858",57,0.20%,0.21%,9.55%,13.79%,7,0,0.44%,0.00%,"₹ 9,612.71",₹ 0.00,7,0
FBA79260,G11,B07GVGMW59,B07GVGMW59,"TONOR G11 Conference USB Microphone, Omnidirectional Condenser PC Mic for Video Conference, Recording, Skype, Online Class, Court Reporter, Plug & Play Compatible with Mac OS X Windows PC Computer","1,063",98,0.10%,0.50%,"1,531",138,0.11%,0.51%,27.76%,2.80%,9,4,0.85%,4.08%,"₹ 19,029.66","₹ 9,780.00",6,1
FBA77106,T20,B082W4B7SX,B082W4B7SX,"TONOR Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop , 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",543,17,0.05%,0.09%,742,27,0.05%,0.10%,7.73%,0.00%,6,0,1.10%,0.00%,"₹ 12,205.51",₹ 0.00,6,0
FBA77117,S20,B078WNW4YW,B078WNW4YW,"TONOR Wireless Microphone Isolation Shield, Mic Sound Absorbing Foam Reflector for Any Condenser Recording Equipment Studio (Black)",984,20,0.09%,0.10%,"1,433",30,0.10%,0.11%,3.85%,0.00%,5,0,0.51%,0.00%,"₹ 8,806.39",₹ 0.00,5,0
FBA79696,TD310+,B0CQX3VB1R,B0CQX3VB1R,"TONOR Dynamic USB/Type-C Microphone for PC, RGB Podcast Computer Gaming Microphone with Arm Stand for Recording, Live, Streaming, YouTube, Vocals, Studio, Karaoke Microphone, Quick Mute Button, Black","1,381",23,0.13%,0.12%,"2,428",31,0.17%,0.12%,12.24%,0.00%,5,0,0.36%,0.00%,"₹ 7,878.76",₹ 0.00,5,0
FBA79112,T90,B0BRKDLXCD,B0BRKDLXCD,"RGB Boom Arm, TONOR Adjustable Mic Stand with RGB Light for HyperX QuadCast/Blue Yeti/Shure SM7B/Rode NT1, Rotatable Suspension Boom Scissor Stand for Gaming Streaming Podcasting YouTube Recording T90",486,12,0.05%,0.06%,667,15,0.05%,0.06%,98.84%,100.00%,4,0,0.82%,0.00%,"₹ 13,147.46",₹ 0.00,4,0
FBA77101,TC-777,B07WLWN2ZT,B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777","1,784",40,0.17%,0.21%,"2,500",49,0.18%,0.18%,9.66%,6.45%,2,0,0.11%,0.00%,"₹ 3,727.12",₹ 0.00,2,0
FBA77104,TC20,B089SJGQBH,B089SJGQBH,"TONOR XLR Condenser Microphone, Professional Cardioid Studio Mic Kit with T20 Boom Arm, Shock Mount, Pop Filter for Recording, Podcasting, Voice Over, Streaming, Home Studio, YouTube (TC20)",82,2,0.01%,0.01%,137,5,0.01%,0.02%,90.60%,100.00%,2,0,2.44%,0.00%,"₹ 8,472.88",₹ 0.00,2,0
FBA77111,TC30,B08CVP2HXP,B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30","2,153",52,0.20%,0.27%,"2,965",63,0.21%,0.23%,9.88%,0.00%,2,0,0.09%,0.00%,"₹ 3,794.92",₹ 0.00,2,0
