,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/07/25 - 31/07/25],Report Updated=[04/08/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA77113,K1,B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity",TONOR,IN,288075.43,207,0,0,201,26
FBA77111,TC30,B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30",TONOR,IN,118596.49,54,0,0,55,14
FBA77101,TC-777,B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",TONOR,IN,70734.69,30,0,0,32,12
FBA79111,TD510,B0BRKFP94K,"TONOR TD510 Dynamic Microphone, USB/XLR PC Microphone for Podcast, Recording, Live Streaming & Gaming, XLR Cardioid Studio Mic Music Voice-Over with Quick Mute, Headphone Output, Volume Control",TONOR,IN,54640.67,13,0,0,13,1
FBA79116,TC-777 PRO,B0BYHHSLPC,"TONOR TC777 Pro Gaming USB Microphone for PC, RGB Condenser Computer Mic with Tripod Stand, Quick Mute, Gain Control, for Gaming, Streaming, Podcasting, Recording, Cardioid Mic Kit for Laptop/PS4/PS5",TONOR,IN,45542.41,18,0,0,18,7
FBA79115,T10,B0C8JDHLX9,"TONOR T10 Microphone Boom Arm, Adjustable Microfono Stand Mic Arm with Extra-Large Pop Filter for HyperX Quadcast Blue Yeti Shure SM7B Rode Razer Seiren Mini SoloCast Elgato Wave, Recording Equipment",TONOR,IN,42000.02,30,0,0,30,1
FBK77102,G11,B07GVGMW59,"TONOR G11 Conference USB Microphone, Omnidirectional Condenser PC Mic for Video Conference, Recording, Skype, Online Class, Court Reporter, Plug & Play Compatible with Mac OS X Windows PC Computer",TONOR,IN,35415.19,17,0,0,16,2
FBA79113,TC310,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",TONOR,IN,32835.6,14,0,0,13,1
FBA77105,T30,B089FVQD3Z,"Microphone Stand Extension Arm, TONOR Studio Suspension Scissor Boom Arm with Pop Filter, 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Snowball Ice and Other Mics(T30)",TONOR,IN,27470.97,12,0,0,11,2
FBA77114,TC-2030,B07TSN2H9D,"TONOR Cardioid Condenser Microphone, USB Computer Mic Kit with 24mm Diaphragm/Spider Shock Mount for Podcasting, Gaming, Streaming, YouTube, Voice Over, Studio/Home Recording, TC-2030",TONOR,IN,15844.07,4,0,0,4,
FBA77110,TM20,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",TONOR,IN,15588.14,6,0,0,5,
FBA79582,TD510+,B0CCVBQRFX,"TONOR USB/XLR Microphone, Broadcast-Quality Dynamic Studio PC Mic with Boom Arm for Podcasting Recording Gaming Music Streaming Singing Voice-Over Noise Rejection, with 3.5mm Headphones Jack TD510+",TONOR,IN,10676.28,2,0,0,2,
FBA77106,T20,B082W4B7SX,"TONOR Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop , 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",TONOR,IN,10165.25,5,0,0,6,3
FBA79114,TC310+,B0CCV74CL7,"TONOR TC310+ RGB Condenser Mic with Boom Arm Quick Mute, RGB Lighting, Pop Filter, Shock Mount,Gaming USB Microphone Set for PC Gain Control for Streaming Podcasting Recording Discord Twitch YouTube",TONOR,IN,9150,3,0,0,3,1
FBA79697,TD310,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC",TONOR,IN,7454.24,4,0,0,4,1
FBA77103,ORCA001,B09Z5Q194D,"TONOR USB Microphone Computer Gaming Condenser Mic, Noise-Canceling Zero Latency Monitoring for Podcast/Recording/Livestreaming/Teleconferencing on PC/Mac/Android Device, Plug and Play, ORCA001",TONOR,IN,4507.63,1,0,0,1,1
FBA79696,TD310+,B0CQX3VB1R,"TONOR Dynamic USB/Type-C Microphone for PC, RGB Podcast Computer Gaming Microphone with Arm Stand for Recording, Live, Streaming, YouTube, Vocals, Studio, Karaoke Microphone, Quick Mute Button, Black",TONOR,IN,4404.23,2,0,0,2,1
FBA77104,TC20,B089SJGQBH,"TONOR XLR Condenser Microphone, Professional Cardioid Studio Mic Kit with T20 Boom Arm, Shock Mount, Pop Filter for Recording, Podcasting, Voice Over, Streaming, Home Studio, YouTube (TC20)",TONOR,IN,4236.44,1,0,0,1,1
FBA79112,T90,B0BRKDLXCD,"RGB Boom Arm, TONOR Adjustable Mic Stand with RGB Light for HyperX QuadCast/Blue Yeti/Shure SM7B/Rode NT1, Rotatable Suspension Boom Scissor Stand for Gaming Streaming Podcasting YouTube Recording T90",TONOR,IN,4016.95,1,,,,
