SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA77113,B01ISNU3X4,B01ISNU3X4,Tonor,K1,19,30577.12,4561,7065,17.72,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77117,B078WNW4YW,B078WNW4YW,Tonor,S20,0,0.0,704,991,5.05,VIOMI,2026-07,2026-07-01,2026-07-31
FBK77102,B07GVGMW59,B07GVGMW59,Tonor,G11,15,34309.32,2011,2958,9.53,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77101,B07WLWN2ZT,B07WLWN2ZT,Tonor,TC-777,1,1694.07,3051,4321,3.28,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77105,B089FVQD3Z,B089FVQD3Z,Tonor,T30,2,4744.07,70,107,8.25,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77104,B089SJGQBH,B089SJGQBH,Tonor,TC20,1,4151.69,141,211,100.0,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77111,B08CVP2HXP,B08CVP2HXP,Tonor,TC30,2,3727.12,797,1225,4.08,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77110,B08NDB5NWP,B08NDB5NWP,Tonor,TM20,8,20332.2,2080,2813,25.77,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77115,B08V1JS3NY,B08V1JS3NY,Tonor,TC40,0,0.0,173,272,11.93,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77103,B09Z5Q194D,B09Z5Q194D,Tonor,ORCA001,0,0.0,108,138,1.59,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79574,B0B4WTHLX5,B0B4WTHLX5,Tonor,TC30S,0,0.0,426,605,30.51,VIOMI,2026-07,2026-07-01,2026-07-31
FBA77116,B0BBL47VR5,B0BBL47VR5,Tonor,TC40S,0,0.0,82,111,2.97,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79576,B0BRCR2QQ7,B0BRCR2QQ7,Tonor,TC30S+,0,0.0,290,387,2.47,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79111,B0BRKFP94K,B0BRKFP94K,Tonor,TD510,0,0.0,487,659,3.03,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79113,B0BTCXQQ6M,B0BTCXQQ6M,Tonor,TC310,1,2117.8,765,1085,11.88,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79116,B0BYHHSLPC,B0BYHHSLPC,Tonor,TC-777 PRO,2,3489.83,2868,4338,1.34,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79114,B0CCV74CL7,B0CCV74CL7,Tonor,TC310+,8,19654.24,1045,1644,13.06,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79585,B0CFKHCQ8W,B0CFKHCQ8W,Tonor,T20LP,1,1778.81,468,649,12.48,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79586,B0CH9JR3HL,B0CH9JR3HL,Tonor,TRL-20,3,6353.39,8,11,100.0,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79696,B0CQX3VB1R,B0CQX3VB1R,Tonor,TD310+,4,5590.68,622,1017,18.1,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79697,B0CQX4K9P5,B0CQX4K9P5,Tonor,TD310,3,5082.2,2454,3808,5.14,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79577,B0CSCT63BL,B0CSCT63BL,Tonor,TM310,2,4066.1,1060,1362,34.42,VIOMI,2026-07,2026-07-01,2026-07-31
