SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA77113,B01ISNU3X4,B01ISNU3X4,Tonor,K1,2,3218.64,1948,2923,1.71,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77117,B078WNW4YW,B078WNW4YW,Tonor,S20,3,6607.63,668,941,7.45,VIOMI,2026-06,2026-06-01,2026-06-30
FBK77102,B07GVGMW59,B07GVGMW59,Tonor,G11,4,9149.15,758,1198,15.94,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77101,B07WLWN2ZT,B07WLWN2ZT,Tonor,TC-777,1,1711.02,1998,2792,1.33,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77106,B082W4B7SX,B082W4B7SX,Tonor,T20,8,16603.39,261,409,35.23,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77105,B089FVQD3Z,B089FVQD3Z,Tonor,T30,0,0.0,6,15,0.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77104,B089SJGQBH,B089SJGQBH,Tonor,TC20,0,0.0,42,55,98.04,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77111,B08CVP2HXP,B08CVP2HXP,Tonor,TC30,1,1882.2,1969,2766,4.64,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77110,B08NDB5NWP,B08NDB5NWP,Tonor,TM20,3,7573.73,1029,1391,29.23,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77115,B08V1JS3NY,B08V1JS3NY,Tonor,TC40,0,0.0,121,171,2.8,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77103,B09Z5Q194D,B09Z5Q194D,Tonor,ORCA001,0,0.0,52,61,0.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79574,B0B4WTHLX5,B0B4WTHLX5,Tonor,TC30S,2,4235.59,275,385,19.48,VIOMI,2026-06,2026-06-01,2026-06-30
FBA77116,B0BBL47VR5,B0BBL47VR5,Tonor,TC40S,1,2965.25,116,164,4.38,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79576,B0BRCR2QQ7,B0BRCR2QQ7,Tonor,TC30S+,0,0.0,190,263,24.39,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79111,B0BRKFP94K,B0BRKFP94K,Tonor,TD510,0,0.0,456,648,10.69,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79113,B0BTCXQQ6M,B0BTCXQQ6M,Tonor,TC310,0,0.0,535,747,3.93,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79116,B0BYHHSLPC,B0BYHHSLPC,Tonor,TC-777 PRO,3,5133.05,2771,4219,3.43,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79114,B0CCV74CL7,B0CCV74CL7,Tonor,TC310+,6,12283.9,421,730,21.24,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79585,B0CFKHCQ8W,B0CFKHCQ8W,Tonor,T20LP,9,16009.32,1208,1524,80.58,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79586,B0CH9JR3HL,B0CH9JR3HL,Tonor,TRL-20,2,4235.59,15,24,100.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79696,B0CQX3VB1R,B0CQX3VB1R,Tonor,TD310+,0,0.0,450,744,5.26,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79697,B0CQX4K9P5,B0CQX4K9P5,Tonor,TD310,0,0.0,1314,2006,0.28,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79577,B0CSCT63BL,B0CSCT63BL,Tonor,TM310,4,6141.53,716,917,46.76,VIOMI,2026-06,2026-06-01,2026-06-30
