ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B01ISNU3X4,FBA77113,Tonor,K1,Dynamic Microphone,Hand held Mic,,60,93447.57,60,0.0,8,1p Sales,2026-06,2026-06-01,2026-06-30
B078WNW4YW,FBA77117,Tonor,S20,Accessories,Microphone Isolation Shield,,9,19822.86,9,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B07GVGMW59,FBK77102,Tonor,G11,Conference Microphone,Wired,,37,84629.52,37,0.0,15,1p Sales,2026-06,2026-06-01,2026-06-30
B07TSN2H9D,FBA77114,Tonor,TC-2030,Condenser Microphone,Boom Arm Kit - USB,,1,3473.73,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B07WLWN2ZT,FBA77101,Tonor,TC-777,Condenser Microphone,Tripod,,20,33989.82,20,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B082W4B7SX,FBA77106,Tonor,T20,Accessories,Boom Arm Kit,,5,10377.1,5,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B089FVQD3Z,FBA77105,Tonor,T30,Accessories,Boom Arm Kit,,5,11860.15,5,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B08CVP2HXP,FBA77111,Tonor,TC30,Condenser Microphone,Tripod,,39,72678.84,39,0.0,15,1p Sales,2026-06,2026-06-01,2026-06-30
B08NDB5NWP,FBA77110,Tonor,TM20,Conference Microphone,Wired,,24,60996.67,34,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B08V1JS3NY,FBA77115,Tonor,TC40,Condenser Microphone,Boom Arm Kit - USB,,0,0.0,0,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4WTHLX5,FBA79574,Tonor,TC30S,Condenser Microphone,Tripod+RGB,,2,4235.6,2,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0BBL47VR5,FBA77116,Tonor,TC40S,Condenser Microphone,Boom Arm Kit - USB - RGB,,0,0.0,0,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0BRCR2QQ7,FBA79576,Tonor,TC30S+,Condenser Microphone,Boom Arm Kit + RGB,,2,4744.07,2,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0BRKFP94K,FBA79111,Tonor,TD510,Dynamic Microphone,USB/XLR Mic,,1,3388.98,1,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0BTCXQQ6M,FBA79113,Tonor,TC310,Condenser Microphone,Tripod - RGB,,5,10589.0,5,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0BYHHSLPC,FBA79116,Tonor,TC-777 PRO,Condenser Microphone,Tripod - RGB,,57,96561.86,59,0.0,14,1p Sales,2026-06,2026-06-01,2026-06-30
B0CCV74CL7,FBA79114,Tonor,TC310+,Condenser Microphone,Boom Arm Kit - USB - RGB,,25,61419.5,25,0.0,11,1p Sales,2026-06,2026-06-01,2026-06-30
B0CFKHCQ8W,FBA79585,Tonor,T20LP,Accessories,Low Profile Boom Arm,,5,8894.05,5,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0CQX3VB1R,FBA79696,Tonor,TD310+,Dynamic Microphone,Hand held Mic + Boom Arm,,13,23887.3,12,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0CQX4K9P5,FBA79697,Tonor,TD310,Dynamic Microphone,Hand held Mic + Stand,,35,59292.32,35,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0CSCT63BL,FBA79577,Tonor,TM310,Conference Microphone,Wired,,6,12452.52,6,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
