date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-03-02,0,12.1,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,264,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,3,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-03,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,94,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-04,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,2,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-06,0,8.95,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,253,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-07,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,187,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-08,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,272,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-09,0,3.7,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,251,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-10,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,207,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-11,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,192,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-12,0,4.34,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,190,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-13,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,214,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-14,0,4.49,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,196,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-15,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,36,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-16,0,8.46,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,385,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-17,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,454,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-18,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,573,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-19,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,552,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-20,0,4.36,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,356,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-21,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,316,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-22,0,8.35,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,602,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-03-02,1,142.44,Tonor KT,225668819222991,912,1566.94,144187634184474,B01ISNU3X4,B01ISNU3X4,7,Ton_Dynamic_K1_SP_KT & PT,1,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-03,0,620.54,Tonor KT,225668819222991,4701,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,34,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-04,0,152.41,Tonor KT,225668819222991,1404,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,7,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-05,0,141.76,Tonor KT,225668819222991,1513,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,8,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-06,0,0.0,Tonor KT,225668819222991,0,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-09,0,0.0,Tonor KT,225668819222991,0,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-13,0,0.0,Tonor KT,225668819222991,0,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-15,0,0.0,Tonor KT,225668819222991,0,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-02,0,33.97,Tonor K1 PT,225668819222991,468,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,4,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-03,0,28.45,Tonor K1 PT,225668819222991,1024,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,4,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-04,0,17.53,Tonor K1 PT,225668819222991,505,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,2,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-05,0,9.68,Tonor K1 PT,225668819222991,78,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,1,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-06,0,0.0,Tonor K1 PT,225668819222991,0,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-07,0,0.0,Tonor K1 PT,225668819222991,0,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-08,0,0.0,Tonor K1 PT,225668819222991,0,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-03-02,0,12.35,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,149,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,2,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-03-03,0,3.33,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,188,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,1,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-03-04,0,5.92,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,197,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,1,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
