,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79116,TC-777 PRO,B0BYHHSLPC,"TONOR TC777 Pro Gaming USB Microphone for PC, RGB Condenser Computer Mic with Tripod Stand, Quick Mute, Gain Control, for Gaming, Streaming, Podcasting, Recording, Cardioid Mic Kit for Laptop/PS4/PS5",TONOR,IN,"₹ 1,30,652.49",80,₹ 0.00,₹ 0.00,78,18
FBA77111,TC30,B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30",TONOR,IN,"₹ 1,00,351.74",55,₹ 0.00,₹ 0.00,55,8
FBK77102,G11,B07GVGMW59,"TONOR G11 Conference USB Microphone, Omnidirectional Condenser PC Mic for Video Conference, Recording, Skype, Online Class, Court Reporter, Plug & Play Compatible with Mac OS X Windows PC Computer",TONOR,IN,"₹ 78,360.19",35,₹ 0.00,₹ 0.00,34,2
FBA77110,TM20,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",TONOR,IN,"₹ 70,908.52",28,₹ 0.00,₹ 0.00,16,
FBA79114,TC310+,B0CCV74CL7,"TONOR TC310+ RGB Condenser Mic with Boom Arm Quick Mute, RGB Lighting, Pop Filter, Shock Mount,Gaming USB Microphone Set for PC Gain Control for Streaming Podcasting Recording Discord Twitch YouTube",TONOR,IN,"₹ 69,975.42",29,₹ 0.00,₹ 0.00,29,3
FBA77101,TC-777,B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",TONOR,IN,"₹ 58,360.99",34,₹ 0.00,₹ 0.00,34,11
FBA79696,TD310+,B0CQX3VB1R,"TONOR Dynamic USB/Type-C Microphone for PC, RGB Podcast Computer Gaming Microphone with Arm Stand for Recording, Live, Streaming, YouTube, Vocals, Studio, Karaoke Microphone, Quick Mute Button, Black",TONOR,IN,"₹ 47,569.47",28,₹ 0.00,₹ 0.00,28,2
FBA77113,K1,B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity",TONOR,IN,"₹ 45,281.67",30,₹ 0.00,₹ 0.00,28,2
FBA77117,S20,B078WNW4YW,"TONOR Wireless Microphone Isolation Shield, Mic Sound Absorbing Foam Reflector for Any Condenser Recording Equipment Studio (Black)",TONOR,IN,"₹ 25,839.80",12,₹ 0.00,₹ 0.00,12,4
FBA79111,TD510,B0BRKFP94K,"TONOR TD510 Dynamic Microphone, USB/XLR PC Microphone for Podcast, Recording, Live Streaming & Gaming, XLR Cardioid Studio Mic Music Voice-Over with Quick Mute, Headphone Output, Volume Control",TONOR,IN,"₹ 23,152.52",7,₹ 0.00,₹ 0.00,7,1
FBA79113,TC310,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",TONOR,IN,"₹ 22,873.75",11,₹ 0.00,₹ 0.00,11,1
FBA79697,TD310,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC",TONOR,IN,"₹ 16,838.99",10,₹ 0.00,₹ 0.00,10,1
FBA77106,T20,B082W4B7SX,"TONOR Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop , 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",TONOR,IN,"₹ 16,264.40",8,₹ 0.00,₹ 0.00,8,1
FBA77116,TC40S,B0BBL47VR5,"TONOR RGB USB Gaming Microphone Kit, Podcast Microphone for PC, One-tap Mute for Streaming, Cardioid Condenser Microphone for PS4/5 Gamer Youtuber, Studio Mic Bundle with Adjustment Arm Stand",TONOR,IN,"₹ 11,764.40",4,₹ 0.00,₹ 0.00,4,2
FBA79585,T20LP,B0CFKHCQ8W,"Tonor Mic Arm Desk Mount, Low Profile Boom Arm, Microphone Arm, Adjustable Mic Stand with Desk Mount Clamp, Cable Management, 3/8’’ and 5/8’’ Screwadapter for Most Microphone, Black, T20LP",TONOR,IN,"₹ 11,011.86",6,₹ 0.00,₹ 0.00,6,1
FBA77115,TC40,B08V1JS3NY,"TONOR USB Microphone Kit, Streaming Podcast PC Cardioid Condenser Computer Mic for Gaming, YouTube Video, Recording Music, Voice Over, Studio Mic Bundle with Adjustment Arm Stand(TC40)",TONOR,IN,"₹ 8,442.37",3,₹ 0.00,₹ 0.00,3,2
