date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-05-01,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,388,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-02,0,24.62,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,268,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-03,0,14.35,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,373,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-04,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,358,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-05,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,129,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-06,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,371,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-07,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,233,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-08,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,83,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-09,0,5.57,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,866,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-10,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,2092,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-11,0,19.1,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,1183,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-12,0,73.99,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,1956,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,5,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-13,0,13.6,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,2054,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-14,0,69.32,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,2061,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,5,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-15,0,36.01,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,2257,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,4,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-16,0,27.1,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,1872,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,3,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-20,0,0.0,Audio Array-Catch All-Microphone Kit-SP-KT -Exact/Phrase,163941082534793,0,0.0,176040475852165,B08V1JS3NY,B08V1JS3NY,0,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-08,0,0.0,Tonor KT,225668819222991,32,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-05-09,0,0.0,Tonor KT,225668819222991,3,0.0,144187634184474,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-05-08,0,0.0,Tonor K1 PT,225668819222991,7,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-05-09,0,0.0,Tonor K1 PT,225668819222991,1,0.0,185492075547869,B01ISNU3X4,B01ISNU3X4,0,Ton_Dynamic_K1_SP_KT & PT,0,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-05-01,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,1,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-05,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,3,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-08,0,15.38,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,543,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,1,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-09,0,76.84,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,395,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,3,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-10,0,24.78,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,156,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,1,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-11,0,23.32,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,135,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,1,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-12,0,32.13,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,59,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,1,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-13,0,55.99,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,182,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,3,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-16,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,0,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-17,0,0.0,Audio Array-Catch All-Conference Microphone-SP-KT-Phrase,180519653562474,0,0.0,369253451049592,B08NDB5NWP,B08NDB5NWP,0,Ton_Conference_TM20/TM310_SP_KT-0,0,FBA77110,TM20,Tonor,Conference Microphone,Wired,
2026-05-01,0,10.12,Audio Array-Catch All-Microphone Kit-SP-KT-Exact/Phrase,163941082534793,128,0.0,300485395906669,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-02,0,4.78,Audio Array-Catch All-Microphone Kit-SP-KT-Exact/Phrase,163941082534793,154,0.0,300485395906669,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-03,0,1.3,Audio Array-Catch All-Microphone Kit-SP-KT-Exact/Phrase,163941082534793,153,0.0,300485395906669,B08V1JS3NY,B08V1JS3NY,1,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
2026-05-04,0,27.89,Audio Array-Catch All-Microphone Kit-SP-KT-Exact/Phrase,163941082534793,402,0.0,300485395906669,B08V1JS3NY,B08V1JS3NY,2,Audio Array-Catch All-Microphone Kit -SP-KT -Exact/Phrase,0,FBA77115,TC40,Tonor,Condenser Microphone,Boom Arm Kit - USB,
