SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA79476,B0DB5VG39T,B0DB5VG39T,White Mulberry,WM-GS1M-BK,1,2372.03,3170,4770,0.19,CAMBIUMRETAIL,Aug26,2026-08-01,2026-08-31
FBA79476,B0DB5VG39T,B0DB5VG39T,White Mulberry,WM-GS1M-BK,4,9657.63,9472,13878,5.98,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79476,B0DB5VG39T,B0H7B4L953,White Mulberry,WM-GS1M-BK,8,19315.25,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79477,B0DB5VVPSB,B0DB5VVPSB,White Mulberry,WM-GS2M-BK,14,52168.78,3267,4544,25.35,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79477,B0DB5VVPSB,B0H7B4L953,White Mulberry,WM-GS2M-BK,4,14911.86,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79478,B0DB5W4TCP,B0DB5W4TCP,White Mulberry,WM-HA1M-BK,0,0.0,844,1044,10.69,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79478,B0DB5W4TCP,B0H7B4L953,White Mulberry,WM-HA1M-BK,2,2964.41,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79479,B0DB5YTQZV,B0DB5YTQZV,White Mulberry,WM-HA2M-BK,28,48451.69,2450,3396,45.4,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79479,B0DB5YTQZV,B0H7B4L953,White Mulberry,WM-HA2M-BK,8,14230.51,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79613,B0DP2VVRND,B0DP2VVRND,White Mulberry,MS1ML,30,52263.56,4774,7166,29.95,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79613,B0DP2VVRND,B0F1YXYNM6,White Mulberry,MS1ML,11,18635.59,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79612,B0DP2WC5VW,B0DP2WC5VW,White Mulberry,WM1ML,6,16774.58,580,806,94.51,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79615,B0DP2Z5DQ9,B0DP2Z5DQ9,White Mulberry,VLMS1ML,10,24610.17,2091,2683,99.92,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79615,B0DP2Z5DQ9,B0F1YXYNM6,White Mulberry,VLMS1ML,18,38122.88,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79617,B0DP32F346,B0DP32F346,White Mulberry,HDWF1ML,7,18977.12,3700,5165,8.65,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79617,B0DP32F346,B0H7B4L953,White Mulberry,HDWF1ML,2,5422.03,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79790,B0FHVWHQHR,B0FHVWHQHR,White Mulberry,TVLF1ML,22,12227.12,822,1254,100.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79790,B0FHVWHQHR,B0FNR244QP,White Mulberry,TVLF1ML,20,11847.46,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBK79788,B0FN4D3C89,B0FN4D3C89,White Mulberry,TVCT1ML,7,2333.9,210,283,99.64,VIOMI,Aug26,2026-08-01,2026-08-31
FBK79788,B0FN4D3C89,B0FNR244QP,White Mulberry,TVCT1ML,1,388.98,0,0,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
