SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBK79788,TVCT1ML,B0FN4D3C89,B0FN4D3C89,"White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand","4,034",204,0.38%,1.05%,"6,036",311,0.42%,1.15%,99.91%,99.49%,203,21,5.03%,10.29%,"₹ 83,997.46","₹ 10,872.00",193,13
FBK79789,TVMF1ML,B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand","2,622",146,0.25%,0.75%,"4,292",221,0.30%,0.82%,99.46%,99.35%,224,57,8.54%,39.04%,"₹ 1,34,589.83","₹ 41,334.00",179,14
FBA79478,WM-HA1M-BK,B0DB5W4TCP,B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),"2,515",130,0.24%,0.67%,"3,428",168,0.24%,0.62%,97.45%,88.35%,70,3,2.78%,2.31%,"₹ 93,282.20","₹ 4,807.00",68,3
FBK79787,TVCF1ML,B0FN4GQ9HT,B0FN4GQ9HT,"White Mulberry Tilt TV Wall Mount Bracket for 13–43 Inch Flat Screen TVs, Low Profile Slim Design, Heavy-Duty Steel, VESA 75x75 to 200x200, Supports up to 99 lbs (45kg), Built-in Bubble Level","1,850",103,0.17%,0.53%,"2,427",141,0.17%,0.52%,99.86%,98.84%,55,3,2.97%,2.91%,"₹ 35,952.54","₹ 2,233.00",50,2
FBA79790,TVLF1ML,B0FHVWHQHR,B0FHVWHQHR,"White Mulberry Fixed TV Wall Mount Bracket for 37–86 Inch LED, LCD & Curved TVs | Heavy Duty Steel Frame, 45kg Max Load, VESA 50x50 to 600x400mm Max, Built-in Bubble Level, 1 Year Warranty",730,48,0.07%,0.25%,"1,134",61,0.08%,0.23%,99.70%,100.00%,51,1,6.99%,2.08%,"₹ 31,622.88",₹ 718.00,48,1
FBA79615,VLMS1ML,B0DP2Z5DQ9,B0DP2Z5DQ9,"White Mulberry 10-Step Height Adjustable Single Screen Monitor Stand for 17-32 Inch Monitor, 8 kg Load, VESA 75x75/100x100, DIY Installation (Black)","1,686",105,0.16%,0.54%,"2,245",130,0.16%,0.48%,99.48%,100.00%,45,4,2.67%,3.81%,"₹ 1,06,131.36","₹ 11,364.00",42,4
FBK79791,TVFM1ML,B0FN4HDM6Z,B0FN4HDM6Z,"White Mulberry Premium Full Motion TV Wall Mount Bracket for 23-65Inch |35kg| LED/LCD/OLED/Smart & Curved TV’s, Universal Heavy Duty Wall Mount Stand with Swivel, Tilt","2,370",162,0.22%,0.83%,"3,273",222,0.23%,0.82%,99.86%,99.28%,48,14,2.03%,8.64%,"₹ 83,944.92","₹ 30,386.00",40,6
FBK79786,POSS-01,B0FN4FPJ83,B0FN4FPJ83,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8""-4.3"" Devices, 6.5"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management",356,58,0.03%,0.30%,546,125,0.04%,0.46%,100.00%,100.00%,67,45,18.82%,77.59%,"₹ 1,06,425.42","₹ 82,654.00",37,21
FBA79612,WM1ML,B0DP2WC5VW,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),"5,771",306,0.54%,1.57%,"8,193",427,0.58%,1.59%,20.40%,10.49%,23,0,0.40%,0.00%,"₹ 57,941.53",₹ 0.00,20,0
FBK79793,HDGS1ML,B0FN81FD8M,B0FN81FD8M,"White Mulberry Premium Heavy-Duty Gas Spring Monitor Arm for 24-57Inch Flat & Curved Screens| Height Adjustable |27Kg|VESA 75x75, 200x200mm Single Screen Mount with Swivel, Tilt, Rotation",403,32,0.04%,0.16%,563,44,0.04%,0.16%,100.00%,100.00%,13,0,3.23%,0.00%,"₹ 73,234.75",₹ 0.00,13,0
FBA79614,MS2ML,B0DP313R77,B0DP313R77,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-27 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Dual Screen),440,35,0.04%,0.18%,538,41,0.04%,0.15%,99.34%,100.00%,11,3,2.50%,8.57%,"₹ 22,542.37","₹ 8,265.00",11,3
FBA79476,WM-GS1M-BK,B0DB5VG39T,B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),"6,463",350,0.61%,1.80%,"9,251",515,0.65%,1.91%,6.76%,0.33%,10,1,0.15%,0.29%,"₹ 22,083.05","₹ 2,509.00",10,1
FBA79613,MS1ML,B0DP2VVRND,B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),"5,538",391,0.52%,2.01%,"8,236",589,0.58%,2.19%,7.18%,0.26%,10,0,0.18%,0.00%,"₹ 16,882.20",₹ 0.00,10,0
FBA79617,HDWF1ML,B0DP32F346,B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),"2,299",175,0.22%,0.90%,"3,148",245,0.22%,0.91%,12.86%,4.57%,11,4,0.48%,2.29%,"₹ 30,209.32","₹ 12,980.00",7,1
FBK79792,HDMSP1ML,B0FN4JG97R,B0FN4JG97R,"White Mulberry Single Screen Pole Mounted Heavy-Duty Mechanical Spring Monitor Arm for 17-40 Inch |2-22kgs| Flat & Curved Screens, Universal Desk Mount with Swivel, Tilt, Rotation",714,53,0.07%,0.27%,976,74,0.07%,0.27%,99.88%,100.00%,7,2,0.98%,3.77%,"₹ 23,216.10","₹ 10,898.00",7,2
