campaignId,campaignName,brand,asin,sku,model,category_l0,category_l1,category_l2,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
95519167036,White Mulberry Monitor Arm-B0DB5VG39T-KT-SBV,White Mulberry,B0DB5VG39T,FBA79476,WM-GS1M-BK,Monitor Arm,Monitor Arm,,9993.71,76486,643,24821.18,11,11,L1_asin
126347067109896,WM- SBV- Monitor Arm- B0DB5VG39T - Phrase,White Mulberry,B0DB5VG39T,FBA79476,WM-GS1M-BK,Monitor Arm,Monitor Arm,,1897.82,35820,151,2329.66,1,1,L1_asin
173044652570154,WM-SB-Monitor Arms-Branded,White Mulberry,B0DB5VG39T,FBA79476,WM-GS1M-BK,Monitor Arm,Monitor Arm,,35.565,135,7,1698.3,1,1,L0_ads_api
173044652570154,WM-SB-Monitor Arms-Branded,White Mulberry,B0DB5VVPSB,FBA79477,WM-GS2M-BK,Monitor Arm,Monitor Arm,,35.565,135,7,1698.3,1,1,L0_ads_api
173044652570154,WM-SB-Monitor Arms-Branded,White Mulberry,B0DB5W4TCP,FBA79478,WM-HA1M-BK,Monitor Arm,Monitor Arm,,35.565,135,7,1698.3,1,1,L0_ads_api
173044652570154,WM-SB-Monitor Arms-Branded,White Mulberry,B0DB5YTQZV,FBA79479,WM-HA2M-BK,Monitor Arm,Monitor Arm,,35.565,135,7,1698.3,1,1,L0_ads_api
173044652570154,WM-SB-Monitor Arms-Branded,White Mulberry,B0DP32F346,FBA79617,HDWF1ML,Monitor Arm,Monitor Arm,,35.565,135,7,1698.3,1,1,L0_ads_api
173044652570154,WM-SB-Monitor Arms-Branded,White Mulberry,B0DP2Z5DQ9,FBA79615,VLMS1ML,Monitor Arm,Monitor Arm,,35.565,135,7,1698.3,1,1,L0_ads_api
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP2WC5VW,FBA79612,WM1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP2WC5VW,FBA79612,WM1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP2VVRND,FBA79613,MS1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP2VVRND,FBA79613,MS1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP313R77,FBA79614,MS2ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP313R77,FBA79614,MS2ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP2Z5DQ9,FBA79615,VLMS1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP2Z5DQ9,FBA79615,VLMS1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP3194QN,FBA79616,HD1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP3194QN,FBA79616,HD1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP32F346,FBA79617,HDWF1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DP32F346,FBA79617,HDWF1ML,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DB5VG39T,FBA79476,WM-GS1M-BK,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DB5VG39T,FBA79476,WM-GS1M-BK,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
187880242500432,White Mulberry-Monitor Arm-Collective- SB - Phrase,White Mulberry,B0DB5VVPSB,FBA79477,WM-GS2M-BK,Monitor Arm,Monitor Arm,,136.1088,4643,11,462.63,0,0,L3_category:Monitor Arm
