date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-07-06,0,505.88,B0BFVMDJ2K,448535718219287,2873,0.0,476359613412584,FBA76417,B0BFVMDJ2K,20,Camb-SP-L shape-B0BFVMDJ2K/B0BFWD6SNF- Exact/Phrase,0,FBA76417,WM-LOD-WH,White Mulberry,Desk,L-Shaped Desk,
2026-07-07,0,517.23,B0BFVMDJ2K,448535718219287,3099,0.0,476359613412584,FBA76417,B0BFVMDJ2K,25,Camb-SP-L shape-B0BFVMDJ2K/B0BFWD6SNF- Exact/Phrase,0,FBA76417,WM-LOD-WH,White Mulberry,Desk,L-Shaped Desk,
2026-07-08,0,126.32,B0BFVMDJ2K,448535718219287,1056,0.0,476359613412584,FBA76417,B0BFVMDJ2K,5,Camb-SP-L shape-B0BFVMDJ2K/B0BFWD6SNF- Exact/Phrase,0,FBA76417,WM-LOD-WH,White Mulberry,Desk,L-Shaped Desk,
2026-07-14,0,181.36,EX and PH,358669458515629,599,0.0,283286854914329,FBA79167,B0CPFS24ML,11,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-15,0,330.98,EX and PH,358669458515629,2237,0.0,283286854914329,FBA79167,B0CPFS24ML,23,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-16,0,352.78,EX and PH,358669458515629,1673,0.0,283286854914329,FBA79167,B0CPFS24ML,23,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-17,2,557.64,EX and PH,358669458515629,3106,14574.56,283286854914329,FBA79167,B0CPFS24ML,36,SP KT_B0CPFS24ML_Manual_Gaming,2,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-18,0,513.79,EX and PH,358669458515629,2623,0.0,283286854914329,FBA79167,B0CPFS24ML,34,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-19,0,457.33,EX and PH,358669458515629,2341,0.0,283286854914329,FBA79167,B0CPFS24ML,29,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-20,0,545.9,EX and PH,358669458515629,3689,0.0,283286854914329,FBA79167,B0CPFS24ML,37,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-21,0,498.29,EX and PH,358669458515629,2560,0.0,283286854914329,FBA79167,B0CPFS24ML,27,SP KT_B0CPFS24ML_Manual_Gaming,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-01,0,608.7,SP_PT,426994415684787,1666,0.0,379878346221662,FBA79167,B0CPFS24ML,38,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-02,0,605.93,SP_PT,426994415684787,2735,0.0,379878346221662,FBA79167,B0CPFS24ML,38,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-03,0,596.14,SP_PT,426994415684787,3669,0.0,379878346221662,FBA79167,B0CPFS24ML,37,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-04,0,595.1,SP_PT,426994415684787,2524,0.0,379878346221662,FBA79167,B0CPFS24ML,35,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-05,2,675.7,SP_PT,426994415684787,6586,7202.54,379878346221662,FBA79167,B0CPFS24ML,44,Camb-SP-Zshape-B0CPFS24ML-PT01,2,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-06,0,404.5,SP_PT,426994415684787,2629,0.0,379878346221662,FBA79167,B0CPFS24ML,27,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-07,2,365.45,SP_PT,426994415684787,2693,14659.32,379878346221662,FBA79167,B0CPFS24ML,25,Camb-SP-Zshape-B0CPFS24ML-PT01,2,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-08,2,503.75,SP_PT,426994415684787,1736,14659.32,379878346221662,FBA79167,B0CPFS24ML,27,Camb-SP-Zshape-B0CPFS24ML-PT01,2,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-09,0,345.57,SP_PT,426994415684787,2163,0.0,379878346221662,FBA79167,B0CPFS24ML,25,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-10,1,304.04,SP_PT,426994415684787,1362,7287.29,379878346221662,FBA79167,B0CPFS24ML,19,Camb-SP-Zshape-B0CPFS24ML-PT01,1,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-11,0,262.04,SP_PT,426994415684787,1400,0.0,379878346221662,FBA79167,B0CPFS24ML,20,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-12,0,92.81,SP_PT,426994415684787,1270,0.0,379878346221662,FBA79167,B0CPFS24ML,8,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-13,0,220.41,SP_PT,426994415684787,985,0.0,379878346221662,FBA79167,B0CPFS24ML,17,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-14,0,173.1,SP_PT,426994415684787,761,0.0,379878346221662,FBA79167,B0CPFS24ML,12,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-15,0,172.56,SP_PT,426994415684787,760,0.0,379878346221662,FBA79167,B0CPFS24ML,12,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-16,0,141.64,SP_PT,426994415684787,684,0.0,379878346221662,FBA79167,B0CPFS24ML,11,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-17,0,150.54,SP_PT,426994415684787,673,0.0,379878346221662,FBA79167,B0CPFS24ML,5,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-18,0,254.65,SP_PT,426994415684787,791,0.0,379878346221662,FBA79167,B0CPFS24ML,17,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-19,0,157.27,SP_PT,426994415684787,871,0.0,379878346221662,FBA79167,B0CPFS24ML,12,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-20,0,98.56,SP_PT,426994415684787,680,0.0,379878346221662,FBA79167,B0CPFS24ML,7,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-21,0,88.87,SP_PT,426994415684787,695,0.0,379878346221662,FBA79167,B0CPFS24ML,5,Camb-SP-Zshape-B0CPFS24ML-PT01,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-01,0,350.96,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,4509,0.0,312798478472879,FBA79167,B0CPFS24ML,28,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-02,0,352.13,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,5777,0.0,312798478472879,FBA79167,B0CPFS24ML,31,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-03,0,415.8,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,5192,0.0,312798478472879,FBA79167,B0CPFS24ML,41,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-04,0,393.23,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,4442,0.0,312798478472879,FBA79167,B0CPFS24ML,29,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-05,1,832.07,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,9410,7202.54,312798478472879,FBA79167,B0CPFS24ML,73,Camb- Z shaped - B0CPFS24ML- CT ref-SP,1,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-06,0,752.94,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,8212,0.0,312798478472879,FBA79167,B0CPFS24ML,61,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-07,0,409.1,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,4000,0.0,312798478472879,FBA79167,B0CPFS24ML,34,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-08,0,371.41,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,5143,0.0,312798478472879,FBA79167,B0CPFS24ML,29,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-09,0,579.53,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,4433,0.0,312798478472879,FBA79167,B0CPFS24ML,51,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-10,0,668.31,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,6995,0.0,312798478472879,FBA79167,B0CPFS24ML,60,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-11,0,636.82,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,9021,0.0,312798478472879,FBA79167,B0CPFS24ML,60,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-12,0,651.6,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,5115,0.0,312798478472879,FBA79167,B0CPFS24ML,57,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-13,0,634.33,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,3685,0.0,312798478472879,FBA79167,B0CPFS24ML,53,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-14,0,475.57,SP_Category PT_B0CPFS24ML_Gaming,412742150516518,5799,0.0,312798478472879,FBA79167,B0CPFS24ML,47,Camb- Z shaped - B0CPFS24ML- CT ref-SP,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-01,1,508.69,SP_KT_Gaming_Non Performing Ph,319658247499276,4612,7202.54,342077107178497,FBA79167,B0CPFS24ML,30,Camb-Zshape-Gaming- B0CPFS24ML-Phrase/Exact,1,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-02,0,503.61,SP_KT_Gaming_Non Performing Ph,319658247499276,4508,0.0,342077107178497,FBA79167,B0CPFS24ML,32,Camb-Zshape-Gaming- B0CPFS24ML-Phrase/Exact,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
2026-07-03,0,496.17,SP_KT_Gaming_Non Performing Ph,319658247499276,6463,0.0,342077107178497,FBA79167,B0CPFS24ML,35,Camb-Zshape-Gaming- B0CPFS24ML-Phrase/Exact,0,FBA79167,WM-GD07-CB,White Mulberry,Desk,Gaming Desk,
