date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-06-01,0,23.55,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,872,0.0,547956455393054,FBA76416,B0BFW59TRG,1,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-02,0,187.88,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,881,0.0,547956455393054,FBA76416,B0BFW59TRG,8,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-03,0,227.86,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,721,0.0,547956455393054,FBA76416,B0BFW59TRG,8,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-04,0,282.67,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,648,0.0,547956455393054,FBA76416,B0BFW59TRG,9,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-05,0,163.53,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,597,0.0,547956455393054,FBA76416,B0BFW59TRG,5,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-06,0,224.67,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,973,0.0,547956455393054,FBA76416,B0BFW59TRG,8,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-07,1,251.17,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,829,7075.42,547956455393054,FBA76416,B0BFW59TRG,9,Camb-SP-L shape-CDesk-Multiple Asin- PT,1,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-08,0,232.54,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,642,0.0,547956455393054,FBA76416,B0BFW59TRG,7,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-09,0,133.62,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,654,0.0,547956455393054,FBA76416,B0BFW59TRG,6,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-10,0,138.38,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,620,0.0,547956455393054,FBA76416,B0BFW59TRG,5,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-11,0,28.98,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,125,0.0,547956455393054,FBA76416,B0BFW59TRG,1,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-12,0,110.46,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,693,0.0,547956455393054,FBA76416,B0BFW59TRG,3,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-13,0,141.6,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,773,0.0,547956455393054,FBA76416,B0BFW59TRG,6,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-14,0,28.08,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,137,0.0,547956455393054,FBA76416,B0BFW59TRG,1,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-15,0,0.0,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,119,0.0,547956455393054,FBA76416,B0BFW59TRG,0,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-16,0,0.0,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,53,0.0,547956455393054,FBA76416,B0BFW59TRG,0,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-17,0,0.0,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,1,0.0,547956455393054,FBA76416,B0BFW59TRG,0,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-18,0,55.69,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,140,0.0,547956455393054,FBA76416,B0BFW59TRG,2,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-19,0,25.03,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,143,0.0,547956455393054,FBA76416,B0BFW59TRG,1,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-20,0,0.0,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,22,0.0,547956455393054,FBA76416,B0BFW59TRG,0,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76416,WM-LOD-BK,White Mulberry,Desk,L-Shaped Desk,
2026-06-15,0,0.0,Camb-SP-Lshape-CDesk-Multiple Asin- PT,289530718938549,0,0.0,547956455393054,FBA76415,B0BFWD6SNF,0,Camb-SP-L shape-CDesk-Multiple Asin- PT,0,FBA76415,WM-LOD-CF,White Mulberry,Desk,L-Shaped Desk,
2026-06-01,0,628.76,SP KT,342881645216651,6093,0.0,519614556161900,FBA79179,B0CPT3Q25C,23,Camb-SP-Motorized Desk-B0CPT3Q25C- Exact,0,FBA79179,WM-SE08-CF,White Mulberry,Desk-Adjustable,Motorized,
2026-06-02,0,445.53,SP KT,342881645216651,3507,0.0,519614556161900,FBA79179,B0CPT3Q25C,13,Camb-SP-Motorized Desk-B0CPT3Q25C- Exact,0,FBA79179,WM-SE08-CF,White Mulberry,Desk-Adjustable,Motorized,
2026-06-19,0,0.0,SP KT,342881645216651,0,0.0,519614556161900,FBA79179,B0CPT3Q25C,0,Camb-SP-Motorized Desk-B0CPT3Q25C- Exact,0,FBA79179,WM-SE08-CF,White Mulberry,Desk-Adjustable,Motorized,
2026-06-01,0,278.77,Competitor SP PT,560137260484327,1593,0.0,290559463904827,FBA79179,B0CPT3Q25C,8,Camb-SP-stand desk- B0DQ1NV8D2- PT,0,FBA79179,WM-SE08-CF,White Mulberry,Desk-Adjustable,Motorized,
2026-06-02,0,264.82,Competitor SP PT,560137260484327,946,0.0,290559463904827,FBA79179,B0CPT3Q25C,7,Camb-SP-stand desk- B0DQ1NV8D2- PT,0,FBA79179,WM-SE08-CF,White Mulberry,Desk-Adjustable,Motorized,
