,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/11/25 - 30/11/25],Report Updated=[04/08/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79613,MS1ML,B0DP2VVRND,White Mulberry Monitor Stand for Table | Freestanding Height Adjustable Moniter Stand Black Monitor Mount for 17-32 Inch Screens |10kg Load | VESA 75x75/100x100 |,White Mulberry,IN,123150.52,74,0,0,70,8
FBA79476,WM-GS1M-BK,B0DB5VG39T,White Mulberry Monitor Arm | Economical Gas Spring Metal Desk Mount | Single Screen 15-32 Inch 9kg VESA 75x75 & 100x100 | Full Motion Monitor Arm Desk Mount | Tilt Swivel Rotate Cable Management,White Mulberry,IN,48724.6,21,0,0,21,5
FBA79612,WM1ML,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,44658.47,18,0,0,17,1
FBA79478,WM-HA1M-BK,B0DB5W4TCP,"White Mulberry Single Monitor Arm Desk Mount for 15–32 Inch Monitors, Height Adjustable Monitor Stand, 10 kg Capacity, 360° Rotation, VESA 75x75/100x100, Cable Management",White Mulberry,IN,33539.04,24,0,0,24,5
FBA79617,HDWF1ML,B0DP32F346,White Mulberry Monitor Arm | Wooden Metal Single Screen Desk Mount for 15-32 Inch Monitors | Monitor Arm Desk Mount | Gas Spring Adjustable Arms | 9Kg Capacity | VESA 75x75 & 100x100,White Mulberry,IN,8190.68,3,0,0,3,2
FBA79616,HD1ML,B0DP3194QN,White Mulberry Monitor Arm | Mechanical Spring Desk Mount for 17–45 Inch Single Screen | 16Kg Capacity | VESA 75x75 & 100x100 | Adjustable Monitor Arm Desk Mount,White Mulberry,IN,3388.98,1,0,0,1,1
FBA79479,WM-HA2M-BK,B0DB5YTQZV,White Mulberry Dual Monitor Arm | Height Adjustable Monitor Arm Desk Mount | Steel Dual Screen Mount for 17-32 Inch Monitors 10kg Load VESA 75x75 100x100 | Adjustable Ergonomic Desk Setup,White Mulberry,IN,2677.97,1,0,0,1,
FBA79615,VLMS1ML,B0DP2Z5DQ9,"White Mulberry 10-Step Height Adjustable Single Screen Monitor Stand for 17-32 Inch Monitor, 8 kg Load, VESA 75x75/100x100, DIY Installation (Black)",White Mulberry,IN,2541.53,1,0,0,1,
FBA79477,WM-GS2M-BK,B0DB5VVPSB,"White Mulberry Dual Monitor Arm for 15–32 Inch Screens, Gas Spring Monitor Stand for Desk, Height Adjustable Full Motion Dual Monitor Mount, VESA 75x75/100x100, 9kg Per Arm, C-Clamp & Grommet Base",White Mulberry,IN,0,0,,,,
