ASIN,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns
B0BMFQP2ZZ,217,989890.35,208,0.0,13
B07Y1C6GDS,251,839277.28,247,0.0,45
B09Q2ZZGH2,237,710422.67,232,0.0,24
B06XCKGLTP,273,589447.14,271,0.0,39
B084P1CXFD,52,532242.45,53,0.0,5
B09JG62KDJ,179,442945.73,182,0.0,23
B01N6448Q4,42,205508.52,41,0.0,2
B07RL6VG3H,22,196761.05,21,0.0,7
B09XKD3H6C,59,177335.46,59,0.0,11
B07FYQP9ML,8,159591.52,8,0.0,2
B0064RVAUC,7,150039.83,7,0.0,1
B00MMKQOEM,7,120833.04,7,0.0,0
B07QKWFTK1,9,117834.73,9,0.0,2
B0BFBDT2D2,7,101535.6,6,0.0,0
B0749GV5L3,3,83185.6,3,0.0,0
B07RM4B5LJ,9,80073.75,9,0.0,1
B00KQEXK2A,10,77057.63,9,0.0,2
B081S9BCHF,3,74278.81,3,0.0,0
B07G4CCMYL,11,71675.42,11,0.0,2
B09BQQTLC8,87,68812.89,86,0.0,6
B07N28NZYS,2,64150.0,2,0.0,0
B07BCQ7P7Z,3,59576.27,3,0.0,0
B09V12PT9H,23,57974.59,23,0.0,9
B088NFWLZP,34,55972.02,33,0.0,8
B07HDB12FM,5,52284.75,4,0.0,0
B07BCN55VP,2,51732.2,3,0.0,2
B0BF9PCGM8,11,50170.33,11,0.0,2
B001EM180O,2,47354.24,2,0.0,0
B08TYGP1CJ,1,45584.75,1,0.0,1
B07K89DNTZ,2,44589.84,2,0.0,0
B00BSL5Z1E,2,42303.38,2,0.0,0
B000CD3QY2,3,41217.8,3,0.0,0
B0BF9MN8R2,8,40921.18,8,0.0,1
B017LUP20O,5,39320.34,5,0.0,0
B000RVX1Q2,2,39105.93,2,0.0,0
B00J3YYSUW,1,38600.0,1,0.0,0
B009X3PM08,4,38247.46,3,0.0,1
B083JJZVW7,1,35084.75,1,0.0,0
B0030YGHDM,6,34164.42,6,0.0,0
B07N29RF9W,1,33100.0,1,0.0,0
B08D7SWGG5,4,31896.95,4,0.0,2
B0924G6DJX,14,30652.6,14,0.0,1
B00HVUSRY8,28,30310.09,28,0.0,1
B09V14JDTF,12,30200.09,12,0.0,2
B09241VBTP,13,28227.18,12,0.0,3
B07X8Z1BRG,2,27966.1,2,0.0,0
B00S5WRW6U,5,26630.51,5,0.0,1
B08M9SK8JT,5,23384.75,5,0.0,0
B0002DUS8E,41,22506.88,40,0.0,2
B0002F4WLG,1,22215.25,1,0.0,0
B00SMKOGF0,1,22155.94,1,0.0,0
B09NQBDGT3,2,21633.05,2,0.0,3
B000RW5PXI,1,21271.19,1,0.0,1
B083WMYP8H,1,20702.54,1,0.0,0
B0002OOMW6,36,20190.67,34,0.0,0
B0B4MYWWKG,1,19796.61,1,0.0,0
B001D7UYBO,2,18813.56,2,0.0,1
B06Y1XD9H7,4,18616.94,4,0.0,2
B0030YD3IY,3,17387.29,3,0.0,0
B00JDJ89DE,11,17190.67,10,0.0,1
B00SKJGZLG,1,15659.32,1,0.0,1
B00EGHMOZC,1,15169.49,1,0.0,1
B000EENF4U,32,14767.77,31,0.0,1
B07XF8Z2CQ,1,13983.05,1,0.0,0
B0002E4Y2E,1,13538.14,1,0.0,0
B07LFTTWGR,1,13328.66,1,0.0,0
B000EEJBDE,27,13006.72,27,0.0,1
B06Y1XXMYG,2,12971.18,2,0.0,0
B00S2Z9BTQ,1,12633.9,1,0.0,0
B07KYKTRKX,2,11981.36,2,0.0,0
B00097BMNI,1,11838.14,1,0.0,0
B00ZWJ39Q6,1,11299.15,1,0.0,0
B07BBG8L4G,1,11050.0,1,0.0,1
B00T8L17N6,21,10460.2,21,0.0,2
B00S2Z992A,1,10168.64,1,0.0,0
B000EEL9G6,19,9005.09,19,0.0,1
B00S2Z95RO,1,8881.36,1,0.0,0
B000UXIEPU,1,8813.56,1,0.0,0
B09KZJTW73,1,8558.47,1,0.0,0
B07SD439CV,1,8529.66,1,0.0,0
B08874YDB4,1,8473.73,1,0.0,2
B00JDJNZ6K,19,7916.07,19,0.0,1
B07VXNW64L,1,7633.9,1,0.0,0
B0030YAZLC,1,6987.29,1,0.0,0
B000WA8KYG,2,5947.0,2,0.0,0
B089VXMQ48,1,5931.36,1,0.0,1
B015R0IQGW,1,5931.36,1,0.0,0
B07MZS13BF,1,5921.19,1,0.0,0
B00HF9X2SQ,2,5793.23,2,0.0,1
B00JDJBDC8,3,4901.7,3,0.0,0
B003B0A740,3,4318.64,3,0.0,0
B06XF43R53,9,4233.05,9,0.0,0
B00JDIE0AG,3,3835.08,3,0.0,0
B003B01QSG,7,3782.2,7,0.0,0
B003B063G6,6,3671.19,6,0.0,0
B00075EKDG,1,3373.51,1,0.0,0
B06XF31654,6,3133.05,6,0.0,0
B003B03XB4,5,2794.05,4,0.0,0
B00IO1NHPM,2,2790.68,2,0.0,1
B002IJK0H4,5,2771.2,1,0.0,0
B00LM7ZYJC,5,2762.7,4,0.0,0
B018BPG6U8,1,2742.37,1,0.0,1
B0002J6I7S,1,2283.9,1,0.0,1
B003AP94WC,2,2050.84,1,0.0,0
B00186L65S,1,2033.9,1,0.0,1
B003B01KV4,2,1727.12,2,0.0,0
B003AMV7SO,3,1695.76,3,0.0,0
B06XDZTH2X,4,1641.52,4,0.0,0
B0002KZDGY,1,1439.83,1,0.0,0
B0002E2OSU,1,1383.05,1,0.0,0
B000WIT8BM,2,1363.56,4,0.0,1
B000R9YLTK,1,1346.92,1,0.0,0
B0002DUS16,2,1165.68,2,0.0,0
B000UJHE2S,2,1159.32,2,0.0,0
B0002E3L00,1,1152.54,1,0.0,0
B00B5LEAFE,2,1116.94,2,0.0,0
B083F7HJMX,2,1109.32,2,0.0,0
B06XF3VK6Y,2,1054.24,2,0.0,1
B09WD1WDL1,1,888.98,1,0.0,0
B003B0A6ZK,1,761.86,1,0.0,0
B0002E1I4Q,1,643.22,1,0.0,0
B0002GJ940,1,610.17,1,0.0,0
B06XF4DM7Z,1,527.12,1,0.0,0
B06XF3735J,1,506.78,1,0.0,0
B003B0CEVY,1,503.39,1,0.0,0
B002IJK0HY,1,388.14,1,0.0,0
B0002DUS8Y,0,0.0,0,0.0,0
B0091401EQ,0,0.0,0,0.0,0
B00OB47PF4,0,0.0,0,0.0,0
B008TNAGQS,0,0.0,0,0.0,1
B004TQJ174,0,0.0,1,0.0,0
B003B01QR2,0,0.0,0,0.0,0
B00LM7ZV1I,0,0.0,0,0.0,0
B0116X17JW,0,0.0,0,0.0,0
B06XC9MBVP,0,0.0,0,0.0,0
B07BCN6FFH,0,0.0,0,0.0,0
B07CX617K6,0,0.0,0,0.0,0
B08TYWJHR7,0,0.0,0,0.0,1
B07F39CHRZ,0,0.0,0,0.0,0
B07XC3BHTL,0,0.0,0,0.0,0
B07JDHM2TV,-1,-372.03,0,0.0,0
