ASIN,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns
B0BMFQP2ZZ,235,1041924.63,236,0.0,24
B06XCKGLTP,441,917112.32,445,0.0,71
B07Y1C6GDS,249,811831.07,248,0.0,48
B09Q2ZZGH2,251,742501.96,253,0.0,34
B09JG62KDJ,161,386993.82,161,0.0,31
B084P1CXFD,22,224253.45,21,0.0,4
B00MMKQOEM,12,203722.86,12,0.0,1
B09XKD3H6C,54,161184.73,56,0.0,10
B07RL6VG3H,16,161161.91,17,0.0,6
B01N6448Q4,33,158618.64,34,0.0,4
B001EM180O,7,153622.02,7,0.0,0
B09V12PT9H,60,142898.44,60,0.0,13
B081S9BCHF,5,124516.93,4,0.0,0
B07RM4B5LJ,12,111844.93,11,0.0,2
B00KQEXK2A,14,107950.05,15,0.0,5
B0BFBDT2D2,7,100011.88,8,0.0,1
B0064RVAUC,5,97288.13,5,0.0,3
B09BQQTLC8,113,85738.04,111,0.0,9
B09NQBDGT3,7,74050.84,6,0.0,0
B07QKWFTK1,5,67360.19,5,0.0,2
B074SYXZV9,2,66710.16,2,0.0,2
B083JJZVW7,2,65915.26,2,0.0,0
B008388XNW,3,59066.95,3,0.0,0
B0BF9MN8R2,11,57262.71,10,0.0,2
B0749GV5L3,2,55683.69,2,0.0,0
B0B4MYWWKG,3,52522.89,3,0.0,0
B07HDB12FM,5,51513.55,6,0.0,1
B09V14JDTF,21,50172.07,21,0.0,11
B00S5WRW6U,9,45925.41,9,0.0,3
B08TYWJHR7,1,45584.75,1,0.0,0
B017LUP20O,6,44745.77,6,0.0,0
B0924G6DJX,22,44016.96,22,0.0,3
B07K89DNTZ,2,43175.43,2,0.0,1
B07NBFJRWG,1,42372.04,1,0.0,0
B00BSL5Z1E,2,42290.67,1,0.0,0
B00HVUSRY8,39,41809.26,39,0.0,3
B002LLLHDK,2,39648.3,2,0.0,0
B00J3YYSUW,1,38202.54,1,0.0,0
B07LFTTWGR,3,37927.5,3,0.0,0
B001D7UYBO,4,36271.19,4,0.0,1
B000AL47OO,1,35661.02,1,0.0,0
B07N29RF9W,1,33083.9,1,0.0,1
B07G4CCMYL,5,32327.95,5,0.0,5
B000EEJDJQ,2,31182.2,2,0.0,0
B00SKJGZLG,2,30536.45,2,0.0,1
B00YAZHRZM,2,30401.69,2,0.0,0
B0002F7B8W,1,30278.81,1,0.0,0
B009X3PM08,3,29271.2,3,0.0,1
B0015Y8U5W,1,28728.81,1,0.0,0
B07BCN55VP,1,26990.68,1,0.0,0
B0002OOMW6,49,26457.64,50,0.0,3
B09241VBTP,12,25618.69,13,0.0,2
B09T3JVYQS,2,23967.8,2,0.0,0
B00097BMNI,2,22492.37,2,0.0,1
B00BL70Y7U,1,22025.42,1,0.0,0
B00S2Z992A,2,21667.8,2,0.0,0
B07YX6MM9N,1,20773.73,0,0.0,0
B07FYQP9ML,1,20556.78,1,0.0,1
B0779JXC7S,1,20516.1,1,0.0,0
B0002F4WLG,1,20135.59,1,0.0,0
B07F39CHRZ,1,18233.9,1,0.0,1
B0091401EQ,1,18185.59,1,0.0,1
B083WMYP8H,1,18050.85,1,0.0,0
B00IJDXYGC,1,17770.34,1,0.0,0
B015R0IQGW,3,17378.88,3,0.0,1
B00GJW0JGI,1,17148.31,1,0.0,0
B00LJV8Y0W,1,16290.68,1,0.0,0
B0002DUS8E,30,15922.9,31,0.0,1
B0030YAZLC,3,15709.32,3,0.0,1
B07GRBHMZ5,1,15253.39,1,0.0,0
B0BF9PCGM8,3,14082.21,3,0.0,0
B000CD3QY2,1,13863.56,1,0.0,0
B00T8L17N6,26,13233.91,26,0.0,4
B07KYKTRKX,2,12750.0,2,0.0,0
B08PJRGZ98,1,12528.81,1,0.0,0
B06Y1XXMYG,2,12180.51,0,0.0,0
B07MZS13BF,2,11842.38,2,0.0,1
B0030YD3IY,2,11823.73,2,0.0,1
B000EEJBDE,25,11761.06,25,0.0,0
B07RM21D8X,1,11634.75,1,0.0,0
B00ZWJ39Q6,1,11016.1,1,0.0,0
B0002J6I7S,5,10970.35,5,0.0,0
B000EENF4U,22,10858.5,23,0.0,1
B00JDJ89DE,7,10538.98,8,0.0,0
B08M9SK8JT,2,10115.24,2,0.0,0
B088NFWLZP,6,10108.5,7,0.0,5
B07D3N1VVH,2,9738.98,2,0.0,1
B000EEL9G6,20,9407.64,20,0.0,2
B00JDJNZ6K,22,8968.68,22,0.0,0
B00J3Z4Y8C,1,8880.51,1,0.0,0
B08874YDB4,1,8473.73,1,0.0,1
B00LM7ZYJC,15,8288.1,16,0.0,0
B00B5I9GYW,1,8135.59,1,0.0,1
B00X5TXLY0,1,7899.15,1,0.0,1
B00075EKDG,2,7593.26,2,0.0,0
B011UDPXK2,1,7300.0,1,0.0,0
B003B01KV4,7,6229.68,7,0.0,0
B00HF9X2SQ,2,5793.22,2,0.0,0
B0030YGHDM,1,5523.73,1,0.0,0
B018BPG6U8,2,5508.48,2,0.0,0
B00JDIE0AG,4,5273.27,4,0.0,0
B06Y25Y2LK,1,5033.8,1,0.0,1
B000P5LVSK,6,4905.1,6,0.0,0
B00JDJBDC8,3,4802.54,3,0.0,1
B07D3MPLFT,1,4100.85,1,0.0,0
B083F7HJMX,7,3900.85,7,0.0,1
