asin,week,brand,sku,model,(parent) asin,title,sessions,sessions - total - b2b,session percentage - total,session percentage - total - b2b,page views - total,page views - total - b2b,page views percentage - total,page views percentage - total - b2b,buy_box_pct,featured offer percentage - b2b,units_ordered,units ordered - b2b,conversion_pct,unit session percentage - b2b,ordered_product_sales,ordered product sales - b2b,total order items,total order items - b2b,gmv,ad_channel,spend,clicks,impressions,attributed_sales,ams_orders,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct,category_l0,category_l1,category_l2,Model,units
B001J1772I,23,Fossil,0.0,0.0,B001J1772I,Diesel Mega Chief Analog Grey Over sized dial Men's Watch - DZ1206,307.0,5.0,0.0014,0.0013,404.0,8.0,0.0013,0.0014,0.9478,1.0,1.0,0.0,0.0033,0.0,11859.32203389831,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,1.0
B002LZUAFM,23,Fossil,0.0,0.0,B002LZUAFM,Emporio Armani Mens Chronograph Stainless Steel Watch (Black_Free Size),628.0,10.0,0.0028,0.0025,892.0,22.0,0.0029,0.0039,0.7122,0.75,1.0,0.0,0.0016,0.0,22877.1186440678,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,1.0
B004D4S7AY,23,Fossil,0.0,0.0,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,5268.0,61.0,0.0236,0.0154,6922.0,76.0,0.0226,0.0136,0.9892,0.9677,10.0,0.0,0.0019,0.0,114355.9322033898,0.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,10.0
B0058XWUHA,23,Fossil,0.0,0.0,B0058XWUHA,Michael Kors Parker Analog White Dial Gold Band Women's Stainless Steel Watch-MK5491,655.0,9.0,0.0029,0.0023,890.0,12.0,0.0029,0.0021,0.9975,1.0,2.0,0.0,0.0031,0.0,38973.72881355933,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,2.0
B00786VY22,23,Fossil,0.0,0.0,B00786VY22,Armani Exchange Mens Hampton Leather Analogue Watch - AX2101 (Black_Free Size),36.0,0.0,0.0002,0.0,47.0,0.0,0.0002,0.0,0.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0
B007NM84PQ,23,Fossil,0.0,0.0,B007NM84PQ,Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020,988.0,9.0,0.0044,0.0023,1386.0,10.0,0.0045,0.0018,0.9819,0.0,5.0,0.0,0.0051,0.0,50817.79661016949,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,5.0
B008AXYWHQ,23,Fossil,0.0,0.0,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,11840.0,200.0,0.053,0.0504,17243.0,278.0,0.0563,0.0498,0.9985,1.0,106.0,5.0,0.009,0.025,875667.7966101696,47985.0,106.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,106.0
B00944CXEY,23,Fossil,0.0,0.0,B00944CXEY,Michael Kors Darci Analog Silver Dial Women's Watch - MK3190,417.0,9.0,0.0019,0.0023,573.0,11.0,0.0019,0.002,0.9355,1.0,1.0,0.0,0.0024,0.0,10421.18644067797,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,1.0
B00AFTT8KE,23,Fossil,0.0,0.0,B00AFTT8KE,"Fossil Analog Silver Dial Women's Watch - ES3284 Stainless Steel, Gold Strap",330.0,4.0,0.0015,0.001,428.0,4.0,0.0014,0.0007,0.995,1.0,1.0,0.0,0.003,0.0,11011.86440677966,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,Traditional Watch,,,0.0,1.0
B00AFTTQ8I,23,Fossil,0.0,0.0,B00AFTTQ8I,Fossil Chronograph men Grant Brown Quartz Leather Watch FS4813IE,1725.0,28.0,0.0077,0.0071,2402.0,39.0,0.0078,0.007,0.9688,1.0,5.0,0.0,0.0029,0.0,38545.76271186441,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,5.0
