asin,week,brand,Model,ad_type,ad_channel,Spend,Clicks,Impressions,attributed_sales,ams_orders
B01ISNU3X4,4,Tonor,K1,SP_SD,ASIN,5633.68,588.0,96472.0,26283.82,20.0
B01ISNU3X4,5,Tonor,K1,SP_SD,ASIN,4609.45,484.0,81277.0,27509.34,20.0
B01ISNU3X4,6,Tonor,K1,SP_SD,ASIN,5828.55,568.0,90652.0,35372.94,24.0
B01ISNU3X4,7,Audio Array,K1,SP_SD,ASIN,0.0,0.0,0.0,0.0,0.0
B01ISNU3X4,7,Tonor,K1,SP_SD,ASIN,5148.05,423.0,64002.0,21386.489999999998,14.0
B01ISNU3X4,8,Tonor,K1,SP_SD,ASIN,4361.63,352.0,55722.0,16982.22,11.0
B01ISNU3X4,9,Tonor,K1,SP_SD,ASIN,3311.4,269.0,42346.0,13933.07,9.0
B01ISNU3X4,10,Tonor,K1,SP_SD,ASIN,2074.61,148.0,26570.0,3091.52,2.0
B01ISNU3X4,11,Tonor,K1,SP_SD,ASIN,418.89,39.0,7422.0,0.0,0.0
B01ISNU3X4,12,Tonor,K1,SP_SD,ASIN,215.15,15.0,3428.0,0.0,0.0
B01ISNU3X4,13,Tonor,K1,SP_SD,ASIN,265.89,22.0,4325.0,1566.95,1.0
B01ISNU3X4,14,Tonor,K1,SP_SD,ASIN,342.32,43.0,6316.0,0.0,0.0
B01ISNU3X4,15,Tonor,K1,SP_SD,ASIN,374.55,53.0,4385.0,8046.6,5.0
B01ISNU3X4,16,Tonor,K1,SP_SD,ASIN,72.02000000000001,9.0,3592.0,0.0,0.0
B01ISNU3X4,17,Tonor,K1,SP_SD,ASIN,49.05,3.0,1156.0,0.0,0.0
B01ISNU3X4,18,Tonor,K1,SP_SD,ASIN,12.41,2.0,253.0,0.0,0.0
B01ISNU3X4,19,Tonor,K1,SP_SD,ASIN,273.73,14.0,1762.0,1507.63,1.0
B01ISNU3X4,20,Tonor,K1,SP_SD,ASIN,850.73,62.0,8670.0,0.0,0.0
B01ISNU3X4,21,Tonor,K1,SP_SD,ASIN,12.12,5.0,1000.0,0.0,0.0
B078WNW4YW,4,Tonor,S20,SP_SD,ASIN,1227.68,81.0,6798.0,2083.9,1.0
B078WNW4YW,5,Tonor,S20,SP_SD,ASIN,1191.05,81.0,6661.0,4405.08,2.0
B078WNW4YW,6,Tonor,S20,SP_SD,ASIN,1108.3,68.0,6632.0,6607.62,3.0
B078WNW4YW,7,Audio Array,S20,SP_SD,ASIN,0.0,0.0,0.0,0.0,0.0
B078WNW4YW,7,Tonor,S20,SP_SD,ASIN,882.73,68.0,3597.0,4405.08,2.0
B078WNW4YW,8,Tonor,S20,SP_SD,ASIN,986.96,54.0,3587.0,4405.08,2.0
B078WNW4YW,9,Tonor,S20,SP_SD,ASIN,632.77,43.0,4154.0,0.0,0.0
B078WNW4YW,10,Tonor,S20,SP_SD,ASIN,439.84,39.0,2814.0,0.0,0.0
B078WNW4YW,11,Tonor,S20,SP_SD,ASIN,378.32,37.0,2178.0,0.0,0.0
B078WNW4YW,12,Tonor,S20,SP_SD,ASIN,313.81,48.0,2551.0,2202.54,1.0
B078WNW4YW,13,Tonor,S20,SP_SD,ASIN,286.8,36.0,3119.0,0.0,0.0
B078WNW4YW,14,Tonor,S20,SP_SD,ASIN,250.49,35.0,2760.0,2202.54,1.0
B078WNW4YW,15,Tonor,S20,SP_SD,ASIN,134.79,19.0,2627.0,0.0,0.0
B078WNW4YW,16,Tonor,S20,SP_SD,ASIN,539.38,48.0,3468.0,6607.62,3.0
B078WNW4YW,17,Tonor,S20,SP_SD,ASIN,490.38,42.0,3407.0,2202.54,1.0
B078WNW4YW,18,Tonor,S20,SP_SD,ASIN,803.15,65.0,5990.0,0.0,0.0
B078WNW4YW,19,Tonor,S20,SP_SD,ASIN,981.45,78.0,4872.0,6525.42,3.0
B078WNW4YW,20,Tonor,S20,SP_SD,ASIN,2237.07,141.0,10465.0,8301.68,4.0
B078WNW4YW,21,Tonor,S20,SP_SD,ASIN,1799.3400000000001,114.0,7735.0,2202.54,1.0
B07GVGMW59,4,Tonor,G11,SP_SD,ASIN,744.5600000000001,74.0,12162.0,4616.110000000001,2.0
B07GVGMW59,5,Tonor,G11,SP_SD,ASIN,1287.25,92.0,18456.0,9022.04,4.0
B07GVGMW59,6,Tonor,G11,SP_SD,ASIN,2335.79,145.0,29474.0,6861.86,3.0
B07GVGMW59,7,Audio Array,G11,SP_SD,ASIN,0.0,0.0,0.0,0.0,0.0
B07GVGMW59,7,Tonor,G11,SP_SD,ASIN,2970.28,150.0,35078.0,9149.16,5.0
B07GVGMW59,8,Tonor,G11,SP_SD,ASIN,1035.9099999999999,55.0,14418.0,2541.53,1.0
B07GVGMW59,9,Tonor,G11,SP_SD,ASIN,49.67,3.0,426.0,0.0,0.0
B07GVGMW59,10,Tonor,G11,SP_SD,ASIN,46.11,1.0,780.0,0.0,0.0
