brand,asin,week,Spend,Clicks,Impressions,attributed_sales,ams_orders,gmv,sessions,units,buy_box_pct,conversion_pct,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct,category_l0,category_l1,category_l2,SKU,Model,(Parent) ASIN,Title,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,ad_channel,Spend_ads,Clicks_ads,Impressions_ads,attributed_sales_ads,ams_orders_ads,brand_ads,ad_type,campaign_name
Nexlev,B0FT8R24QM,4,4763.0,435.0,35184.0,15514.4,50.0,33396.0,1426.0,,0.8463,,0.3070051049347703,3.257274826789838,0.14262187088274045,95.26,0.4645586297760211,0.5354413702239789,,,,FBA79819,LR-03,B0FT8R24QM,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets |Fabric Brush | Pill, Rue & Burr Remover | Battery Powered| Stainless Steel Blade |Safety Lock | LR-03",35.0,0.0095,0.0159,2174.0,48.0,0.0113,0.0164,0.7083,114.0,1.0,0.0286,33396.0,334.0,114.0,1.0,SP_SD,4763.0,435.0,35184.0,15514.4,50.0,Nexlev,SP_SD,
Nexlev,B0DQCWRG3H,4,41759.97,2936.0,424524.0,89155.99,56.0,191909.0,4564.0,,0.9484,,0.46839219664320925,2.134962980097926,0.21760297849501586,745.71375,0.46457430344590406,0.535425696554096,,,,FBA79493,V-03,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,13.0,0.0304,0.0059,6916.0,19.0,0.0358,0.0065,0.9286,103.0,1.0,0.0769,191909.0,1889.0,102.0,1.0,SP_SD,41759.97,2936.0,424524.0,89155.99,56.0,Nexlev,SP_SD,
Nexlev,B0CYSLCRQS,4,15697.14,1036.0,107697.0,39066.96,18.0,154564.0,68502.0,,0.8838,,0.4018009079795305,2.488794774079864,0.1015575425066639,872.0633333333333,0.2527558810589788,0.7472441189410213,,,,FBA79263,MR-01,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01",910.0,0.4562,0.4123,84358.0,1139.0,0.437,0.3882,0.8913,65.0,1.0,0.0011,154564.0,2754.0,65.0,1.0,SP_SD,15697.14,1036.0,107697.0,39066.96,18.0,Nexlev,SP_SD,
Nexlev,B0CDPP45BM,4,19872.68,1317.0,181227.0,65109.34,25.0,168369.0,11732.0,,0.677,,0.30522011127742965,3.2763240790874706,0.11803051630644597,794.9072,0.38670622264193527,0.6132937773580647,,,,FBA78981,SC-01,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01",275.0,0.0781,0.1246,15079.0,375.0,0.0781,0.1278,0.7614,54.0,0.0,0.0,168369.0,0.0,54.0,0.0,SP_SD,19872.68,1317.0,181227.0,65109.34,25.0,Nexlev,SP_SD,
Nexlev,B0DCGHVN81,4,18213.32,1399.0,177959.0,43723.68,26.0,105147.0,5666.0,,0.9214,,0.41655505666494674,2.4006430458587453,0.1732176857161878,700.5123076923077,0.41583383263431195,0.584166167365688,,,,FBA79452,VC-01,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,51.0,0.0377,0.0231,7961.0,79.0,0.0412,0.0269,0.8511,55.0,0.0,0.0,105147.0,0.0,54.0,0.0,SP_SD,18213.32,1399.0,177959.0,43723.68,26.0,Nexlev,SP_SD,
Nexlev,B0DNJS23HS,4,20165.93,1092.0,173728.0,89575.41,21.0,245357.0,6614.0,,0.849,,0.22512796759735734,4.441918126265439,0.08219015556923177,960.282380952381,0.3650819418235469,0.6349180581764531,,,,FBA79567,SC-04,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,127.0,0.0441,0.0575,8744.0,185.0,0.0453,0.0631,0.913,47.0,1.0,0.0079,245357.0,5699.0,47.0,1.0,SP_SD,20165.93,1092.0,173728.0,89575.41,21.0,Nexlev,SP_SD,
Nexlev,B0D2P5TGWK,4,596.9,89.0,6044.0,945.76,4.0,10975.0,1031.0,,0.8582,,0.631132634072069,1.5844530072038867,0.0543872437357631,149.225,0.08617403189066059,0.9138259681093395,,,,FBA79373,ET-01-BK_N,B0D2P5TGWK,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",21.0,0.0069,0.0095,1428.0,36.0,0.0074,0.0123,0.75,39.0,1.0,0.0476,10975.0,299.0,39.0,1.0,SP_SD,596.9,89.0,6044.0,945.76,4.0,Nexlev,SP_SD,
Nexlev,B0F43P6D23,4,7306.93,528.0,64389.0,26761.88,11.0,99399.0,7019.0,,0.7486,,0.2730350035199321,3.6625340601319567,0.07351110172134528,664.2663636363636,0.26923691385225207,0.7307630861477479,,,,FBA79652,SC-05,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,139.0,0.0467,0.063,8872.0,181.0,0.046,0.0617,0.7333,39.0,0.0,0.0,99399.0,0.0,39.0,0.0,SP_SD,7306.93,528.0,64389.0,26761.88,11.0,Nexlev,SP_SD,
Nexlev,B0DCK3N2JJ,4,12696.31,779.0,166455.0,38274.61,22.0,70169.0,2275.0,,0.8964,,0.3317162474026515,3.0146247216710997,0.1809390186549616,577.105,0.5454632387521555,0.4545367612478445,,,,FBA79406,HSB-04,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04",23.0,0.0152,0.0104,3191.0,30.0,0.0165,0.0102,0.2727,36.0,0.0,0.0,70169.0,0.0,36.0,0.0,SP_SD,12696.31,779.0,166455.0,38274.61,22.0,Nexlev,SP_SD,
Nexlev,B0D9KDQCCM,4,0.0,0.0,0.0,0.0,0.0,32789.0,1637.0,,0.8084,,,,0.0,,0.0,1.0,,,,FBA79349,SW-01,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,21.0,0.0109,0.0095,2438.0,38.0,0.0126,0.013,0.5833,35.0,1.0,0.0476,32789.0,927.0,35.0,1.0,,,,,,,,,
