asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,4833.0,4799.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,2698.0,2698.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,9052.0,8999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,3510.0,3490.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0CKHVHVQ1,FBA79005,Audio Array,AM-W45,5399.0,5399.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0FG88HVQ8,FBA79813,Audio Array,AH-50,1999.0,1999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0FPR962YS,FBA79816,Audio Array,AM-W22,3299.0,3299.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T07:52:36.708085+00:00
B0GKPXQ8G3,FBA80016,Audio Array,AM-W22,3399.0,3399.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0DFMNGFTD,FBA79449,Audio Array,AM-W36,6299.0,6299.0,,Other 3P (A3UU1YIVA5VF6D),A3UU1YIVA5VF6D,3.0,,2026-08-03T07:52:36.708085+00:00
B0CM6NTWBP,FBA79103,Audio Array,AI-10,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CM9HYVDM,FBA79109,Audio Array,AM-W18,1199.0,1189.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4G19R58,FBA75674,Audio Array,AM-C2,3827.0,3799.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0CH4RNWJX,FBA79011,Audio Array,AM-C43,2516.0,2499.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0CF5TCQKL,FBA78975,Audio Array,AA-21,3799.0,3799.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0DFMMTWLY,FBA79446,Audio Array,AM-W33,1999.0,1999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T07:52:36.708085+00:00
B0CM6NVLT9,FBA79104,Audio Array,AI-11,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BPLWW72Y,FBA76862,Audio Array,AM-C28,1679.0,1679.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0GCP1J2HC,FBA79972,Audio Array,M8,8553.0,8499.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0GN8RQJRG,FBA79979,Audio Array,AK-37-B,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0GN8MMKY1,FBA79980,Audio Array,AK-37-W,3499.0,3499.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0GN8MFDGZ,FBA79981,Audio Array,AK-61 Neo,5034.0,4999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0GN8MPYPG,FBA79982,Audio Array,AK-61 Pro,5499.0,5499.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0GN321RXQ,FBA79983,Audio Array,AM-W48 / AM-S6,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FTVQQVDC,FBA79904,Audio Array,PB-10 (AM-C2+AI-04+AH-60-BL),9999.0,9999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0CF5R3V95,FBA78973,Audio Array,AA-19,3849.0,3849.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FQBX8J17,FBA79838,Audio Array,AH-40 SL,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CM9KJZWQ,FBA79106,Audio Array,AM-C44,4699.0,4699.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,4.0,,2026-08-03T07:52:36.708085+00:00
B0BPM2T7BQ,FBA76863,Audio Array,AI-03,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0B4K87PR4,FBA75690,Audio Array,AM-C10,3999.0,3999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0B4KC7VBM,FBA75677,Audio Array,AM-C5,2417.0,2399.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0B4G1HPL5,FBA75692,Audio Array,AM-C11,4599.0,4599.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T07:52:36.708085+00:00
B0FQBXS6Y2,FBA79839,Audio Array,AH-45 BK,1499.0,1499.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0DT6T6N6B,FBA79694,Audio Array,AA-26,599.0,599.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0CBCB9S14,FBA78961,Audio Array,AM-C40,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0DFMLS8JG,FBA79445,Audio Array,AM-W32,3999.0,3999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T07:52:36.708085+00:00
B0D3M86SH1,FBA79355,Audio Array,AA-19BL,4999.0,4999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0BLJVJ2GN,FBA76414,Audio Array,AA-05,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0B4G5ZLTB,FBA75687,Audio Array,AM-W11,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0DFMLXD9S,FBA79447,Audio Array,AM-W34,3999.0,3999.0,,Other 3P (A3UU1YIVA5VF6D),A3UU1YIVA5VF6D,3.0,,2026-08-03T07:52:36.708085+00:00
B0DN6MNS1X,FBA79654,Audio Array,AM-C11 Pro,4916.23,4916.23,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FF9R3GKK,FBA79783,Audio Array,AM-C47,2870.0,2849.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0CBC7QMNV,FBA78925,Audio Array,AM-C11X,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FFB6YJM1,FBA79708,Audio Array,SB-01,1209.0,1199.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4FZS38V,FBA75681,Audio Array,AM-C7,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CM6WH4ZT,FBA79105,Audio Array,AI-12,1411.0,1399.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0D3Q2T5XX,FBA79356,Audio Array,AA-19WL,4999.0,4999.0,,Other 3P (A3UU1YIVA5VF6D),A3UU1YIVA5VF6D,3.0,,2026-08-03T07:52:36.708085+00:00
B0CH4VCD6R,FBA77171,Audio Array,AC-6XL,554.0,549.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4G7VWXD,FBA75684,Audio Array,AA-04,1699.0,1699.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0CF5SHL15,FBA78976,Audio Array,AA-22,3726.0,3699.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4G59Y8W,FBA75689,Audio Array,AM-W13,2016.0,1999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FJ2JJZL3,FBA79821,Audio Array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",20999.0,20999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4JRQP22,FBA75679,Audio Array,AA-02,2499.0,2499.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0DN6PFWNK,FBA79655,Audio Array,AM-C44 Pro,5235.0,5199.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0DFMKY4TT,FBA79448,Audio Array,AM-W35,3599.0,3589.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T07:52:36.708085+00:00
B0FPR7VFCH,FBA79815,Audio Array,AM-W19,2483.0,2483.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T07:52:36.708085+00:00
B0B4G8ZB64,FBA75675,Audio Array,AM-C3,999.0,999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
