asin,sku,brand,model,seller_rank,seller_id,seller_name,is_buybox_winner,price,landed_price,shipping,is_fba,is_prime,feedback_rating,fetched_at
B0CDQ55W2M,FBA78995,Nexlev,NP-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,741.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0CDQ5NBH8,FBA78998,Nexlev,NP-05,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1199.0,,0.0,False,False,88.0,2026-08-03T10:44:11.848967+00:00
B0CQX9ZZMH,FBA79229,Nexlev,GS-04,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,2287.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0CYSLCRQS,FBA79263,Nexlev,MR-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2999.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0CYSLCRQS,FBA79263,Nexlev,MR-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,3199.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D2LHNS9B,FBA79265,Nexlev,CR-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,794.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D2LHNS9B,FBA79265,Nexlev,CR-01,2,A2GTG1HPYW8M2P,Other 3P (A2GTG1HPYW8M2P),False,799.0,,0.0,True,True,72.0,2026-08-03T10:44:11.848967+00:00
B0D2LD6BYJ,FBA79267,Nexlev,T-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,999.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D2LD6BYJ,FBA79267,Nexlev,T-02,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1039.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D383WQPB,FBA79268,Nexlev,GS-05,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,1949.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D383WQPB,FBA79268,Nexlev,GS-05,2,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),False,2066.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D83Q7L8W,FBA79271,Nexlev,V-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1367.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D83Q7L8W,FBA79271,Nexlev,V-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1455.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D2LKB4BJ,FBA79273,Nexlev,HS-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,794.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D2LJSQXZ,FBA79276,Nexlev,SM-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,3799.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D2LJSQXZ,FBA79276,Nexlev,SM-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,3951.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D86ZC9YT,FBA79278,Nexlev,HD-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1473.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D8445KJN,FBA79279,Nexlev,LR-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1059.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D8445KJN,FBA79279,Nexlev,LR-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,899.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D63FKYZ5,FBA79332,Nexlev,HM-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1059.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
