asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B01ISNU3X4,FBA77113,Tonor,K1,1899.0,1899.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T08:04:48.948986+00:00
B07GVGMW59,FBK77102,Tonor,G11,2699.0,2699.0,6285.48,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,3.0,,2026-08-03T08:04:48.948986+00:00
B0BTCXQQ6M,FBA79113,Tonor,TC310,2499.0,2499.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B07WLWN2ZT,FBA77101,Tonor,TC-777,1999.0,1999.0,5831.0,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B08CVP2HXP,FBA77111,Tonor,TC30,2684.0,2684.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T08:04:48.948986+00:00
B0BRKDLXCD,FBA79112,Tonor,T90,,,,,,,,2026-08-03T08:04:48.948986+00:00
B0CQX3VB1R,FBA79696,Tonor,TD310+,2199.0,2199.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0C8JDHLX9,FBA79115,Tonor,T10,,,,,,,,2026-08-03T08:04:48.948986+00:00
B0CQX4K9P5,FBA79697,Tonor,TD310,1999.0,1999.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0CCV74CL7,FBA79114,Tonor,TC310+,2899.0,2899.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0BYHHSLPC,FBA79116,Tonor,TC-777 PRO,2099.0,2099.0,2848.5,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T08:04:48.948986+00:00
B08NDB5NWP,FBA77110,Tonor,TM20,3059.0,2999.0,6719.0,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T08:04:48.948986+00:00
B0B4WTHLX5,FBA79574,Tonor,TC30S,2499.0,2499.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B082W4B7SX,FBA77106,Tonor,T20,2852.0,2852.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T08:04:48.948986+00:00
B078WNW4YW,FBA77117,Tonor,S20,2599.0,2599.0,2599.0,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T08:04:48.948986+00:00
B0BRKFP94K,FBA79111,Tonor,TD510,,,,,,,HTTP 429,2026-08-03T08:04:48.948986+00:00
B0CFKZ72N7,FBA79578,Tonor,D5,,,,,,,HTTP 429,2026-08-03T08:04:48.948986+00:00
B089FVQD3Z,FBA77105,Tonor,T30,,,,,,,HTTP 429,2026-08-03T08:04:48.948986+00:00
B07JMYG6LF,FBA77100,Tonor,Q9,,,,,,,HTTP 429,2026-08-03T08:04:48.948986+00:00
B089SJGQBH,FBA77104,Tonor,TC20,4899.0,4899.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T08:04:48.948986+00:00
B07TSN2H9D,FBA77114,Tonor,TC-2030,,,12208.0,,,1.0,,2026-08-03T08:04:48.948986+00:00
B08V1JS3NY,FBA77115,Tonor,TC40,3299.0,3299.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T08:04:48.948986+00:00
