asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0CPFS24ML,FBA79167,White Mulberry,WM-GD07-CB,8399.0,8399.0,,Other 3P (A1ZU4WONN0SD3K),A1ZU4WONN0SD3K,1.0,,2026-08-03T08:20:09.616079+00:00
B0BFWD6SNF,FBA76415,White Mulberry,WM-LOD-CF,8297.0,8297.0,,Other 3P (A1ZU4WONN0SD3K),A1ZU4WONN0SD3K,1.0,,2026-08-03T08:20:09.616079+00:00
B0BFW59TRG,FBA76416,White Mulberry,WM-LOD-BK,,8297.0,,,,1.0,,2026-08-03T08:20:09.616079+00:00
B0BFVMDJ2K,FBA76417,White Mulberry,WM-LOD-WH,8299.0,8299.0,,Other 3P (A1ZU4WONN0SD3K),A1ZU4WONN0SD3K,1.0,,2026-08-03T08:20:09.616079+00:00
B0BFVNS8HS,FBA76418,White Mulberry,WM-LOD-IN,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DQPFL835,FBA79663,White Mulberry,WM-LODJ-CF,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DQPKMRN1,FBA79664,White Mulberry,WM-LODJ-BK,,,,,,,HTTP 400,2026-08-03T08:20:09.616079+00:00
B0DQPGZWPF,FBA79665,White Mulberry,WM-LODJ-WH,,,,,,,HTTP 400,2026-08-03T08:20:09.616079+00:00
B0DQPG9FSN,FBA79666,White Mulberry,WM-LODJ-IN,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DQPK7MFH,FBA79667,White Mulberry,WM-LODN-WH,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DQPLCZ3G,FBA79668,White Mulberry,WM-LODN-BK,,,,,,,HTTP 400,2026-08-03T08:20:09.616079+00:00
B0DQPLMQQ7,FBA79669,White Mulberry,WM-LWS-CF,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DQPGLK2T,FBA79670,White Mulberry,WM-LWS-GR,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4T7SWK,FBA76382,White Mulberry,WM-MH05P-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CPT2YJX2,FBA79175,White Mulberry,WM-SMD09-WH,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4S7V8C,FBK76387,White Mulberry,WM-MH05P-WH,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0BMV1WPHL,FBK76764,White Mulberry,WM-MH05P-CF,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CPT25SD8,FBA79176,White Mulberry,WM-MD09-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4TKQKN,FBA76383,White Mulberry,WM-SEH04P-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0BF4VRJJ1,FBA76388,White Mulberry,WM-SEH04P-WH,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DC3JRBW1,FBA79433,White Mulberry,WM-SE08-WD,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0CPT34B2L,FBA79177,White Mulberry,WM-SE08-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CPT2NY5M,FBA79178,White Mulberry,WM-SE08-WH,,14309.0,,,,1.0,,2026-08-03T08:20:09.616079+00:00
B0CPT3Q25C,FBA79179,White Mulberry,WM-SE08-CF,,15001.0,,,,1.0,,2026-08-03T08:20:09.616079+00:00
B0CPFN27Z2,FBA79164,White Mulberry,WM-USE06-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CPFPT6DZ,FBA79165,White Mulberry,WM-USE06-WH,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DC3SJMZ6,FBA79434,White Mulberry,WM-USE06-WB,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DC3NPKGF,FBA79435,White Mulberry,WM-USE06-WW,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0CPFP9ZL4,FBA79166,White Mulberry,WM-WSE06-BK,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DQ1PKNSP,FBA79658,White Mulberry,WM-MDL-WH,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DQ1NV8D2,FBA79659,White Mulberry,WM-MDL-BK,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DQ4ZK2WQ,FBA79660,White Mulberry,WM-MODL-BBW,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DQ51R95T,FBA79661,White Mulberry,WM-MODL-BK,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DQ4YWSMC,FBA79662,White Mulberry,WM-MODL-WH,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DSG2BD4H,FBA79608,White Mulberry,HA1ML,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DSG5PX7M,FBA79609,White Mulberry,HA2ML,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DSG4F8D9,FBA79610,White Mulberry,GS1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DSG694P2,FBA79611,White Mulberry,GS2ML,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DP2WC5VW,FBA79612,White Mulberry,WM1ML,3299.0,3299.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T08:20:09.616079+00:00
B0DP2VVRND,FBA79613,White Mulberry,MS1ML,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DP313R77,FBA79614,White Mulberry,MS2ML,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DP2Z5DQ9,FBA79615,White Mulberry,VLMS1ML,2799.0,2799.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T08:20:09.616079+00:00
B0DP3194QN,FBA79616,White Mulberry,HD1ML,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0DP32F346,FBA79617,White Mulberry,HDWF1ML,3199.0,3099.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,3.0,,2026-08-03T08:20:09.616079+00:00
B0DB5VG39T,FBA79476,White Mulberry,WM-GS1M-BK,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0DB5VVPSB,FBA79477,White Mulberry,WM-GS2M-BK,4299.0,4299.0,,Other 3P (AJ6SIZC8YQDZX),AJ6SIZC8YQDZX,2.0,,2026-08-03T08:20:09.616079+00:00
B0DB5W4TCP,FBA79478,White Mulberry,WM-HA1M-BK,1649.0,1649.0,,Other 3P (AJ6SIZC8YQDZX),AJ6SIZC8YQDZX,2.0,,2026-08-03T08:20:09.616079+00:00
B0DB5YTQZV,FBA79479,White Mulberry,WM-HA2M-BK,,,,,,,HTTP 429,2026-08-03T08:20:09.616079+00:00
B0FN81FD8M,FBK79793,White Mulberry,HDGS1ML,,,,,,,,2026-08-03T08:20:09.616079+00:00
B0FN4JG97R,FBK79792,White Mulberry,HDMSP1ML,5499.0,5499.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T08:20:09.616079+00:00
