kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_current,keyword_text,match_type,target_expression
added,80725360332327,80725360332327,,*,,row_created,"{'budget': {'budget': 1000.0, 'budgetType': 'DAILY'}, 'campaignId': '80725360332327', 'dynamicBidding': {'placementBidding': [{'percentage': 80, 'placement': 'PLACEMENT_TOP'}, {'percentage': 80, 'placement': 'PLACEMENT_REST_OF_SEARCH'}], 'strategy': 'AUTO_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'Spot cleaner phrase prime day', 'offAmazonSettings': {}, 'startDate': '2026-07-04', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'MANUAL'}",,,
added,101813653002588,101813653002588,,*,,row_created,"{'budget': {'budget': 600.0, 'budgetType': 'DAILY'}, 'campaignId': '101813653002588', 'dynamicBidding': {'placementBidding': [{'percentage': 30, 'placement': 'PLACEMENT_TOP'}, {'percentage': 30, 'placement': 'PLACEMENT_REST_OF_SEARCH'}, {'percentage': 30, 'placement': 'PLACEMENT_PRODUCT_PAGE'}], 'strategy': 'AUTO_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'Prime day catch 1 up and down', 'offAmazonSettings': {}, 'startDate': '2026-07-04', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'AUTO'}",,,
added,269215667373513,269215667373513,,*,,row_created,"{'budget': {'budget': 600.0, 'budgetType': 'DAILY'}, 'campaignId': '269215667373513', 'dynamicBidding': {'placementBidding': [{'percentage': 30, 'placement': 'PLACEMENT_REST_OF_SEARCH'}, {'percentage': 29, 'placement': 'PLACEMENT_PRODUCT_PAGE'}, {'percentage': 30, 'placement': 'PLACEMENT_TOP'}], 'strategy': 'AUTO_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'Prime day catch all 3', 'offAmazonSettings': {}, 'startDate': '2026-07-04', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'AUTO'}",,,
added,144862921097570,144862921097570,,*,,row_created,"{'budget': {'budget': 600.0, 'budgetType': 'DAILY'}, 'campaignId': '144862921097570', 'dynamicBidding': {'placementBidding': [{'percentage': 30, 'placement': 'PLACEMENT_TOP'}, {'percentage': 30, 'placement': 'PLACEMENT_REST_OF_SEARCH'}, {'percentage': 29, 'placement': 'PLACEMENT_PRODUCT_PAGE'}], 'strategy': 'AUTO_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'Prime day catch 2 up and down', 'offAmazonSettings': {}, 'startDate': '2026-07-04', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'AUTO'}",,,
budget_changed,142775272023469,142775272023469,,budget.amount,500.0,750.0,,,,
budget_changed,196446967435814,196446967435814,,budget.amount,750.0,1000.0,,,,
budget_changed,181477167438134,181477167438134,,budget.amount,900.0,1200.0,,,,
budget_changed,78865936372293,78865936372293,,budget.amount,200.0,800.0,,,,
budget_changed,144700538689430,144700538689430,,budget.amount,450.0,500.0,,,,
budget_changed,488289230840618,488289230840618,,budget.amount,2500.0,3000.0,,,,
