kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_current,target_expression
added,27810914888140,27810914888140,,*,,row_created,"{'budget': {'budget': 500.0, 'budgetType': 'DAILY'}, 'campaignId': '27810914888140', 'dynamicBidding': {'placementBidding': [], 'strategy': 'AUTO_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'B0GN85NZQN, CT-Ref', 'offAmazonSettings': {}, 'startDate': '2026-07-06', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'MANUAL'}",
added,265185359648346,265185359648346,,*,,row_created,"{'budget': {'budget': 700.0, 'budgetType': 'DAILY'}, 'campaignId': '265185359648346', 'dynamicBidding': {'placementBidding': [], 'strategy': 'AUTO_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'B0GN85NZQN, PT', 'offAmazonSettings': {}, 'startDate': '2026-07-06', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'MANUAL'}",
added,188071917962695,265185359648346,188071917962695,*,,row_created,"{'adGroupId': '188071917962695', 'campaignId': '265185359648346', 'defaultBid': 50.1, 'name': 'Ad Group - 5/7/2026 22:52:20.521', 'state': 'ENABLED'}",
added,42879860534889,27810914888140,42879860534889,*,,row_created,"{'adGroupId': '42879860534889', 'campaignId': '27810914888140', 'defaultBid': 50.1, 'name': 'Ad Group - 5/7/2026 22:56:01.809', 'state': 'ENABLED'}",
added,60790887911790,265185359648346,188071917962695,*,,row_created,"{'adGroupId': '188071917962695', 'bid': 11.5, 'campaignId': '265185359648346', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0CQFSJF5H'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0CQFSJF5H'}], 'state': 'ENABLED', 'targetId': '60790887911790'}",ASIN_EXPANDED_FROM=B0CQFSJF5H
added,1868112147435,27810914888140,42879860534889,*,,row_created,"{'adGroupId': '42879860534889', 'bid': 13.0, 'campaignId': '27810914888140', 'expression': [{'type': 'ASIN_PRICE_GREATER_THAN', 'value': '4500.0'}, {'type': 'ASIN_CATEGORY_SAME_AS', 'value': '5403405031'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_PRICE_GREATER_THAN', 'value': '4500.0'}, {'type': 'ASIN_CATEGORY_SAME_AS', 'value': 'Dehumidifiers'}], 'state': 'ENABLED', 'targetId': '1868112147435'}",ASIN_PRICE_GREATER_THAN=4500.0; ASIN_CATEGORY_SAME_AS=5403405031
added,104544910297824,265185359648346,188071917962695,*,,row_created,"{'adGroupId': '188071917962695', 'bid': 11.5, 'campaignId': '265185359648346', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09TSZTMZ2'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09TSZTMZ2'}], 'state': 'ENABLED', 'targetId': '104544910297824'}",ASIN_SAME_AS=B09TSZTMZ2
added,236073583053514,265185359648346,188071917962695,*,,row_created,"{'adGroupId': '188071917962695', 'bid': 11.5, 'campaignId': '265185359648346', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B09TSZTMZ2'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B09TSZTMZ2'}], 'state': 'ENABLED', 'targetId': '236073583053514'}",ASIN_EXPANDED_FROM=B09TSZTMZ2
added,95338447822459,265185359648346,188071917962695,*,,row_created,"{'adGroupId': '188071917962695', 'bid': 11.5, 'campaignId': '265185359648346', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0F9WMF1K9'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0F9WMF1K9'}], 'state': 'ENABLED', 'targetId': '95338447822459'}",ASIN_SAME_AS=B0F9WMF1K9
added,147789632601890,265185359648346,188071917962695,*,,row_created,"{'adGroupId': '188071917962695', 'bid': 11.5, 'campaignId': '265185359648346', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CQFSJF5H'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CQFSJF5H'}], 'state': 'ENABLED', 'targetId': '147789632601890'}",ASIN_SAME_AS=B0CQFSJF5H
