kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,snapshot_current,target_expression
budget_changed,365616655569604,365616655569604,,budget.amount,1800.0,1500.0,,,,
budget_changed,41425766293234,41425766293234,,budget.amount,2000.0,2200.0,,,,
budget_changed,541108197666561,541108197666561,,budget.amount,1000.0,1200.0,,,,
budget_changed,489228562508004,489228562508004,,budget.amount,250.0,300.0,,,,
budget_changed,206544671571201,206544671571201,,budget.amount,4800.0,2500.0,,,,
budget_changed,378530332991221,378530332991221,,budget.amount,400.0,500.0,,,,
budget_changed,102823122727955,102823122727955,,budget.amount,400.0,500.0,,,,
budget_changed,80804581756508,80804581756508,,budget.amount,3000.0,2500.0,,,,
budget_changed,303664432816417,303664432816417,,budget.amount,5500.0,3300.0,,,,
budget_changed,12382788536565,12382788536565,,budget.amount,500.0,540.0,,,,
budget_changed,78495635228839,78495635228839,,budget.amount,400.0,450.0,,,,
budget_changed,420588504416118,420588504416118,,budget.amount,400.0,450.0,,,,
bid_changed,95019823185690,210220783803044,32713272363907,bid,3.54,4.0,shock mount microphone,BROAD,,
state_changed,95019823185690,210220783803044,32713272363907,state,ENABLED,PAUSED,shock mount microphone,BROAD,,
bid_changed,168625777817475,210220783803044,32713272363907,bid,3.55,4.0,usb cable microphone,BROAD,,
state_changed,168625777817475,210220783803044,32713272363907,state,ENABLED,PAUSED,usb cable microphone,BROAD,,
bid_changed,244389488807707,210220783803044,32713272363907,bid,2.36,4.0,mic cover microphone,BROAD,,
state_changed,244389488807707,210220783803044,32713272363907,state,ENABLED,PAUSED,mic cover microphone,BROAD,,
bid_changed,47925344985020,210220783803044,32713272363907,bid,3.75,4.0,boom arm microphone,BROAD,,
state_changed,47925344985020,210220783803044,32713272363907,state,ENABLED,PAUSED,boom arm microphone,BROAD,,
bid_changed,43124714598549,210220783803044,32713272363907,bid,2.21,4.0,broadcast microphone kit,BROAD,,
state_changed,43124714598549,210220783803044,32713272363907,state,ENABLED,PAUSED,broadcast microphone kit,BROAD,,
bid_changed,35518898041884,210220783803044,32713272363907,bid,2.52,4.0,tripod microphone kit,BROAD,,
state_changed,35518898041884,210220783803044,32713272363907,state,ENABLED,PAUSED,tripod microphone kit,BROAD,,
bid_changed,117904880930477,210220783803044,32713272363907,bid,1.42,4.0,podcast mic setup,BROAD,,
bid_changed,198809120389706,210220783803044,32713272363907,bid,3.88,4.0,podcast production kit,BROAD,,
