kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_prev
removed,48734903833126,451819354390230,482378578862227,*,row_existed,,"{'adGroupId': '482378578862227', 'bid': 3.36, 'campaignId': '451819354390230', 'keywordId': '48734903833126', 'keywordText': 'mike for singing wireless', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,119420612960333,357089910007318,544772140101309,*,row_existed,,"{'adGroupId': '544772140101309', 'bid': 2.79, 'campaignId': '357089910007318', 'keywordId': '119420612960333', 'keywordText': 'boom scissor arm stand', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,151185573022259,524080630765750,553798773211913,*,row_existed,,"{'adGroupId': '553798773211913', 'bid': 3.76, 'campaignId': '524080630765750', 'keywordId': '151185573022259', 'keywordText': 'agaro hair remover for women', 'matchType': 'EXACT', 'state': 'ARCHIVED'}"
removed,265492037567124,418927304294843,339538309224562,*,row_existed,,"{'adGroupId': '339538309224562', 'bid': 5.54, 'campaignId': '418927304294843', 'keywordId': '265492037567124', 'keywordText': 'xtreme acoustics shock mount holder', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,38541113884832,99402738403166,218738924795136,*,row_existed,,"{'adGroupId': '218738924795136', 'bid': 3.35, 'campaignId': '99402738403166', 'keywordId': '38541113884832', 'keywordText': 'aux soundbar', 'matchType': 'BROAD', 'state': 'ARCHIVED'}"
removed,212995216974736,489511617715805,353451769738355,*,row_existed,,"{'adGroupId': '353451769738355', 'campaignId': '489511617715805', 'keywordId': '212995216974736', 'keywordText': 'maono conference microphone system', 'matchType': 'BROAD', 'state': 'ENABLED'}"
removed,213265638279655,441522244651278,491304636966622,*,row_existed,,"{'adGroupId': '491304636966622', 'bid': 6.78, 'campaignId': '441522244651278', 'keywordId': '213265638279655', 'keywordText': 'youtubers mic', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,35542599061066,385617059857531,366341236726507,*,row_existed,,"{'adGroupId': '366341236726507', 'bid': 2.22, 'campaignId': '385617059857531', 'keywordId': '35542599061066', 'keywordText': 'omnidirectional mic', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,268648184263694,533988809910282,354717684622206,*,row_existed,,"{'adGroupId': '354717684622206', 'bid': 2.15, 'campaignId': '533988809910282', 'keywordId': '268648184263694', 'keywordText': 'universal shock mount', 'matchType': 'EXACT', 'state': 'PAUSED'}"
removed,267042531611822,415710355546754,448557035217584,*,row_existed,,"{'adGroupId': '448557035217584', 'bid': 8.12, 'campaignId': '415710355546754', 'keywordId': '267042531611822', 'keywordText': 'imaginea premium boom arm for mic', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,264447595608638,498604395138367,296478104730637,*,row_existed,,"{'adGroupId': '296478104730637', 'bid': 5.78, 'campaignId': '498604395138367', 'keywordId': '264447595608638', 'keywordText': 'heat belt for back pain relief', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,158480918450566,207197785378497,207995229333416,*,row_existed,,"{'adGroupId': '207995229333416', 'bid': 4.29, 'campaignId': '207197785378497', 'keywordId': '158480918450566', 'keywordText': 'sound shield', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,205478616641477,225668819222991,144187634184474,*,row_existed,,"{'adGroupId': '144187634184474', 'bid': 2.03, 'campaignId': '225668819222991', 'keywordId': '205478616641477', 'keywordText': 'singing microphone', 'matchType': 'BROAD', 'state': 'PAUSED'}"
removed,219599200604350,283664746620936,320369080484539,*,row_existed,,"{'adGroupId': '320369080484539', 'bid': 9.53, 'campaignId': '283664746620936', 'keywordId': '219599200604350', 'keywordText': 'condenser mic for recording studio', 'matchType': 'EXACT', 'state': 'PAUSED'}"
removed,228833049032351,338779249991076,376309993777357,*,row_existed,,"{'adGroupId': '376309993777357', 'campaignId': '338779249991076', 'keywordId': '228833049032351', 'keywordText': 'boya wireless mic for youtubers', 'matchType': 'PHRASE', 'state': 'PAUSED'}"
removed,66882426030751,310652862267925,359323258669575,*,row_existed,,"{'adGroupId': '359323258669575', 'campaignId': '310652862267925', 'keywordId': '66882426030751', 'keywordText': 'caresmith back massager for pain relief', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,156990147703827,507204657793156,294023948719461,*,row_existed,,"{'adGroupId': '294023948719461', 'bid': 5.48, 'campaignId': '507204657793156', 'keywordId': '156990147703827', 'keywordText': 'best gaming mic', 'matchType': 'EXACT', 'state': 'PAUSED'}"
removed,250745661196402,171442259960845,205563718752921,*,row_existed,,"{'adGroupId': '205563718752921', 'bid': 8.0, 'campaignId': '171442259960845', 'keywordId': '250745661196402', 'keywordText': 'dj mixer', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,107385863418971,345347854707992,545004860710321,*,row_existed,,"{'adGroupId': '545004860710321', 'bid': 3.22, 'campaignId': '345347854707992', 'keywordId': '107385863418971', 'keywordText': 'wireless handheld microphone', 'matchType': 'BROAD', 'state': 'ENABLED'}"
removed,224943644970642,471765281717703,327075411596770,*,row_existed,,"{'adGroupId': '327075411596770', 'campaignId': '471765281717703', 'keywordId': '224943644970642', 'keywordText': 'rambot basic collar microphone', 'matchType': 'BROAD', 'state': 'ENABLED'}"
removed,130711436193151,454631753402313,311518586892873,*,row_existed,,"{'adGroupId': '311518586892873', 'campaignId': '454631753402313', 'keywordId': '130711436193151', 'keywordText': 'mice for youtube', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,52132298795904,393012316856003,441416859716548,*,row_existed,,"{'adGroupId': '441416859716548', 'bid': 3.0, 'campaignId': '393012316856003', 'keywordId': '52132298795904', 'keywordText': 'bluetooth mic for youtubers wireless', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,215697521313133,539545201504149,379304718616296,*,row_existed,,"{'adGroupId': '379304718616296', 'bid': 1.15, 'campaignId': '539545201504149', 'keywordId': '215697521313133', 'keywordText': 'boya mic c type', 'matchType': 'EXACT', 'state': 'PAUSED'}"
removed,222280447347640,338217609369694,517644658853422,*,row_existed,,"{'adGroupId': '517644658853422', 'bid': 11.51, 'campaignId': '338217609369694', 'keywordId': '222280447347640', 'keywordText': 'condenser mic kit', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,82127384001907,135809055333937,230988006473434,*,row_existed,,"{'adGroupId': '230988006473434', 'bid': 5.49, 'campaignId': '135809055333937', 'keywordId': '82127384001907', 'keywordText': 'usb mic', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,258772305656722,163941082534793,300485395906669,*,row_existed,,"{'adGroupId': '300485395906669', 'bid': 5.0, 'campaignId': '163941082534793', 'keywordId': '258772305656722', 'keywordText': 'mic stand', 'matchType': 'EXACT', 'state': 'PAUSED'}"
removed,115967721446696,328378831931334,308663951540187,*,row_existed,,"{'adGroupId': '308663951540187', 'bid': 5.0, 'campaignId': '328378831931334', 'keywordId': '115967721446696', 'keywordText': 'boya m1', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,20456970383758,236313977941324,285594152796664,*,row_existed,,"{'adGroupId': '285594152796664', 'bid': 5.0, 'campaignId': '236313977941324', 'keywordId': '20456970383758', 'keywordText': 'shure sm58', 'matchType': 'EXACT', 'state': 'ENABLED'}"
removed,151718361505049,531791956944042,456396988869589,*,row_existed,,"{'adGroupId': '456396988869589', 'bid': 6.36, 'campaignId': '531791956944042', 'keywordId': '151718361505049', 'keywordText': 'hair straightener for women purple', 'matchType': 'PHRASE', 'state': 'ENABLED'}"
removed,280315369967838,348590886055410,504740369644039,*,row_existed,,"{'adGroupId': '504740369644039', 'bid': 3.94, 'campaignId': '348590886055410', 'keywordId': '280315369967838', 'keywordText': 'dji wireless microphone', 'matchType': 'PHRASE', 'state': 'PAUSED'}"
