account,month,sku,asin,units,principal,tax,promo,referral,fulfilment,closing,other_fees
NEXLEV,2026-08,FBA79493,B0DQCWRG3H,450,727593.7000000009,130968.29999999994,-19455.22999999998,-81762.43999999926,-40855.14000000007,-26875.68000000016,-1254.0
NEXLEV,2026-08,FBA79991,B0GN85NZQN,176,797398.3500000015,143531.6499999999,-3790.68,-82912.39999999978,-23100.839999999967,-10431.2,-158.0
NEXLEV,2026-08,FBA78981,B0CDPP45BM,589,1952415.7699999765,351435.22999999643,-20301.85000000004,-121653.24999999956,-102709.68999999975,-35282.00000000023,-1156.0
NEXLEV,2026-08,FBA79567,B0DNJS23HS,324,1467766.959999998,264198.03999999963,-13784.590000000004,-133205.7000000003,-87138.46,-18101.200000000077,-138.0
NEXLEV,2026-08,FBA79652,B0F43P6D23,429,1214396.569999999,218591.43000000005,-10089.549999999988,-75811.1100000001,-74843.85999999986,-24850.800000000138,-514.0
NEXLEV,2026-08,FBA79606,B0F2N37819,2,571.1800000000001,102.82,-59.0,0.0,-139.24,-44.84,0.0
NEXLEV,2026-08,FBA79984,B0GM1CZC7Y,73,321426.2199999996,57856.77999999997,-4141.159999999999,-34622.770000000004,-19470.94999999997,-4417.920000000001,0.0
NEXLEV,2026-08,FBP79350,B0D67727VG,55,54456.110000000015,2722.8899999999994,-1054.2900000000002,-4518.959999999999,-3829.099999999995,-3075.080000000001,-59.0
NEXLEV,2026-08,FBA79439,B0DCK7ZH5P,148,411844.5600000004,74132.44000000005,-4384.659999999998,-25673.550000000043,-25822.630000000016,-8835.839999999987,-138.0
NEXLEV,2026-08,FBA79971,B0GGHZWMVW,210,2007734.940000005,361393.06,-40487.31999999999,-196666.03999999943,-74327.81999999988,-12364.04000000002,-79.0
NEXLEV,2026-08,FBA79278,B0D86ZC9YT,7,8594.09,1546.91,-160.0,-864.4199999999998,-604.16,-429.52,0.0
NEXLEV,2026-08,FBA79849,B0FPGDVVCX,25,119215.25000000004,21458.750000000004,-471.96,-11652.659999999996,-3392.499999999998,-1472.6399999999994,0.0
NEXLEV,2026-08,FBA79373,B0D2P5TGWK,33,8437.990000000003,1519.009999999999,-603.6600000000001,0.0,-2247.899999999998,-988.8399999999996,-40.0
NEXLEV,2026-08,FBA79811,B0FSF1N457,68,32192.310000000005,5794.6900000000005,-1203.8499999999997,0.0,-4734.160000000002,-2039.0399999999968,0.0
NEXLEV,2026-08,FBA79679,B0DVC7VJP1,22,118362.68000000002,21305.320000000003,-499.58,-12325.299999999996,-6294.639999999999,-1349.9199999999996,0.0
NEXLEV,2026-08,FBA79349,B0D9KDQCCM,34,31738.959999999992,1587.039999999999,-639.75,-56.24,-3089.24,-1112.74,0.0
NEXLEV,2026-08,FBA79276,B0D2LJSQXZ,27,82252.55,14805.45,-574.04,-5138.289999999999,-6745.129999999995,-1595.3599999999992,-177.0
NEXLEV,2026-08,FBA79993,B0GN8WW6BC,35,363905.95,65503.050000000025,-3264.62,-36563.01,-12471.130000000006,-1902.1599999999987,0.0
NEXLEV,2026-08,FBA79472,B0DFCDZWND,22,28470.41,1423.5899999999997,-519.9,-2396.11,-1531.6399999999985,-1349.9199999999996,-138.0
NEXLEV,2026-08,FBA79263,B0CYSLCRQS,192,453910.63999999966,81703.36000000012,-6166.969999999995,-28270.699999999924,-40954.21999999992,-11290.24000000001,-395.0
NEXLEV,2026-08,FBA79267,B0D2LD6BYJ,16,10159.36,1828.6399999999996,-358.94000000000005,0.0,-1113.9199999999992,-382.3200000000001,0.0
NEXLEV,2026-08,FBA78980,B0CDPMX152,99,173126.2399999998,31162.75999999996,-2466.61,-10783.830000000004,-13324.209999999952,-5829.1999999999925,-454.0
NEXLEV,2026-08,FBA79590,B0DM6BB3VT,10,27309.5,1365.4999999999998,-247.94,-1870.2699999999995,-1297.9999999999995,-613.6,0.0
NEXLEV,2026-08,FBA79570,B0DKJXRXKM,12,17460.96,3143.0400000000004,-320.0,-1701.8499999999997,-807.1199999999997,-736.32,0.0
NEXLEV,2026-08,FBK79271,B0DQ8W1RBV,12,14710.179999999997,2647.82,-325.54,-1489.15,-1090.3199999999997,-736.32,-59.0
NEXLEV,2026-08,FBA79988,B0GN8N96R5,3,15760.14,2836.86,-80.0,-1865.31,-523.92,-184.08,0.0
NEXLEV,2026-08,FBA79406,B0DCK3N2JJ,30,63875.430000000015,11497.570000000003,-738.74,-7153.290000000003,-2088.5999999999976,-1779.439999999999,-79.0
NEXLEV,2026-08,FBA79992,B0GN94YDY2,38,338375.43000000005,60907.56999999999,-4381.84,-31517.129999999983,-12606.8,-2270.319999999999,-79.0
NEXLEV,2026-08,FBA79405,B0D9KFP4MG,51,74248.42000000003,13364.579999999996,-1995.7200000000005,-8000.190000000002,-4563.060000000004,-3006.6400000000003,0.0
NEXLEV,2026-08,FBA79404,B0D9KFZYG8,16,22780.53,4100.47,-74.96,-1915.56,-2171.2000000000003,-981.76,0.0
NEXLEV,2026-08,FBA79673,B0FJG5PFGQ,19,12862.72,2315.28,-410.42,0.0,-1273.219999999999,-605.3400000000001,0.0
NEXLEV,2026-08,FBA79812,B0FS6TB7CP,39,70928.01999999996,12766.98,-1240.44,-4420.880000000002,-5062.199999999996,-2270.319999999999,-59.0
NEXLEV,2026-08,FBM79773,,4,1013.56,182.44,0.0,0.0,0.0,-4.72,0.0
NEXLEV,2026-08,FBK80024,B0GLHC8CB3,21,28458.569999999992,5122.429999999999,-477.5400000000001,-3950.919999999999,-2849.7,-1227.1999999999998,0.0
NEXLEV,2026-08,FBA79596,B0DMT19RWC,3,5244.75,262.25,-120.0,-942.24,-407.1,-184.08,0.0
NEXLEV,2026-08,FBA79469,B0DCK4DR1B,9,8992.39,1618.6099999999997,-200.0,-1131.84,-626.5799999999999,-434.24000000000007,-79.0
NEXLEV,2026-08,FBA79771,B0F678L8YT,9,3383.9100000000003,609.09,-80.0,0.0,-744.1499999999999,-212.40000000000003,0.0
NEXLEV,2026-08,FBA79573,B0DKK15YNJ,17,40460.0,2023.0,-240.0,-3759.890000000001,-1544.619999999999,-1043.12,0.0
NEXLEV,2026-08,FBA79480,B0DDC3GVZW,1,1346.62,242.38,-40.0,-84.39,-90.86,-61.36,0.0
NEXLEV,2026-08,FBA79348,B0D81DLSFT,3,2489.04,448.02,0.0,0.0,-169.92,-95.58,0.0
NEXLEV,2026-08,FBA79280,B0D845B2DG,31,38478.95,6926.05,-425.7,-2403.39,-2317.5199999999995,-1902.159999999999,-79.0
NEXLEV,2026-08,FBA79843,B0FMF1D9NV,13,5948.299999999999,1070.6999999999998,-207.5,0.0,-1115.6999999999994,-405.9200000000001,0.0
NEXLEV,2026-08,FBA79989,B0GN86G345,14,25377.990000000005,4568.01,-219.96,-4402.360000000001,-974.6799999999994,-736.32,0.0
NEXLEV,2026-08,FBA79463,B0DCK56Q85,10,19184.77,3453.23,-197.96,-1139.06,-1357.0000000000002,-552.24,0.0
NEXLEV,2026-08,FBA79721,B0F2N4N83Y,9,994.94,179.06,-120.0,0.0,-754.0599999999998,-184.08,0.0
NEXLEV,2026-08,FBA79272,B0D2LFMY48,4,2695.76,485.24,-135.88,0.0,-278.48,-127.44,0.0
NEXLEV,2026-08,FBA79699,B0DTYDTKN8,8,21554.23,3879.77,-160.0,-3601.44,-1397.1199999999997,-368.16,0.0
NEXLEV,2026-08,FBA79473,B0DJFH6RTL,6,8597.46,1547.5400000000002,-191.98,-1551.34,-545.16,-368.16,0.0
NEXLEV,2026-08,FBA79682,B0DVC8NYY2,9,12841.52,2311.48,-159.2,-1337.64,-1571.7599999999995,-490.88000000000005,0.0
NEXLEV,2026-08,FBM79992,,1,10254.24,1845.76,0.0,-1142.24,0.0,-89.68,0.0
NEXLEV,2026-08,FBA79464,B0DFCDKMWR,3,4539.99,227.01,-151.78,-345.57,-208.86,-184.08,0.0
NEXLEV,2026-08,FBA79268,B0D383WQPB,7,9706.770000000002,1747.2299999999998,-153.16,-604.36,-604.1799999999998,-368.16,0.0
NEXLEV,2026-08,FBA79452,B0DCGHVN81,96,156934.75000000015,28248.25,-2930.6400000000003,-9794.609999999986,-20382.73999999997,-5522.399999999995,0.0
NEXLEV,2026-08,FBA79265,B0D2LHNS9B,4,2615.26,470.74,-40.0,0.0,-278.48,-127.44,0.0
NEXLEV,2026-08,FBA79271,B0D83Q7L8W,7,7961.01,1432.99,-352.94,-796.03,-636.0199999999999,-429.52,0.0
NEXLEV,2026-08,FBA79279,B0D8445KJN,5,3724.57,670.43,-114.96,0.0,-348.1,-159.3,0.0
NEXLEV,2026-08,FBA79698,B0DTK4FY1G,5,11575.86,1139.14,-261.72,-1488.37,-678.5,-306.8,0.0
NEXLEV,2026-08,FBA79277,B0D672NXC8,2,12201.7,2196.3,0.0,-1359.18,-776.0,-122.72,0.0
NEXLEV,2026-08,FBK79591,B0F29SZCVF,9,13165.740000000002,658.26,-381.44,-2029.98,-817.7399999999997,-552.24,0.0
NEXLEV,2026-08,FBA79488,B0DFCG2VGS,8,11391.499999999998,2050.5,-210.98,-712.11,-1397.1199999999997,-490.88000000000005,-79.0
NEXLEV,2026-08,FBA79707,B0FJ1ZB4G9,7,4684.75,843.25,-30.96,0.0,-487.34,-223.02000000000004,0.0
NEXLEV,2026-08,FBA79492,B0DT6Y7KJM,7,12078.81,2174.19,-196.98,-1356.05,-636.0199999999999,-429.52,0.0
NEXLEV,2026-08,FBA79686,B0DV94R4QD,7,5445.72,272.28000000000003,-259.06,0.0,-636.0199999999999,-191.16000000000005,0.0
NEXLEV,2026-08,FBA79440,B0DCGHKRXX,8,12966.1,2333.9,-213.76,-1470.4599999999998,-726.8799999999998,-490.88000000000005,0.0
NEXLEV,2026-08,FBA79229,B0CQX9ZZMH,1,1975.42,355.58,-40.0,-123.78,-135.7,-61.36,0.0
NEXLEV,2026-08,FBM79263,,1,2541.53,457.47,0.0,-159.25,0.0,-89.68,0.0
NEXLEV,2026-08,FBA80113,B0GYS6CJD9,9,2280.47,410.53,-19.0,0.0,-598.26,-276.12,0.0
NEXLEV,2026-08,FBA79565,B0DKJZDY72,6,7486.44,1347.56,-68.38,-779.3399999999999,-545.16,-368.16,0.0
NEXLEV,2026-08,FBA79566,B0DKJSCLBD,1,2020.34,363.66,0.0,-210.98,-135.7,-61.36,0.0
NEXLEV,2026-08,FBA79481,B0DFMRG2K4,1,1346.61,242.39,-40.0,-178.13,-69.62,-61.36,0.0
NEXLEV,2026-08,FBM79436,,1,172.88,31.12,0.0,0.0,0.0,-1.18,0.0
NEXLEV,2026-08,FBA79346,B0D25LNDSY,6,4095.76,737.24,-71.91999999999999,0.0,-417.72,-191.16000000000005,0.0
NEXLEV,2026-08,FBA79773,B0F74DJYG6,20,4202.490000000001,756.5100000000001,-160.0,0.0,-1817.199999999999,-613.5999999999999,-80.0
NEXLEV,2026-08,FBK79347,B0D842173P,1,672.88,121.12,0.0,0.0,-69.62,-31.86,-79.0
NEXLEV,2026-08,FBA79775,B0F67775SH,9,1899.18,341.82,-80.0,0.0,-817.7399999999997,-276.12,0.0
NEXLEV,2026-08,FBA79692,B0DVC58QPZ,2,7155.08,1287.92,-121.96,-739.96,-427.16,-122.72,0.0
NEXLEV,2026-08,FBA79374,B0D2P7WLJB,12,2802.51,504.49000000000007,-51.96,0.0,-785.8799999999997,-332.76000000000005,-40.0
NEXLEV,2026-08,FBA79777,B0F6795PDP,1,3050.0,549.0,0.0,-318.51,-371.18,-61.36,0.0
NEXLEV,2026-08,FBK79714,,9,2280.4999999999995,410.50000000000006,-80.0,0.0,-780.5799999999998,-212.4,0.0
NEXLEV,2026-08,FBA79778,B0F67BW7SF,2,1862.72,335.28,-40.0,-194.54,-181.72,-122.72,0.0
NEXLEV,2026-08,FBA79436,B0DGTGKPJR,4,1013.55,182.45,0.0,0.0,-278.48,-122.72,0.0
NEXLEV,2026-08,FBA79332,B0D63FKYZ5,3,3025.71,151.29,-40.0,-93.73,-208.86,-184.08,0.0
NEXLEV,2026-08,FBK80015,B0GKNGWLJ2,2,6870.34,1236.66,0.0,-1147.95,-349.28,-122.72,0.0
NEXLEV,2026-08,FBA79819,B0FT8R24QM,1,338.14,60.86,0.0,0.0,-69.62,-21.24,0.0
NEXLEV,2026-08,FBA79687,B0DV9CY3XR,1,1599.05,79.95,-33.58,-77.66,-135.7,-61.36,0.0
NEXLEV,2026-08,FBA78995,B0CDQ55W2M,1,665.71,33.29,-13.98,0.0,-129.79999999999998,-31.86,0.0
NEXLEV,2026-08,FBA79484,B0DNJF1BLS,1,1256.78,226.22,-29.66,-77.17,-174.64,-61.36,0.0
NEXLEV,2026-08,FBA79467,B0DK9LYT4P,1,846.61,152.39,-19.98,0.0,-69.62,-31.86,0.0
NEXLEV,2026-08,FBA79273,B0D2LKB4BJ,1,677.12,121.88,-55.98,0.0,-69.62,-31.86,0.0
NEXLEV,2026-08,FBA79913,B0FYNLPK1B,1,338.14,60.86,-40.0,0.0,-69.62,-25.96,0.0
NEXLEV,2026-08,FBA79381,B0D9KCNVNM,2,1968.66,354.34000000000003,-19.98,-117.17,-139.24,-93.22,0.0
NEXLEV,2026-08,FBA79689,B0DVSZ2VVJ,1,5713.33,285.67,-40.0,-530.92,-174.64,-61.36,0.0
NEXLEV,2026-08,FBA79810,B0FS7T8151,1,538.14,96.86,-40.0,0.0,-69.62,-31.86,0.0
NEXLEV,2026-08,__AFFORDABILITY__,,0,0.0,0.0,0.0,0.0,0.0,0.0,-69514.81999999999
AUDIOARRAY,2026-08,FBA80010,B0GW8ZQRFK,5,5335.58,960.42,-19.0,-817.22,-454.3,-245.44,0.0
AUDIOARRAY,2026-08,FBM79783,,48,110511.80000000002,19892.200000000008,-1571.1800000000003,-16808.999999999996,-6513.599999999994,-2822.56,-296.0
AUDIOARRAY,2026-08,FBA76864,B0BPLZ5CGV,17,59803.25999999999,10764.61,-494.98,-9147.24,-1446.0999999999992,-920.4000000000001,-79.0
AUDIOARRAY,2026-08,FBA79959,B0G39ZHDYP,22,21952.499999999996,3951.500000000001,-446.38000000000005,-3356.32,-2531.1199999999994,-1349.9199999999996,0.0
AUDIOARRAY,2026-08,FBA79482,B0DXFPM4N2,12,90954.23000000001,16371.769999999997,-1313.2600000000002,-13791.619999999999,-3232.6800000000007,-736.32,0.0
AUDIOARRAY,2026-08,FBA79830,B0FJ8TSQK1,27,67738.88,12193.120000000003,-951.1000000000001,-10319.189999999999,-5766.660000000003,-1595.3599999999992,-99.0
AUDIOARRAY,2026-08,FBA75688,B0B4G763WS,1,3516.1,632.9,-26.19,-535.14,-90.86,-61.36,0.0
AUDIOARRAY,2026-08,FBA79967,B0G2C2RCXN,4,6776.26,1219.74,-159.98,-1032.69,-278.48,-245.44,0.0
AUDIOARRAY,2026-08,FBA79708,B0FFB6YJM1,17,17253.380000000005,3105.620000000001,-543.88,-2623.9300000000003,-2306.9,-1043.1200000000001,-138.0
AUDIOARRAY,2026-08,FBA79813,B0FG88HVQ8,23,36673.200000000004,6601.200000000001,-617.4200000000001,-5586.06,-1987.9499999999985,-1349.9199999999996,-99.0
AUDIOARRAY,2026-08,FBA75673,B0B4DPX2J2,18,33541.48,6037.52,-433.9,-5117.099999999999,-2442.6,-920.4000000000001,-79.0
AUDIOARRAY,2026-08,FBA79903,B0FR5DLXH9,32,23128.78000000001,4163.25,-700.84,0.0,-2199.5199999999977,-987.6600000000003,0.0
AUDIOARRAY,2026-08,FBA77171,B0CH4VCD6R,18,8289.860000000002,1492.1400000000003,-173.02,-574.55,-1253.159999999999,-573.4800000000001,-138.0
AUDIOARRAY,2026-08,FBA79908,B0FTVV1QJY,5,18487.289999999997,3327.71,-202.78,-2820.83,-1431.5500000000002,-306.8,0.0
AUDIOARRAY,2026-08,FBA79960,B0G3B152FR,35,54461.92000000003,9803.08,-1281.7600000000002,-8283.990000000003,-3109.2999999999997,-2147.599999999999,-30.0
AUDIOARRAY,2026-08,FBA76414,B0BLJVJ2GN,6,3071.1800000000003,552.8199999999999,-104.16,0.0,-545.16,-191.16000000000003,0.0
AUDIOARRAY,2026-08,FBA79103,B0CM6NTWBP,8,17760.999999999996,3197.0000000000005,-319.06,-2704.89,-726.8799999999998,-429.52000000000004,0.0
AUDIOARRAY,2026-08,FBA78974,B0CF5RRTDJ,3,5082.18,914.8199999999999,0.0,-778.4100000000001,-363.44,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA79956,B0GMPGNXX3,12,5922.0,1066.0,-211.98,0.0,-1026.6199999999994,-382.32000000000005,-99.0
AUDIOARRAY,2026-08,FBA75691,B0B4G5JG4P,21,106067.88,19092.120000000003,-617.9399999999999,-16196.690000000002,-2762.3999999999996,-1227.1999999999998,-99.0
AUDIOARRAY,2026-08,FBA79979,B0GN8RQJRG,4,11746.61,2114.3900000000003,-247.23999999999998,-1772.25,-542.8,-245.44,0.0
AUDIOARRAY,2026-08,FBA79974,B0GD8JSPB1,13,96599.14999999998,17387.849999999995,-1076.69,-18679.190000000006,-3502.850000000001,-797.6800000000001,-99.0
AUDIOARRAY,2026-08,FBA79105,B0CM6WH4ZT,12,13647.98,2456.59,-436.7999999999999,-2072.4700000000003,-830.4599999999996,-736.32,0.0
AUDIOARRAY,2026-08,FBA80142,B0H3LHF2WW,21,43382.22000000001,7808.780000000002,-545.12,-6594.5999999999985,-1295.639999999999,-1288.5599999999997,0.0
AUDIOARRAY,2026-08,FBM79005,,4,18301.68,3294.32,-107.98,-2789.14,0.0,-358.72,0.0
AUDIOARRAY,2026-08,FBA79966,B0G53KWRVW,5,42407.63,7633.37,-160.0,-6495.32,-1346.9499999999998,-306.8,0.0
AUDIOARRAY,2026-08,FBA79962,B0G53LZNY3,8,36094.92,6497.08,-668.9000000000001,-5459.640000000001,-1085.6000000000001,-490.88000000000005,0.0
AUDIOARRAY,2026-08,FBA79980,B0GN8MMKY1,2,5930.51,1067.49,-69.98,-654.0,-349.28,-122.72,0.0
AUDIOARRAY,2026-08,FBA76743,B0BLK8PXNY,1,10592.37,1906.63,0.0,-1622.37,-174.64,-61.36,0.0
AUDIOARRAY,2026-08,FBA76862,B0BPLWW72Y,3,4268.64,768.36,-33.58,-649.44,-208.86,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA80110,B0H2Z6R6V8,2,30083.05,5414.950000000001,-709.96,-4515.49,-742.1,-122.72,0.0
AUDIOARRAY,2026-08,FBA79838,B0FQBX8J17,39,40236.499999999985,7242.6799999999985,-434.66,-6147.910000000001,-2732.92,-2393.0399999999995,-158.0
AUDIOARRAY,2026-08,FBA75690,B0B4K87PR4,7,23519.48,4233.52,-239.95999999999998,-3581.5800000000004,-636.0199999999999,-429.52000000000004,0.0
AUDIOARRAY,2026-08,FBA80084,B0GXP97CZG,22,59644.92999999999,10736.07,-886.8400000000001,-9059.140000000001,-2985.399999999999,-1165.84,0.0
AUDIOARRAY,2026-08,FBA79982,B0GN8MPYPG,6,27961.009999999995,5032.99,-379.96000000000004,-3093.88,-2125.74,-368.16,0.0
AUDIOARRAY,2026-08,FBA80076,B0GY857139,5,26860.18,4834.820000000001,-160.0,-4114.02,-1431.9,-306.8,0.0
AUDIOARRAY,2026-08,FBA79447,B0DFMLXD9S,1,3516.1,632.9,-82.97999999999999,-527.77,-135.7,-61.36,0.0
AUDIOARRAY,2026-08,FBA79848,B0GN97RFPR,38,237429.83999999997,42737.45999999999,-2509.82,-36134.13,-9894.339999999995,-2331.6799999999985,-79.0
AUDIOARRAY,2026-08,FBA79839,B0FQBXS6Y2,21,24855.09,4473.909999999999,-482.41999999999985,-3780.6,-2616.059999999998,-1227.1999999999998,0.0
AUDIOARRAY,2026-08,FBA80085,B0GXPBHDRF,12,64505.97,11611.029999999999,-989.6300000000001,-9787.74,-2105.4799999999996,-674.96,0.0
AUDIOARRAY,2026-08,FBA79961,B0G53H49BS,27,62789.55999999998,11302.100000000002,-944.3900000000004,-9567.38,-2420.729999999999,-1656.7199999999991,0.0
AUDIOARRAY,2026-08,FBA76863,B0BPM2T7BQ,3,10065.27,1811.76,-80.0,-1541.63,-265.94,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA78960,B0CBCB82MT,7,8043.22,1447.81,-80.0,-1231.93,-610.8,-368.16,-59.0
AUDIOARRAY,2026-08,FBA79445,B0DFMLS8JG,4,9150.0,1647.0,-202.96,-1382.75,-363.44,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA79842,B0G4DNF8RZ,5,13570.340000000002,2442.66,-141.16,-2070.55,-678.5,-306.8,-99.0
AUDIOARRAY,2026-08,FBA78423,B0C598Q6PT,1,380.5,68.5,-40.0,-23.85,-69.62,-25.96,0.0
AUDIOARRAY,2026-08,FBA78975,B0CF5TCQKL,12,37286.32,6711.53,-455.28000000000003,-5662.24,-2953.7,-736.32,0.0
AUDIOARRAY,2026-08,FBA80128,B0H1H3K6B2,3,7116.09,1280.91,-135.98,-1082.66,-272.58,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA79996,B0GW8Z556N,17,11173.720000000001,2011.2799999999997,-287.7900000000001,0.0,-1171.3799999999994,-477.9000000000001,-118.0
AUDIOARRAY,2026-08,FBA80074,B0GY827J9C,10,84652.56999999999,15237.430000000002,-1163.9,-12835.399999999998,-2863.9,-613.6,-158.0
AUDIOARRAY,2026-08,FBA75676,B0B4DS678Q,2,3218.64,579.36,-117.97999999999999,-488.05,-181.72,-122.72,0.0
AUDIOARRAY,2026-08,FBA78205,B0C539RBGL,4,5759.34,1036.66,-113.97999999999999,-877.7099999999999,-278.48,-245.44,0.0
AUDIOARRAY,2026-08,FBA79104,B0CM6NVLT9,11,12084.73,2175.2999999999997,-282.96,-1842.6399999999999,-743.7999999999997,-552.24,0.0
AUDIOARRAY,2026-08,FBA79446,B0DFMMTWLY,12,16889.85,3040.18,-251.31,-2579.9900000000002,-1062.7799999999995,-613.6,-99.0
AUDIOARRAY,2026-08,FBA79995,B0GW8VBCBL,8,5840.69,1051.31,-229.94000000000003,0.0,-556.96,-254.88000000000005,0.0
AUDIOARRAY,2026-08,FBA75677,B0B4KC7VBM,9,17883.88,3219.1199999999994,-289.56,-2714.45,-817.7399999999997,-552.24,-99.0
AUDIOARRAY,2026-08,FBA79820,B0FQJWWDVK,15,5618.620000000001,1011.3800000000002,-89.94000000000003,-348.30000000000007,-1015.9799999999993,-389.3999999999999,-138.0
AUDIOARRAY,2026-08,FBA79011,B0CH4RNWJX,3,6353.400000000001,1143.6,-120.0,-973.11,-407.09999999999997,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA75684,B0B4G7VWXD,3,4252.55,765.45,-80.0,-651.34,-272.58,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA79694,B0DT6T6N6B,31,14794.910000000009,2663.09,-390.64,0.0,-2101.579999999998,-922.7600000000004,0.0
AUDIOARRAY,2026-08,FBA75689,B0B4G59Y8W,33,49381.26999999998,8888.730000000001,-620.1400000000001,-7516.54,-2998.3799999999997,-1840.7999999999988,-79.0
AUDIOARRAY,2026-08,FBA79968,B0G53M9258,16,81719.49999999999,14709.500000000004,-969.75,-12406.99,-2171.2000000000003,-981.7600000000001,0.0
AUDIOARRAY,2026-08,FBA79972,B0GCP1J2HC,1,7202.54,1296.46,-169.98000000000002,-1081.1,-252.52,-61.36,0.0
AUDIOARRAY,2026-08,FBA79814,B0GNM35G8X,3,1294.0900000000001,232.95,-40.0,-90.09,-182.63,-74.33999999999999,0.0
AUDIOARRAY,2026-08,FBA78973,B0CF5R3V95,5,16085.580000000002,2895.4199999999996,-95.97999999999999,-2453.74,-634.86,-306.8,0.0
AUDIOARRAY,2026-08,FBA79825,B0FJ2DT13L,3,9785.58,1761.42,-135.98,-1488.81,-640.74,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA78976,B0CF5SHL15,3,9404.24,1692.76,-113.97999999999999,-1430.79,-757.5600000000001,-184.07999999999998,0.0
AUDIOARRAY,2026-08,FBA77011,B0BPMN89NG,5,5674.5599999999995,1021.4399999999999,-253.91999999999996,-851.76,-454.3,-245.44,0.0
AUDIOARRAY,2026-08,FBA79904,B0FTVQQVDC,4,32959.32,5932.68,-607.9,-4971.74,-1416.4,-245.44,0.0
