account,month,event_group,fee_type,sku,asin,amount,qty
NEXLEV,2026-08,Adjustment,CommissionCorrection,,,65468.13,0.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA78980,B0CDPMX152,123.98,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA78981,B0CDPP45BM,7568.45,6.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79263,B0CYSLCRQS,158.42,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79268,B0D383WQPB,114.86,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79276,B0D2LJSQXZ,216.31,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79373,B0D2P5TGWK,153.09,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79405,B0D9KFP4MG,409.92,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79406,B0DCK3N2JJ,144.77,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79439,B0DCK7ZH5P,197.12,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79443,B0D9KFQG8Q,1168.52,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79452,B0DCGHVN81,224.8,3.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79463,B0DCK56Q85,615.48,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79493,B0DQCWRG3H,216.49,3.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79567,B0DNJS23HS,6883.75,9.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79652,B0F43P6D23,9181.78,18.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79673,B0FJG5PFGQ,533.26,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79721,B0F2N4N83Y,0.54,2.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79771,B0F678L8YT,3.85,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79778,B0F67BW7SF,681.87,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79812,B0FS6TB7CP,1918.39,2.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79971,B0GGHZWMVW,6427.24,7.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79991,B0GN85NZQN,4245.24,2.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79992,B0GN94YDY2,592.21,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBA79993,B0GN8WW6BC,808.78,1.0
NEXLEV,2026-08,Adjustment,FREE_REPLACEMENT_REFUND_ITEMS,FBP79350,B0D67727VG,261.89,1.0
NEXLEV,2026-08,Adjustment,LostOrDamagedReimbursement,,,1114.52,2.0
NEXLEV,2026-08,Adjustment,PAYMENT_RETRACTION_ITEMS,FBA79652,B0F43P6D23,-2230.36,1.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA78980,B0CDPMX152,2283.95,4.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA78981,B0CDPP45BM,8298.25,16.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA78995,B0CDQ55W2M,39.26,1.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79174,B0CW1JJP9S,355.41,1.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79229,B0CQX9ZZMH,129.72,1.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79263,B0CYSLCRQS,5912.97,10.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79277,B0D672NXC8,424.94,1.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79349,B0D9KDQCCM,1404.13,7.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79373,B0D2P5TGWK,459.26,3.0
NEXLEV,2026-08,Adjustment,REVERSAL_REIMBURSEMENT,FBA79374,B0D2P7WLJB,306.18,2.0
